"","PSID","Gene","Module"
"FAM9C","FAM9C","FAM9C","MsAge7K_00"
"DRD2","DRD2","DRD2","MsAge7K_06"
"RET","RET","RET","MsAge7K_06"
"CRABP2","CRABP2","CRABP2","MsAge7K_07"
"ANKRD34C","ANKRD34C","ANKRD34C","MsAge7K_02"
"NGB","NGB","NGB","MsAge7K_06"
"QRFPR","QRFPR","QRFPR","MsAge7K_06"
"SLC6A13","SLC6A13","SLC6A13","MsAge7K_07"
"ITIH2","ITIH2","ITIH2","MsAge7K_07"
"CLIC6","CLIC6","CLIC6","MsAge7K_00"
"USP43","USP43","USP43","MsAge7K_02"
"ASB4","ASB4","ASB4","MsAge7K_06"
"COL3A1","COL3A1","COL3A1","MsAge7K_00"
"PPP3R1","PPP3R1","PPP3R1","MsAge7K_00"
"CROCC2","CROCC2","CROCC2","MsAge7K_14"
"SLC10A4","SLC10A4","SLC10A4","MsAge7K_06"
"PRKCD","PRKCD","PRKCD","MsAge7K_06"
"ANO2","ANO2","ANO2","MsAge7K_06"
"NTSR1","NTSR1","NTSR1","MsAge7K_02"
"RASGEF1C","RASGEF1C","RASGEF1C","MsAge7K_02"
"CBLN4","CBLN4","CBLN4","MsAge7K_02"
"SPHK1","SPHK1","SPHK1","MsAge7K_07"
"DGKK","DGKK","DGKK","MsAge7K_06"
"IQCA1","IQCA1","IQCA1","MsAge7K_00"
"TOP2A","TOP2A","TOP2A","MsAge7K_01"
"FERMT1","FERMT1","FERMT1","MsAge7K_02"
"RNU4-2","RNU4-2","RNU4-2","MsAge7K_00"
"ITGAX","ITGAX","ITGAX","MsAge7K_04"
"ARHGAP36","ARHGAP36","ARHGAP36","MsAge7K_06"
"ADGRD1","ADGRD1","ADGRD1","MsAge7K_06"
"CCDC180","CCDC180","CCDC180","MsAge7K_14"
"DKKL1","DKKL1","DKKL1","MsAge7K_02"
"RNU4-1","RNU4-1","RNU4-1","MsAge7K_00"
"LGALS3BP","LGALS3BP","LGALS3BP","MsAge7K_04"
"UPK1B","UPK1B","UPK1B","MsAge7K_04"
"SOWAHB","SOWAHB","SOWAHB","MsAge7K_02"
"APOLD1","APOLD1","APOLD1","MsAge7K_13"
"GABRQ","GABRQ","GABRQ","MsAge7K_06"
"TNNT2","TNNT2","TNNT2","MsAge7K_02"
"RSAD2","RSAD2","RSAD2","MsAge7K_04"
"SULT1C2","SULT1C2","SULT1C2","MsAge7K_04"
"CGA","CGA","CGA","MsAge7K_00"
"CCDC153","CCDC153","CCDC153","MsAge7K_14"
"MID1","MID1","MID1","MsAge7K_00"
"ADAM33","ADAM33","ADAM33","MsAge7K_05"
"CYP2E1","CYP2E1","CYP2E1","MsAge7K_04"
"SOST","SOST","SOST","MsAge7K_06"
"CD44","CD44","CD44","MsAge7K_00"
"PENK","PENK","PENK","MsAge7K_00"
"GNB3","GNB3","GNB3","MsAge7K_00"
"MGP","MGP","MGP","MsAge7K_07"
"ENPP6","ENPP6","ENPP6","MsAge7K_01"
"CD52","CD52","CD52","MsAge7K_04"
"INMT","INMT","INMT","MsAge7K_00"
"INMT-MINDY4","INMT-MINDY4","INMT-MINDY4","MsAge7K_00"
"GBP5","GBP5","GBP5","MsAge7K_00"
"ASPG","ASPG","ASPG","MsAge7K_04"
"CBLN3","CBLN3","CBLN3","MsAge7K_00"
"IGHM","IGHM","IGHM","MsAge7K_04"
"COL6A1","COL6A1","COL6A1","MsAge7K_05"
"TMTC2","TMTC2","TMTC2","MsAge7K_00"
"COX8C","COX8C","COX8C","MsAge7K_04"
"GBP2","GBP2","GBP2","MsAge7K_00"
"SERPINA3","SERPINA3","SERPINA3","MsAge7K_00"
"HSPA1A","HSPA1A","HSPA1A","MsAge7K_00"
"HSPA1B","HSPA1B","HSPA1B","MsAge7K_00"
"AVP","AVP","AVP","MsAge7K_00"
"WNT6","WNT6","WNT6","MsAge7K_07"
"A2M","A2M","A2M","MsAge7K_00"
"FLNC","FLNC","FLNC","MsAge7K_04"
"WFIKKN2","WFIKKN2","WFIKKN2","MsAge7K_00"
"CDH26","CDH26","CDH26","MsAge7K_00"
"FAM83D","FAM83D","FAM83D","MsAge7K_01"
"MYBPC1","MYBPC1","MYBPC1","MsAge7K_00"
