"","MsAge7K_00","MsAge7K_01","MsAge7K_02","MsAge7K_03","MsAge7K_04","MsAge7K_05","MsAge7K_06","MsAge7K_07","MsAge7K_08","MsAge7K_09","MsAge7K_10","MsAge7K_11","MsAge7K_12","MsAge7K_13","MsAge7K_14","MsAge7K_15","MsAge7K_16","MsAge7K_17"
"1","C4B","GSN","CPLX3","WNK3","C4B","DIO3","ZIC1","FMOD","KCNIP4","GALNT6","ATP5ME","DSP","RPL12","FOS","TMEM212","TSPAN18","GOLGA8J","FAM228B"
"2","C4A","CLDN11","ZDHHC22","TAOK1","C4A","TRHR","COL6A3","PTGDS","OPCML","ERMN","ATP5MD","LCT","RPL11","EGR2","CROCC2","FKBP5","GOLGA8M","TIA1"
"3","RREB1","UGT8","COBL","HIPK1","LGALS3BP","DCN","ISL1","SLC22A6","LRRTM4","SEC14L5","RPL38","NPNT","NDUFB4","ARC","CCDC153","OLFML2B","GOLGA6B","LENG8"
"4","ZC3H6","MAL","NECAB1","HTT","APOD","NR2F2","PRDM12","ALDH1A2","LINGO2","ASPA","RPL41","SEMA5A","RPS18","DUSP1","DNAH12","THSD4","GOLGA8G","ZCCHC7"
"5","VSTM5","PLP1","RIMS3","ATP8A1","TREM2","TMEM255A","SCN5A","SLC6A13","FGF14","TMEM63A","RPL37A","PROX1","RPL18A","SIK1","DNAH10","KNDC1","GOLGA8Q","FLNB"
"6","ZKSCAN2","TSPAN2","CUX2","KIAA1109","CTSS","KCNG1","PLD5","ITIH2","NRG3","GATM","RPL28","WIPF3","RPL17","SIK1B","AK7","GOLM1","GOLGA8R","NKTR"
"7","ADARB2","ADAMTS4","OLFM2","VPS13D","C1QA","EFNB2","C1orf115","MGP","CSMD1","BCAS1","NDUFB3","DGKH","RPS16","JUNB","FRMPD2","KSR1","GOLGA8T","GUF1"
"8","FLNB","CNP","LGI2","CAMSAP2","MPEG1","ADGRA1","SP8","GJB2","NLGN1","ERBIN","TMA7","ZBTB20","RPS6","EGR1","ACAP1","SIPA1L2","GOLGA6A","EML5"
"9","MALT1","DDR1","KCNT1","UBR4","C1QC","TIMP2","ANO1","SERPING1","LRP1B","SEPT4","RPL23","ORAI2","RPL14","NR4A1","DNAH6","SH3BP5","GOLGA8A","TRANK1"
"10","PLEC","SIRT2","SATB1","SMG1","C1QB","CADM1","CACNA2D2","VTN","FAM155A","PLEKHB1","NDUFA5","KIAA1211L","RPSA","TIPARP","CCDC170","ARHGAP39","GOLGA8S","SNRNP70"
