"","black","blue","brown","cyan","green","greenyellow","grey","grey60","lightcyan","magenta","midnightblue","pink","purple","red","salmon","tan","turquoise","yellow"
"1","FMOD","CPLX3","WNK3","TMEM212","DIO3","DSP","C4B","FAM228B","GOLGA8J","GALNT6","TSPAN18","KCNIP4","ATP5ME","ZIC1","FOS","RPL12","GSN","C4B"
"2","PTGDS","ZDHHC22","TAOK1","CROCC2","TRHR","LCT","C4A","TIA1","GOLGA8M","ERMN","FKBP5","OPCML","ATP5MD","COL6A3","EGR2","RPL11","CLDN11","C4A"
"3","SLC22A6","COBL","HIPK1","CCDC153","DCN","NPNT","RREB1","LENG8","GOLGA6B","SEC14L5","OLFML2B","LRRTM4","RPL38","ISL1","ARC","NDUFB4","UGT8","LGALS3BP"
"4","ALDH1A2","NECAB1","HTT","DNAH12","NR2F2","SEMA5A","ZC3H6","ZCCHC7","GOLGA8G","ASPA","THSD4","LINGO2","RPL41","PRDM12","DUSP1","RPS18","MAL","APOD"
"5","SLC6A13","RIMS3","ATP8A1","DNAH10","TMEM255A","PROX1","VSTM5","FLNB","GOLGA8Q","TMEM63A","KNDC1","FGF14","RPL37A","SCN5A","SIK1","RPL18A","PLP1","TREM2"
"6","ITIH2","CUX2","KIAA1109","AK7","KCNG1","WIPF3","ZKSCAN2","NKTR","GOLGA8R","GATM","GOLM1","NRG3","RPL28","PLD5","SIK1B","RPL17","TSPAN2","CTSS"
"7","MGP","OLFM2","VPS13D","FRMPD2","EFNB2","DGKH","ADARB2","GUF1","GOLGA8T","BCAS1","KSR1","CSMD1","NDUFB3","C1orf115","JUNB","RPS16","ADAMTS4","C1QA"
"8","GJB2","LGI2","CAMSAP2","ACAP1","ADGRA1","ZBTB20","FLNB","EML5","GOLGA6A","ERBIN","SIPA1L2","NLGN1","TMA7","SP8","EGR1","RPS6","CNP","MPEG1"
"9","SERPING1","KCNT1","UBR4","DNAH6","TIMP2","ORAI2","MALT1","TRANK1","GOLGA8A","SEPT4","SH3BP5","LRP1B","RPL23","ANO1","NR4A1","RPL14","DDR1","C1QC"
"10","VTN","SATB1","SMG1","CCDC170","CADM1","KIAA1211L","PLEC","SNRNP70","GOLGA8S","PLEKHB1","ARHGAP39","FAM155A","NDUFA5","CACNA2D2","TIPARP","RPSA","SIRT2","C1QB"
