"","kTotal","kWithin","kOut","kDiff"
"GH1",10.5622490506217,9.02475464843157,1.53749440219008,7.4872602462415
"CSH1",10.5622490506217,9.02475464843157,1.53749440219008,7.4872602462415
"GH2",10.5622490506217,9.02475464843157,1.53749440219008,7.4872602462415
"CSHL1",10.5622490506217,9.02475464843157,1.53749440219008,7.4872602462415
"CSH2",10.5622490506217,9.02475464843157,1.53749440219008,7.4872602462415
"PRL",7.71057268913104,6.69194490641916,1.01862778271188,5.67331712370727
"RN7SKP147",9.00321131602463,8.0525799434123,0.95063137261233,7.10194857079997
"LARS2",9.27193535539213,8.31348611589105,0.958449239501077,7.35503687638998
"TTR",4.75687248698732,4.06919028851626,0.687682198471063,3.3815080900452
"IL31RA",8.3050880620495,7.12418476318472,1.18090329886478,5.94328146431994
"RNVU1-1",8.41937471387401,7.66348811489575,0.755886598978263,6.90760151591748
"MT-ATP6",5.88195783285272,3.4831250490472,2.39883278380552,1.08429226524168
"CAPN11",4.27029870532228,3.45315813994999,0.817140565372287,2.63601757457771
"ZIC1",23.0426408628645,12.7400791777884,10.3025616850761,2.43751749271228
"GPR88",15.9898000699167,7.05721704602096,8.93258302389573,-1.87536597787477
"VGLL3",16.0455460288482,7.41408805583924,8.63145797300893,-1.21736991716969
"C4B",33.0255844065446,15.4047562240863,17.6208281824583,-2.21607195837208
"C4A",33.0255844065446,15.4047562240863,17.6208281824583,-2.21607195837208
"IGFBPL1",15.759131122645,3.8216949580928,11.9374361645522,-8.11574120645938
"FOS",14.4031363184015,5.77643606565931,8.62670025274219,-2.85026418708288
"LCN2",6.83001271045545,5.44242802941939,1.38758468103606,4.05484334838333
"FBXW12",20.844821067048,12.7582646540329,8.08655641301517,4.67170824101771
"KLK6",24.5781179652412,8.80239286180575,15.7757251034355,-6.97333224162972
"EOMES",16.6621255866779,7.52180338165919,9.14032220501866,-1.61851882335947
"C3",26.9390333703054,9.02955352793701,17.9094798423684,-8.8799263144314
"SAMD3",14.5173210085343,6.75836904517017,7.75895196336415,-1.00058291819397
