"","MsAge7K_00","MsAge7K_01","MsAge7K_02","MsAge7K_03","MsAge7K_04","MsAge7K_05","MsAge7K_06","MsAge7K_07","MsAge7K_08","MsAge7K_09","MsAge7K_10","MsAge7K_11","MsAge7K_12","MsAge7K_13","MsAge7K_14","MsAge7K_15","MsAge7K_16","MsAge7K_17"
"1","VSTM5","TSPAN2","COBL","CAMSAP2","C4B","TIMP2","ISL1","FMOD","CSMD1","PLEKHB1","ATP5ME","DSP","RPS18","ARC","CCDC153","ARHGAP39","GOLGA8J","LENG8"
"2","RREB1","CNP","RIMS3","HTT","C4A","CADM1","ZIC1","PTGDS","NRG3","TMEM63A","TMA7","LCT","RPL12","FOS","AK7","TSPAN18","GOLGA8M","ZCCHC7"
"3","ZC3H6","GSN","LGI2","SMG1","CTSS","DCN","PRDM12","SLC22A6","LINGO2","ERMN","RPL41","DGKH","RPL14","JUNB","TMEM212","GOLM1","GOLGA6B","TRANK1"
"4","MALT1","UGT8","ZDHHC22","ATP8A1","LGALS3BP","KCNG1","SCN5A","ITIH2","LRP1B","ERBIN","RPL37A","ZBTB20","RPL11","TIPARP","DNAH6","KSR1","GOLGA8G","TIA1"
"5","ADARB2","PLP1","SATB1","VPS13D","APOD","NR2F2","PLD5","ALDH1A2","NLGN1","SEC14L5","NDUFA5","PROX1","RPL17","NR4A1","CROCC2","KNDC1","GOLGA8Q","FLNB"
"6","ZKSCAN2","ADAMTS4","CPLX3","TAOK1","C1QC","EFNB2","C1orf115","VTN","FGF14","ASPA","RPL28","ORAI2","RPS6","EGR1","DNAH10","OLFML2B","GOLGA8R","EML5"
"7","C4B","MAL","NECAB1","KIAA1109","TREM2","DIO3","SP8","SLC6A13","OPCML","SEPT4","RPL38","SEMA5A","RPS16","EGR2","DNAH12","SH3BP5","GOLGA8T","SNRNP70"
"8","C4A","CLDN11","OLFM2","WNK3","C1QB","TRHR","ANO1","SERPING1","KCNIP4","GALNT6","ATP5MD","KIAA1211L","NDUFB4","SIK1","CCDC170","THSD4","GOLGA6A","GUF1"
"9","PLEC","SIRT2","KCNT1","HIPK1","MPEG1","TMEM255A","CACNA2D2","GJB2","FAM155A","BCAS1","NDUFB3","NPNT","RPSA","SIK1B","FRMPD2","FKBP5","GOLGA8A","FAM228B"
"10","FLNB","DDR1","CUX2","UBR4","C1QA","ADGRA1","COL6A3","MGP","LRRTM4","GATM","RPL23","WIPF3","RPL18A","DUSP1","ACAP1","SIPA1L2","GOLGA8S","NKTR"
