"","PSID","Gene","Module"
"HSPA1A","HSPA1A","HSPA1A","HuAgeDis_10"
"HBA1","HBA1","HBA1","HuAgeDis_00"
"HBA2","HBA2","HBA2","HuAgeDis_00"
"HBG1","HBG1","HBG1","HuAgeDis_00"
"MT1F","MT1F","MT1F","HuAgeDis_05"
"ELF5","ELF5","ELF5","HuAgeDis_00"
"MUTYH","MUTYH","MUTYH","HuAgeDis_01"
"C1orf182","C1orf182","C1orf182","HuAgeDis_00"
"MID1IP1","MID1IP1","MID1IP1","HuAgeDis_03"
"RGS1","RGS1","RGS1","HuAgeDis_02"
"DSP","DSP","DSP","HuAgeDis_11"
"TMPRSS5","TMPRSS5","TMPRSS5","HuAgeDis_00"
"SNCB","SNCB","SNCB","HuAgeDis_00"
"IL6","IL6","IL6","HuAgeDis_00"
"IGF2","IGF2","IGF2","HuAgeDis_00"
"MT1JP","MT1JP","MT1JP","HuAgeDis_05"
"SLC1A7","SLC1A7","SLC1A7","HuAgeDis_00"
"FAM20A","FAM20A","FAM20A","HuAgeDis_11"
"CXCL2","CXCL2","CXCL2","HuAgeDis_00"
"BAG3","BAG3","BAG3","HuAgeDis_10"
"CYP1B1","CYP1B1","CYP1B1","HuAgeDis_02"
"ADM","ADM","ADM","HuAgeDis_00"
"CRYBB2","CRYBB2","CRYBB2","HuAgeDis_00"
"FMOD","FMOD","FMOD","HuAgeDis_11"
"DNAJB1","DNAJB1","DNAJB1","HuAgeDis_10"
"MBP","MBP","MBP","HuAgeDis_00"
"VGF","VGF","VGF","HuAgeDis_01"
"IRX3","IRX3","IRX3","HuAgeDis_00"
"TMEM30B","TMEM30B","TMEM30B","HuAgeDis_00"
"G0S2","G0S2","G0S2","HuAgeDis_10"
"SYTL4","SYTL4","SYTL4","HuAgeDis_05"
"VCAM1","VCAM1","VCAM1","HuAgeDis_11"
"FOXJ1","FOXJ1","FOXJ1","HuAgeDis_10"
"ZNF423","ZNF423","ZNF423","HuAgeDis_04"
"ANGPTL4","ANGPTL4","ANGPTL4","HuAgeDis_00"
"CHI3L1","CHI3L1","CHI3L1","HuAgeDis_00"
"SERPINA3","SERPINA3","SERPINA3","HuAgeDis_00"
"SLC14A1","SLC14A1","SLC14A1","HuAgeDis_02"
"SNAP25","SNAP25","SNAP25","HuAgeDis_01"
"MT1L","MT1L","MT1L","HuAgeDis_05"
"IL18RAP","IL18RAP","IL18RAP","HuAgeDis_00"
"SLCO4A1","SLCO4A1","SLCO4A1","HuAgeDis_05"
"ENSA","ENSA","ENSA","HuAgeDis_01"
"MKNK2","MKNK2","MKNK2","HuAgeDis_10"
"MGAT5B","MGAT5B","MGAT5B","HuAgeDis_04"
"CAMK2N1","CAMK2N1","CAMK2N1","HuAgeDis_08"
"ANGPT2","ANGPT2","ANGPT2","HuAgeDis_02"
"JUNB","JUNB","JUNB","HuAgeDis_00"
"AHNAK","AHNAK","AHNAK","HuAgeDis_00"
"GEM","GEM","GEM","HuAgeDis_05"
"CTGF","CTGF","CTGF","HuAgeDis_00"
"FRMPD2","FRMPD2","FRMPD2","HuAgeDis_01"
"HLA-DRB3","HLA-DRB3","HLA-DRB3","HuAgeDis_07"
"HPR","HPR","HPR","HuAgeDis_00"
