"","HuAgeDis_00","HuAgeDis_01","HuAgeDis_02","HuAgeDis_03","HuAgeDis_04","HuAgeDis_05","HuAgeDis_06","HuAgeDis_07","HuAgeDis_08","HuAgeDis_09","HuAgeDis_10","HuAgeDis_11"
"1","EEF1A1","NRN1","CD302","SIPA1","IRF2BP1","ZFP36L1","SVOP","TYROBP","LPHN1","PARD6A","BAG3","FMOD"
"2","ADD3","NAP1L5","LRP10","PHF19","FAM100A","CD59","ACTR3B","TBXAS1","CBX4","SUMO3","DNAJB1","KIAA1199"
"3","KIAA1407","NRXN3","PTTG1IP","MAPKAPK2","PHF1","METTL7A","C6orf154","FCER1G","ATP6V0C","COX5A","MKNK2","FRZB"
"4","RAPGEF6","TOMM20","NFE2L2","KLHL21","HECTD3","LRP10","TRIM9","ITGB2","DLGAP4","HRAS","CHORDC1","CFH"
"5","PAN3","GOT1","NPC2","SAFB2","HSF1","MAPKAPK2","TTC9B","PTPRC","SYP","MRPL46","P4HA2","ANXA2"
"6","ANXA4","GPRASP1","PRKD3","RBM4","ANKRD13B","AFF1","NFKBIE","SLC7A7","CFL1","RUVBL2","HSPH1","ANXA2P1"
"7","ZKSCAN1","NKIRAS1","AFF1","C1orf144","ZNF574","INPPL1","CLTA","LST1","SSBP4","DCTN3","DNAJA1","DCN"
"8","DHTKD1","ATP6AP2","MAPRE1","ZNF646","ADRM1","TBL1X","ACOT7","MYO1F","PARD6A","C17orf81","SPR","BMP6"
"9","C6orf70","MDH2","DYNLT1","AUP1","FAM89B","SERPINB6","C10orf35","RNASET2","GSK3A","ASNA1","DEDD2","SVIL"
"10","DNAJC10","CMAS","TBC1D2B","RAF1","DEDD","TBC1D2B","LARGE","CYBA","RUSC1","CUEDC2","STIP1","FBLN5"
