"","black","blue","brown","green","greenyellow","grey","magenta","pink","purple","red","turquoise","yellow"
"1","TYROBP","CD302","SIPA1","ZFP36L1","FMOD","EEF1A1","PARD6A","LPHN1","BAG3","SVOP","NRN1","IRF2BP1"
"2","TBXAS1","LRP10","PHF19","CD59","KIAA1199","ADD3","SUMO3","CBX4","DNAJB1","ACTR3B","NAP1L5","FAM100A"
"3","FCER1G","PTTG1IP","MAPKAPK2","METTL7A","FRZB","KIAA1407","COX5A","ATP6V0C","MKNK2","C6orf154","NRXN3","PHF1"
"4","ITGB2","NFE2L2","KLHL21","LRP10","CFH","RAPGEF6","HRAS","DLGAP4","CHORDC1","TRIM9","TOMM20","HECTD3"
"5","PTPRC","NPC2","SAFB2","MAPKAPK2","ANXA2","PAN3","MRPL46","SYP","P4HA2","TTC9B","GOT1","HSF1"
"6","SLC7A7","PRKD3","RBM4","AFF1","ANXA2P1","ANXA4","RUVBL2","CFL1","HSPH1","NFKBIE","GPRASP1","ANKRD13B"
"7","LST1","AFF1","C1orf144","INPPL1","DCN","ZKSCAN1","DCTN3","SSBP4","DNAJA1","CLTA","NKIRAS1","ZNF574"
"8","MYO1F","MAPRE1","ZNF646","TBL1X","BMP6","DHTKD1","C17orf81","PARD6A","SPR","ACOT7","ATP6AP2","ADRM1"
"9","RNASET2","DYNLT1","AUP1","SERPINB6","SVIL","C6orf70","ASNA1","GSK3A","DEDD2","C10orf35","MDH2","FAM89B"
"10","CYBA","TBC1D2B","RAF1","TBC1D2B","FBLN5","DNAJC10","CUEDC2","RUSC1","STIP1","LARGE","CMAS","DEDD"
