"","HuAgeDis_00","HuAgeDis_01","HuAgeDis_02","HuAgeDis_03","HuAgeDis_04","HuAgeDis_05","HuAgeDis_06","HuAgeDis_07","HuAgeDis_08","HuAgeDis_09","HuAgeDis_10","HuAgeDis_11"
"1","ANXA4","NRXN3","PRKD3","RAF1","HSF1","LRP10","ACTR3B","TBXAS1","SYP","DCTN3","P4HA2","CFH"
"2","PAN3","GOT1","AFF1","SAFB2","PHF1","MAPKAPK2","ACOT7","TYROBP","SSBP4","PARD6A","CHORDC1","ANXA2P1"
"3","C6orf70","MDH2","NFE2L2","MAPKAPK2","IRF2BP1","METTL7A","C10orf35","PTPRC","ATP6V0C","SUMO3","STIP1","KIAA1199"
"4","KIAA1407","NRN1","PTTG1IP","PHF19","HECTD3","CD59","SVOP","ITGB2","RUSC1","CUEDC2","DEDD2","ANXA2"
"5","RAPGEF6","TOMM20","DYNLT1","SIPA1","FAM89B","SERPINB6","CLTA","MYO1F","PARD6A","RUVBL2","DNAJA1","FRZB"
"6","ZKSCAN1","NAP1L5","MAPRE1","AUP1","ANKRD13B","INPPL1","LARGE","LST1","GSK3A","HRAS","MKNK2","DCN"
"7","EEF1A1","ATP6AP2","TBC1D2B","KLHL21","ADRM1","AFF1","NFKBIE","CYBA","LPHN1","ASNA1","SPR","FBLN5"
"8","DNAJC10","CMAS","NPC2","ZNF646","ZNF574","TBC1D2B","C6orf154","SLC7A7","DLGAP4","COX5A","DNAJB1","FMOD"
"9","ADD3","GPRASP1","CD302","RBM4","FAM100A","ZFP36L1","TRIM9","RNASET2","CFL1","MRPL46","BAG3","SVIL"
"10","DHTKD1","NKIRAS1","LRP10","C1orf144","DEDD","TBL1X","TTC9B","FCER1G","CBX4","C17orf81","HSPH1","BMP6"
