"","kTotal","kWithin","kOut","kDiff"
"HSPA1A",9.09291949059763,2.48612912740106,6.60679036319657,-4.12066123579551
"HBA1",4.01622042481172,2.99904957997984,1.01717084483188,1.98187873514796
"HBA2",3.92429692440733,2.93613940928834,0.98815751511899,1.94798189416935
"HBG1",2.31485330213558,1.30302299838488,1.0118303037507,0.291192694634184
"MT1F",10.1131889814699,2.62043211418587,7.49275686728398,-4.87232475309811
"ELF5",2.57884778506506,1.21267146556355,1.36617631950152,-0.153504853937971
"MUTYH",9.55187469008042,7.03179412578375,2.52008056429667,4.51171356148708
"C1orf182",4.05993554344613,2.32132347545791,1.73861206798822,0.582711407469697
"MID1IP1",18.1706025027855,6.83073771776854,11.339864785017,-4.50912706724847
"RGS1",7.85113390672262,2.28968741778971,5.56144648893291,-3.27175907114319
"DSP",13.3618809593915,2.75731232805581,10.6045686313357,-7.84725630327987
"TMPRSS5",4.55519339950322,1.59284013687172,2.9623532626315,-1.36951312575978
"SNCB",4.10014205983758,2.69542458724174,1.40471747259584,1.2907071146459
"IL6",2.80782813473234,1.46903912057112,1.33878901416122,0.130250106409893
"IGF2",6.68504106340186,2.0627355562587,4.62230550714316,-2.55956995088445
"MT1JP",12.1813756285395,3.62594442116912,8.55543120737035,-4.92948678620123
"SLC1A7",3.22536527983637,1.37448102467408,1.85088425516229,-0.476403230488212
"FAM20A",10.4418927227774,1.57050256375718,8.87139015902022,-7.30088759526304
"CXCL2",3.02788990224263,1.38468312727142,1.6432067749712,-0.258523647699785
"BAG3",12.6458863154141,3.96639331568975,8.67949299972434,-4.71309968403459
"CYP1B1",9.54367286858348,3.34210742069057,6.20156544789291,-2.85945802720234
"ADM",6.40365078752692,2.27337744294461,4.13027334458231,-1.85689590163769
"CRYBB2",4.06644322122829,1.22070209415999,2.8457411270683,-1.62503903290831
"FMOD",16.4659536368357,3.498602876673,12.9673507601627,-9.46874788348973
"DNAJB1",10.6670464414056,4.31518362620256,6.35186281520308,-2.03667918900052
"MBP",6.69785582740973,3.06230871631672,3.635547111093,-0.573238394776276
"VGF",43.116360674648,35.7049751055496,7.41138556909842,28.2935895364512
"IRX3",7.33018082257577,1.99302915082534,5.33715167175043,-3.34412252092509
"TMEM30B",5.46713246821256,2.43775242679789,3.02938004141467,-0.591627614616781
"G0S2",8.08787581259191,2.27924044966623,5.80863536292568,-3.52939491325945
"SYTL4",19.358833838624,4.51307713100873,14.8457567076153,-10.3326795766066
"VCAM1",13.7999144717762,3.11581949457435,10.6840949772018,-7.56827548262749
"FOXJ1",9.7099578447302,1.41653941745815,8.29341842727205,-6.87687900981391
"ZNF423",15.519256302149,4.52504500025173,10.9942113018973,-6.46916630164556
"ANGPTL4",4.54180026922573,1.94313782196376,2.59866244726198,-0.655524625298223
"CHI3L1",5.56021741655714,2.14969383692754,3.41052357962959,-1.26082974270205
"SERPINA3",8.69093125346202,3.56921147686465,5.12171977659737,-1.55250829973272
"SLC14A1",9.39743420797154,3.54856213743746,5.84887207053408,-2.30030993309663
"SNAP25",27.0974016690488,23.8540624315752,3.24333923747355,20.6107231941017
"MT1L",14.529222862568,3.35032135950959,11.1789015030584,-7.82858014354884
"IL18RAP",4.67732814672203,1.86490250647016,2.81242564025188,-0.94752313378172
"SLCO4A1",19.1935925104349,4.50074537111198,14.6928471393229,-10.1921017682109
"ENSA",29.6459726899597,26.0076167934741,3.63835589648562,22.3692608969884
"MKNK2",18.5232587063255,4.6747048683853,13.8485538379402,-9.17384896955492
"MGAT5B",12.6814408904758,4.6377621029024,8.04367878757338,-3.40591668467098
"CAMK2N1",9.28169209326674,1.56430748879052,7.71738460447621,-6.15307711568569
"ANGPT2",11.5769035899131,4.10821298743947,7.46869060247364,-3.36047761503417
"JUNB",3.79362993947432,1.571777264723,2.22185267475133,-0.650075410028331
"AHNAK",4.91656054986967,2.2579635689138,2.65859698095587,-0.400633412042071
"GEM",17.1029727525474,4.34109500808123,12.7618777444662,-8.42078273638494
"CTGF",5.99031999128744,2.04755099540088,3.94276899588656,-1.89521800048568
"FRMPD2",44.3053268854204,37.4488941391582,6.85643274626221,30.592461392896
"HLA-DRB3",5.44354756509967,1.24106278168158,4.20248478341809,-2.96142200173651
"HPR",4.14806919637745,1.65213623122674,2.49593296515071,-0.843796733923961
"CEBPD",21.495827794924,5.03403993516227,16.4617878597617,-11.4277479245994
"KIAA1199",15.7841492592598,3.9130519882573,11.8710972710025,-7.95804528274519
"RTEL1",5.752880729462,1.70969727382626,4.04318345563574,-2.33348618180948
"HLA-DRB1",3.71942424743494,1.49180768157241,2.22761656586253,-0.735808884290118
"HIST1H2BD",23.4868569297526,8.65934804344361,14.827508886309,-6.16816084286535
"HSPA6",6.03815779130064,1.94640626057962,4.09175153072102,-2.1453452701414
"HBB",3.2274290228155,2.32515204800768,0.902276974807821,1.42287507319986
"AP2B1",3.54080452523559,1.98530871232833,1.55549581290726,0.429812899421065
"ZNF100",3.11035038857654,1.33776696134775,1.77258342722879,-0.43481646588104
"APOLD1",8.66523646129194,3.4478050081796,5.21743145311234,-1.76962644493273
"ITGB1BP1",3.21347760097588,1.11598672987202,2.09749087110386,-0.981504141231846
"C1QA",17.2248134913219,5.94604006028815,11.2787734310337,-5.33273337074559
"TXNIP",13.9343210021506,5.70402808660713,8.23029291554351,-2.52626482893637
"C4B",17.8199454314275,7.50073076870232,10.3192146627252,-2.81848389402284
"HES5",5.00538081486589,1.70111792155583,3.30426289331006,-1.60314497175423
"SLC30A4",8.35873674187674,2.48707486753136,5.87166187434538,-3.38458700681401
"CCL2",4.56783206968395,1.97692011627657,2.59091195340738,-0.613991837130812
"IFITM3",14.4444306356979,5.55695640824429,8.88747422745364,-3.33051781920935
"EDN1",3.33457008599998,1.63881470765571,1.69575537834427,-0.0569406706885669
"HBD",3.19853203682965,2.27845905141215,0.920072985417499,1.35838606599465
"MLPH",18.4180303376414,3.03073901471824,15.3872913229232,-12.3565523082049
"C7",14.3683627218312,1.468345826973,12.9000168948582,-11.4316710678852
"DDIT4",17.4229430413165,5.24492818633992,12.1780148549766,-6.93308666863671
"S100A4",21.5197679116079,4.34403122290279,17.1757366887051,-12.8317054658023
"FRZB",13.6371744979432,4.10137784020883,9.53579665773433,-5.4344188175255
"FKBP5",35.8883662508546,13.207411126431,22.6809551244236,-9.47354399799261
"CFH",29.152452393799,4.76141431935246,24.3910380744466,-19.6296237550941
"GADD45B",6.1812398007586,2.77444728390487,3.40679251685373,-0.632345232948865
"GBP3",5.02283173470949,1.80896096184767,3.21387077286182,-1.40490981101415
"HIST1H1C",9.25649195872781,2.77986125179882,6.47663070692899,-3.69676945513017
"IER3",6.68769029112546,1.87826166249297,4.80942862863249,-2.93116696613951
"AHDC1",15.9792791871696,5.19782712257851,10.7814520645911,-5.58362494201258
"DDIT4L",19.1593253492624,4.8888990224934,14.270426326769,-9.38152730427564
"PRELP",37.1597497291746,2.73588256934331,34.4238671598313,-31.687984590488
"MRVI1",3.00521458320035,1.61566098732965,1.3895535958707,0.226107391458947
"SPON2",24.8760844102153,21.4091144036933,3.466970006522,17.9421443971713
"TLN1",26.7871132386532,10.0728395991021,16.7142736395511,-6.64143404044899
"RGS4",49.0634573660423,44.6697547868465,4.39370257919579,40.2760522076507
"COL1A2",13.6584834945164,3.34149523758003,10.3169882569363,-6.97549301935629
"LILRB3",6.08980704916394,1.99870740359401,4.09109964556993,-2.09239224197592
"CX3CR1",4.12533731715056,1.41666891583931,2.70866840131125,-1.29199948547193
"AGTR1",11.4982061121153,2.11441365318689,9.38379245892841,-7.26937880574152
"SERPINA5",8.36102739002784,3.40378010323683,4.95724728679101,-1.55346718355418
"THSD4",12.3241184686092,1.8093314758592,10.51478699275,-8.70545551689079
"AQP1",6.66855793974563,2.12708409955695,4.54147384018868,-2.41438974063173
"S100A1",6.71897437246029,1.52617869195186,5.19279568050843,-3.66661698855657
