"","PSID","Gene","Module","PCblack.cor","PCblack.pval","PCblue.cor","PCblue.pval","PCbrown.cor","PCbrown.pval","PCgreen.cor","PCgreen.pval","PCgreenyellow.cor","PCgreenyellow.pval","PCgrey.cor","PCgrey.pval","PCmagenta.cor","PCmagenta.pval","PCpink.cor","PCpink.pval","PCpurple.cor","PCpurple.pval","PCred.cor","PCred.pval","PCturquoise.cor","PCturquoise.pval","PCyellow.cor","PCyellow.pval"
"HSPA1A","HSPA1A","HSPA1A","purple","0.0533836523872377","0.178413546793577","0.0814733122571833","0.0398140375577146","0.396906343698315","1.82346430234993e-25","0.206391573294976","1.47587560852506e-07","-0.0132899360252736","0.737791951959059","-0.370393334083796","3.80542449492567e-22","0.144973173613741","0.000241430785127409","0.246261986390326","2.96790293088498e-10","0.728769565230066","1.59835184292837e-106","0.0651087144332598","0.100634684425411","-0.232115628150676","3.06690282368868e-09","0.367248004120954","9.0015032293663e-22"
"HBA1","HBA1","HBA1","grey","-0.00841641227737629","0.832101431035924","0.0721177865859715","0.0689168225666434","-0.210282330951966","8.46756646202093e-08","-0.0812411768154349","0.0403842877941322","0.16489586760313","2.88610864495792e-05","0.362092342655886","3.6169507932972e-21","-0.316772496234208","2.58750242369153e-16","-0.342013002049631","6.42825120797181e-19","-0.178523885221468","5.80537823080217e-06","-0.233342657199532","2.51921753531196e-09","0.00836551288502607","0.83310186922255","-0.343218974239085","4.75883957139251e-19"
"HBA2","HBA2","HBA2","grey","-0.0102641741752442","0.795979345524684","0.0740250976860921","0.061873408633791","-0.195045926965898","7.02073027099908e-07","-0.0721466655582532","0.0688054730199608","0.162040398318773","3.97605035108353e-05","0.343863493074766","4.05017356022279e-19","-0.307479394407444","2.04980742836129e-15","-0.329163158469766","1.46051665709293e-17","-0.164299010449982","3.08737338693861e-05","-0.227688584287762","6.17975963909079e-09","0.00336321689087938","0.932486160868388","-0.326297699719878","2.87306487155207e-17"
"HBG1","HBG1","HBG1","grey","-0.0713078002038241","0.0721005632561657","-0.0470277090101637","0.235918493087671","-0.164037214814559","3.17978864068989e-05","-0.108188900552453","0.00627169329609001","-0.0189416891908654","0.633240742409783","0.151270831379473","0.000126857908129106","-0.108741115017855","0.00600951456394686","-0.110261704510249","0.0053377256533545","-0.0983125667174771","0.0130486150852822","-0.0336203208891794","0.396933024818653","0.0825643718664716","0.0372242847131212","-0.177649768340893","6.45840196094895e-06"
"MT1F","MT1F","MT1F","green","0.262058501068651","1.83182800611518e-11","0.388550527456625","2.18776030485164e-24","0.422891622235652","5.03904602860902e-29","0.507915222849029","4.46686937587615e-43","0.199620888515324","3.78392768702363e-07","-0.0779056681446949","0.0493707282050319","-0.0504628949523648","0.203396280097293","-0.0137997096896385","0.728124528609435","0.0165506611106487","0.676731133707521","-0.257699124258591","4.02646743327732e-11","-0.374568428477075","1.19584950349289e-22","0.297154469544787","1.87716456724197e-14"
"ELF5","ELF5","ELF5","grey","0.0675807314006649","0.088332669811554","0.0594181183973193","0.134127068626084","0.157749618873282","6.37011972286917e-05","0.0980397323835751","0.0133043400396312","-0.0102008068388903","0.797211396315012","-0.150566961530063","0.000136491673843079","0.0736021180203799","0.0633818230390109","0.12107681557054","0.00220520145399143","0.0733612245331391","0.0642543522101734","0.00349883777159268","0.929770570998105","-0.109462391372218","0.00568191903983392","0.194834966431872","7.22118953148268e-07"
"MUTYH","MUTYH","MUTYH","turquoise","-0.221273016076466","1.66322980407273e-08","-0.295501209305137","2.65433580493106e-14","-0.437739581438578","3.34941357336102e-31","-0.328416656790767","1.74323932722184e-17","-0.212604376891071","6.04700571646172e-08","0.249135077501692","1.81365645500252e-10","0.00749688009240369","0.85021530417633","-0.108927529218448","0.00592325930444428","-0.299070211853031","1.25297526135615e-14","0.191093525830284","1.18367888572659e-06","0.432074888723369","2.33580396241402e-30","-0.395093968347682","3.14472539524067e-25"
"C1orf182","C1orf182","C1orf182","grey","-0.0818240366474667","0.038965405980277","-0.0478873504058159","0.227454973373417","-0.223211388288473","1.23708911847593e-08","-0.0903207713978948","0.0226209116905915","-0.0295034886137315","0.457279688810525","0.280470300458428","5.59288586397975e-13","-0.144529177274529","0.000252393005800007","-0.219874132310802","2.05587091111739e-08","-0.116243434754319","0.0033027828203157","-0.0355184317848717","0.370805055717079","0.154876509666883","8.67530066413254e-05","-0.324169282919763","4.72706961765082e-17"
"MID1IP1","MID1IP1","MID1IP1","brown","0.235715492193159","1.71668886609192e-09","0.280796860145709","5.2446360300695e-13","0.624788153185124","2.91312693371326e-70","0.502077179381411","5.57629203098322e-42","0.0878407797074223","0.0266276475104761","-0.449356302222181","5.55507776818373e-33","0.21786855226907","2.77904218795555e-08","0.281101545697579","4.9389170233807e-13","0.291614021446067","5.94132888525475e-14","-0.0455254133819598","0.2512379700425","-0.370622317985697","3.57289812385842e-22","0.600861258886925","9.11046674606212e-64"
"RGS1","RGS1","RGS1","blue","0.460364193308301","9.8445457300201e-35","0.437360566991793","3.81858353633177e-31","0.287433735241596","1.3939523335082e-13","0.37970157598368","2.81505063230481e-23","0.409757872715202","3.4675002751559e-27","0.0973832974074625","0.0139377989340076","-0.296426177584809","2.18725723287691e-14","-0.191985821084577","1.05299933531351e-06","-0.0133867706532783","0.735952325476991","-0.386372382096315","4.13282178240647e-24","-0.419810798860388","1.38272263904904e-28","0.0641014055296911","0.10602270126032"
