"","CorrDisease","PvalDisease"
"HSPA1A",0.170038075975385,1.59894928644221e-05
"HBA1",-0.109047988226204,0.00586811569185161
"MT1F",0.283906319210217,2.83145106963753e-13
"MUTYH",-0.310120165118493,1.14688472347164e-15
"C1orf182",-0.119370598528931,0.00254737344846441
"MID1IP1",0.344804066296631,3.19879557033633e-19
"RGS1",0.221406560145095,1.62979659028766e-08
"DSP",0.243285181724919,4.91172158171251e-10
"TMPRSS5",0.229095028346598,4.95425908731526e-09
"SNCB",-0.109324693379156,0.0057431902329493
"IGF2",0.240693785190073,7.57453973148666e-10
"MT1JP",0.283522148355534,3.05678966481717e-13
"SLC1A7",0.139945392431708,0.000396244953948453
"FAM20A",0.254612027893794,6.97147662915575e-11
"CXCL2",0.113173722088021,0.00423695972918382
"BAG3",0.21704147512302,3.14421540874679e-08
"CYP1B1",0.248783347059825,1.92701531371518e-10
"ADM",0.191410293009339,1.13559877915377e-06
"CRYBB2",-0.175950439896124,7.93386260083691e-06
"FMOD",0.31645891697523,2.77797998740552e-16
"DNAJB1",0.11462777989559,0.00376814376108344
"MBP",-0.306578050043146,2.49579905984973e-15
"VGF",-0.46625144894274,1.07134807765306e-35
"IRX3",0.262822115379439,1.59337761014937e-11
"TMEM30B",0.13294700269951,0.000768819091284882
"G0S2",0.114148669702896,0.00391714789377207
"SYTL4",0.395520353803122,2.76713967280087e-25
"VCAM1",0.270370807734584,3.91790457835878e-12
"FOXJ1",0.241330915368563,6.81247220991152e-10
"ZNF423",0.293759922442576,3.81390288209454e-14
"ANGPTL4",0.16214897462669,3.92829381723042e-05
"CHI3L1",0.170371888270836,1.53787589127114e-05
"SERPINA3",0.197179302410064,5.27216469899923e-07
"SLC14A1",0.275869787826877,1.37110574261244e-12
"SNAP25",-0.477353638730535,1.45076718679234e-37
"MT1L",0.341505155603171,7.29316065037876e-19
"IL18RAP",0.200506587378067,3.35154022993512e-07
"SLCO4A1",0.391383435710728,9.49737201079176e-25
"ENSA",-0.429663873499694,5.279882699133e-30
"MKNK2",0.232169761096454,3.04047191346832e-09
"CAMK2N1",-0.203021112826811,2.36776019124639e-07
"ANGPT2",0.275575065517298,1.45134787987576e-12
"JUNB",0.119206648249251,0.00258268187803879
"AHNAK",0.175831986521982,8.04789188086628e-06
"GEM",0.346131416233338,2.28961205993693e-19
"CTGF",0.19278403301711,9.47933120520508e-07
"FRMPD2",-0.457666181165841,2.68169880240122e-34
"HLA-DRB3",0.183899565325802,2.97985551848492e-06
"HPR",0.211144001632524,7.47640965012391e-08
"CEBPD",0.400235908077462,6.6411457011624e-26
"KIAA1199",0.317006493882393,2.45379056165402e-16
"RTEL1",0.221672140612151,1.56523193914816e-08
"HLA-DRB1",0.206690192559136,1.41479819465628e-07
"HIST1H2BD",0.374420256035188,1.24636063699692e-22
"AP2B1",-0.117497727968071,0.00297821431170625
"ZNF100",0.13930563821611,0.000421540853089851
"APOLD1",0.248795294929636,1.92305375931149e-10
"ITGB1BP1",-0.12768208715317,0.00124029500155219
"C1QA",0.382670549729771,1.20505638175604e-23
"TXNIP",0.267828635732777,6.3151161023386e-12
"C4B",0.409840365793026,3.37851796186782e-27
"HES5",-0.220362285604142,1.90961463510705e-08
"SLC30A4",0.151535344228068,0.000123405747981811
"CCL2",0.17482304239778,9.08456275854286e-06
"IFITM3",0.308670622512033,1.57857777572947e-15
"EDN1",0.150005600629751,0.00014466343695616
"MLPH",0.346014865120274,2.35798778628905e-19
"C7",0.328213330368047,1.82916231139796e-17
"DDIT4",0.366187575305005,1.20074243506453e-21
"S100A4",0.404083925095287,2.03728935225116e-26
"FRZB",0.287160345193115,1.47318086525699e-13
"FKBP5",0.468941835806927,3.83222784035313e-36
"CFH",0.376080854363167,7.82979661224771e-23
"GADD45B",0.208179162387777,1.14489377946054e-07
"GBP3",0.208794446109335,1.04852648285637e-07
"HIST1H1C",0.285465161970023,2.07270669040024e-13
"IER3",0.244275910661451,4.15659745598866e-10
"AHDC1",0.285266878683622,2.15683361346332e-13
"DDIT4L",0.384937870278994,6.26689815345764e-24
"PRELP",0.4930133702184,2.55293709917087e-40
"MRVI1",0.160817609379225,4.55324779481086e-05
"SPON2",-0.460514393239186,9.30792021269347e-35
"TLN1",0.435489349438381,7.27671062565544e-31
"RGS4",-0.448309855296104,8.08891646646967e-33
"COL1A2",0.268885519622928,5.1814638840506e-12
"LILRB3",0.253195780964742,8.9462536835062e-11
"AGTR1",0.276262919918822,1.2707975414882e-12
"SERPINA5",0.187400642822862,1.9097571538514e-06
"THSD4",0.225954594586367,8.09955632919608e-09
"AQP1",0.241915817512294,6.17892571266084e-10
"S100A1",0.248752541415785,1.93726626745114e-10
"MICB",0.119602932290244,0.00249809194513766
"GADD45G",0.268809612607557,5.25577304643067e-12
"COL6A3",0.271526100629831,3.14854450986229e-12
"HLA-DPA1",0.244507355236928,3.99720453756421e-10
"GJA1",0.412532225294199,1.44071218611389e-27
"CXCL12",-0.319334794585165,1.44359674725207e-16
"LHX1",0.107844376658085,0.00644042428987454
"TGFBI",0.248308393984279,2.09110331877717e-10
"CD24",-0.142322136473281,0.000314140144424596
"SYT1",-0.443572258489552,4.36210301176149e-32
"CTXN1",-0.233236140974373,2.56271943507561e-09
"SLC1A2",-0.297164614064397,1.8731654945659e-14
"S100A11",0.493274125818995,2.29063506804737e-40
"PLA1A",0.263386765515454,1.43683887409661e-11
"PEX6",0.163303230420176,3.45307274332637e-05
"CD68",0.249268854132552,1.7722706579845e-10
"MBNL1",0.12281563872718,0.00190020499108776
"ADARB2",0.230022306192431,4.27905540252494e-09
"AEBP1",0.471884302702681,1.23188864680515e-36
"CXCR4",0.28020279292921,5.89495089684274e-13
"GSTM1",0.115832498934628,0.00341591258267738
"TIMP1",0.304414666070413,3.99220490399144e-15
"KLF2",0.20349167181912,2.21760666306594e-07
"MT1X",0.402217051457652,3.62131720252219e-26
"IMPDH2",-0.266954290862399,7.43333953489915e-12
"CHORDC1",0.266015986560644,8.84869528056085e-12
"AZGP1",0.316806717782916,2.56750923618188e-16
"KLF15",0.541952823021619,6.55176460579408e-50
"TRPM4",0.118610151979712,0.00271494318167903
"FCGR3A",0.213124944207627,5.6044460467897e-08
"MTA2",0.310627853327613,1.0250464878148e-15
"SLC35E2",0.124084220404184,0.00170263273492484
"MYOT",0.399671897386435,7.88677296006354e-26
"RBM3",-0.472296661405831,1.04982129669231e-36
"FMN2",-0.408466873206299,5.20351864696001e-27
"PDK4",0.241610331592071,6.50230528413019e-10
"PVALB",-0.268306641753728,5.77516375954976e-12
"FOXC1",0.406580834849572,9.38527609338475e-27
"BCAS1",-0.253306354071165,8.77421373125505e-11
"FAM107A",0.374004040118965,1.39979332550744e-22
"CDKN1A",0.356273676651029,1.68639722882195e-20
"STON1",0.207788262598376,1.21050072564828e-07
"RGL3",0.241481771415284,6.64326784578237e-10
"TRIP10",0.435575514889451,7.06445295974474e-31
"AIF1",0.208679901583621,1.06585237907549e-07
"CAPS",0.324326222697157,4.55727603761965e-17
"CFI",0.287541482461591,1.36388815437749e-13
"STX11",0.314035348362609,4.79644838040742e-16
"KDR",0.212353562068247,6.2721150621462e-08
"CD44",0.207093394914662,1.33618813255306e-07
"CNTFR",0.167901722764343,2.04793122946993e-05
"IGFBP5",0.195892835280581,6.26850955086535e-07
"AXL",0.296358734268088,2.21839576993209e-14
"TRIM4",0.202195626136489,2.65515469542009e-07
"GAP43",-0.418102858929689,2.40890195424844e-28
"PITPNB",-0.323558095009981,5.44970235031798e-17
"P4HA2",0.262981406547422,1.54760441313574e-11
"CXorf36",0.110338498037418,0.00530566725078967
"CD99",0.457327679000597,3.03906222473104e-34
"GBP2",0.228272642528868,5.63876755950741e-09
"POMC",-0.132828740649593,0.000777271599188025
"HES1",0.114207919891873,0.00389843607250482
"MRGPRF",0.38078453969559,2.06784651074144e-23
"SLC16A1",0.166078967812875,2.5233520995662e-05
"HMBOX1",0.124672492904391,0.00161757030140561
"IL10RA",0.31050390815014,1.05356253250984e-15
"ABCA6",0.159658541547094,5.17283701504165e-05
"CSDA",0.318795353069117,1.63306946116735e-16
"GPR4",0.358335389830259,9.80904533848645e-21
"HLA-DMB",0.300176957462972,9.90652230593383e-15
"IGF1",-0.452397612915398,1.84990457464282e-33
"PTK2B",0.187492497609258,1.88738279546757e-06
"S100A10",0.380912793299957,1.99351448795226e-23
"ADAMTS1",0.16583551180699,2.59426754312121e-05
"NR4A2",-0.244071396672731,4.30258199146938e-10
"ADORA3",0.250070039178146,1.54300809422742e-10
"RLBP1",-0.250369950686447,1.46485113670307e-10
"GJA4",0.333040774127223,5.77955345822318e-18
"CAMK2A",-0.217694793657118,2.85218085508924e-08
"FPR1",0.212443162208824,6.19078331721362e-08
