"","CorrDisease","PvalDisease"
"TBXAS1",0.398807645383002,1.02569857199939e-25
"PTPRC",0.327158286848712,2.34651711290131e-17
"TYROBP",0.396554332355852,2.02760137397346e-25
"ITGB2",0.39524243482958,3.00779998265144e-25
"MYO1F",0.379768188295717,2.76223384716387e-23
"CYBA",0.434573110373733,9.96361585713217e-31
"LST1",0.285781842589991,1.9449715029395e-13
"SLC7A7",0.370507582035557,3.68759987571419e-22
"RNASET2",0.403232261114614,2.64980445507273e-26
"FCER1G",0.455893297615063,5.15564713036824e-34
