"","Gene","modulesA1"
"1","HSPA1A","purple"
"2","HBA1","grey"
"3","HBA2","grey"
"4","HBG1","grey"
"5","MT1F","green"
"6","ELF5","grey"
"7","MUTYH","turquoise"
"8","C1orf182","grey"
"9","MID1IP1","brown"
"10","RGS1","blue"
"11","DSP","greenyellow"
"12","TMPRSS5","grey"
"13","SNCB","grey"
"14","IL6","grey"
"15","IGF2","grey"
"16","MT1JP","green"
"17","SLC1A7","grey"
"18","FAM20A","greenyellow"
"19","CXCL2","grey"
"20","BAG3","purple"
"21","CYP1B1","blue"
"22","ADM","grey"
"23","CRYBB2","grey"
"24","FMOD","greenyellow"
"25","DNAJB1","purple"
"26","MBP","grey"
"27","VGF","turquoise"
"28","IRX3","grey"
"29","TMEM30B","grey"
"30","G0S2","purple"
"31","SYTL4","green"
"32","VCAM1","greenyellow"
"33","FOXJ1","purple"
"34","ZNF423","yellow"
"35","ANGPTL4","grey"
"36","CHI3L1","grey"
"37","SERPINA3","grey"
"38","SLC14A1","blue"
"39","SNAP25","turquoise"
"40","MT1L","green"
"41","IL18RAP","grey"
"42","SLCO4A1","green"
"43","ENSA","turquoise"
"44","MKNK2","purple"
"45","MGAT5B","yellow"
"46","CAMK2N1","pink"
"47","ANGPT2","blue"
"48","JUNB","grey"
"49","AHNAK","grey"
"50","GEM","green"
"51","CTGF","grey"
"52","FRMPD2","turquoise"
"53","HLA-DRB3","black"
"54","HPR","grey"
"55","CEBPD","brown"
"56","KIAA1199","greenyellow"
"57","RTEL1","blue"
"58","HLA-DRB1","grey"
"59","HIST1H2BD","brown"
"60","HSPA6","purple"
"61","HBB","grey"
"62","AP2B1","grey"
"63","ZNF100","grey"
"64","APOLD1","blue"
"65","ITGB1BP1","grey"
"66","C1QA","black"
"67","TXNIP","blue"
"68","C4B","blue"
"69","HES5","grey"
"70","SLC30A4","yellow"
"71","CCL2","grey"
"72","IFITM3","blue"
"73","EDN1","grey"
"74","HBD","grey"
"75","MLPH","greenyellow"
"76","C7","greenyellow"
"77","DDIT4","blue"
"78","S100A4","green"
"79","FRZB","greenyellow"
