"","CorrAge","PvalAge"
"HSPA1A",-0.158138334639522,6.10688315330545e-05
"HBA1",0.202988501280886,2.3785218108706e-07
"HBA2",0.19775584090608,4.87682361834211e-07
"MT1F",0.118810285451328,0.00266989462662911
"C1orf182",0.107318730859748,0.00670571716070312
"MID1IP1",-0.133106617271897,0.000757545964817944
"RGS1",0.248431114269291,2.04744580371332e-10
"DSP",0.359629361795372,6.96698769850708e-21
"SNCB",0.144401134659455,0.000255639842938796
"IGF2",0.184458526492513,2.77709376213759e-06
"MT1JP",0.162012929367663,3.98821921397467e-05
"FAM20A",0.309312557648508,1.37061801875585e-15
"CYP1B1",0.28836210561147,1.15485214640073e-13
"ADM",0.268646410850885,5.41908565994574e-12
"CRYBB2",-0.102897309223299,0.00935472307358836
"FMOD",0.357372877018937,1.26388269202886e-20
"DNAJB1",-0.195195443657575,6.88190689829113e-07
"VGF",-0.393643261471976,4.85269170267578e-25
"IRX3",0.102956444250782,0.00931388635301045
"TMEM30B",0.228188110330114,5.7141203839021e-09
"G0S2",-0.143135895172709,0.000289892360347081
"SYTL4",0.150717457502422,0.000134375806965959
"VCAM1",0.356740946473938,1.49201987262969e-20
"FOXJ1",-0.11491461200257,0.00368141673135435
"ZNF423",-0.166218450621626,2.48355560517042e-05
"ANGPTL4",0.175617572242229,8.25828442366598e-06
"CHI3L1",0.192644907496953,9.65490727266564e-07
"SERPINA3",0.300031768838279,1.02171535932519e-14
"SLC14A1",0.271508700213394,3.15895323440642e-12
"MT1L",0.12818157335486,0.00118616442969247
"IL18RAP",0.175974422922422,7.91096365470165e-06
"SLCO4A1",0.114464839349103,0.00381823180405443
"MKNK2",-0.222161467190699,1.45270285215451e-08
"MGAT5B",-0.352739933615268,4.22982359335382e-20
"CAMK2N1",-0.410921620625976,2.40132373145223e-27
"ANGPT2",0.307793842533179,1.9134481496996e-15
"AHNAK",0.274709024672556,1.71467598494919e-12
"GEM",0.157723999871863,6.38783991856323e-05
"CTGF",0.254688335823471,6.87812196031387e-11
"FRMPD2",-0.40768548675868,6.64689267382881e-27
"HLA-DRB3",0.244442709232891,4.04111620349777e-10
"HPR",0.131446371634308,0.000882664573048416
"CEBPD",0.193957934561924,8.11512163874801e-07
"KIAA1199",0.308911381634941,1.49718110826839e-15
"RTEL1",0.130224323291373,0.000986685594146296
"HLA-DRB1",0.173892398621059,1.01526445464622e-05
"HIST1H2BD",-0.156990588063966,6.91531817242434e-05
"HSPA6",-0.135597617215384,0.000600323479374022
"HBB",0.122785113285611,0.0019052079868894
"APOLD1",0.198968315493077,4.13636396507617e-07
"ITGB1BP1",-0.146361084652438,0.000209968811046694
"C1QA",0.104842850813217,0.00809172209582901
"TXNIP",0.382183028146483,1.38603321847414e-23
"C4B",0.398991708656269,9.69936313014908e-26
"SLC30A4",-0.241347092190085,6.7941289550376e-10
"CCL2",0.10560944970209,0.00763745725204052
"IFITM3",0.245758868719861,3.23317321510317e-10
"EDN1",0.130295000755759,0.000980373707480996
"HBD",0.105923551331758,0.00745801308543926
"MLPH",0.343146371340974,4.84595296267918e-19
"C7",0.316358884192796,2.84159489374464e-16
"DDIT4",0.214044103683608,4.89832184012026e-08
"S100A4",0.24080319687849,7.43801968956326e-10
"FRZB",0.313466604384398,5.44838176622178e-16
"FKBP5",0.381999972398845,1.46070953402175e-23
"CFH",0.468541059544121,4.46903250831201e-36
"GADD45B",0.171171622696857,1.4004563743249e-05
"GBP3",0.201785511585381,2.81015699423401e-07
"IER3",0.117106862827764,0.00307609962822795
"AHDC1",-0.109631021960679,0.00560768543574097
"DDIT4L",0.112835915196814,0.00435316544482246
"PRELP",0.352871674797853,4.08812180509978e-20
"MRVI1",0.166497416303231,2.40574258224227e-05
"SPON2",-0.194943567811227,7.11731678278185e-07
"RGS4",-0.254059393408112,7.68545574196582e-11
"COL1A2",0.297369535234757,1.79415062139695e-14
"LILRB3",0.16681595833622,2.31972091187846e-05
"AGTR1",0.23515590282714,1.87990938903595e-09
"SERPINA5",0.261173311857816,2.15203591921869e-11
"THSD4",0.393100802864484,5.70414650121158e-25
"AQP1",0.154460718290928,9.06781828143456e-05
"GADD45G",0.141515172263595,0.000340045508093405
"COL6A3",0.268507335914954,5.56216272184954e-12
"ALKBH7",0.170858801202801,1.45275651473693e-05
"HLA-DPA1",0.263835291065417,1.32329763130659e-11
"C12orf53",-0.386582660948956,3.88747791965695e-24
"GJA1",0.350361154394007,7.80429066206017e-20
"LHX1",-0.430589715271841,3.86324039607738e-30
"TGFBI",0.123627432615539,0.00177149279593383
"RAB3A",-0.393868300670981,4.53752063552529e-25
"SYT1",-0.231812013203158,3.21933326542446e-09
"CTXN1",-0.517378926432755,6.7155636041838e-45
"SLC1A2",0.171091605564844,1.4136611319972e-05
"S100A11",0.141491018042283,0.000340850809305642
"PLA1A",0.151842542498995,0.000119507424267109
"ADARB2",0.146372083847484,0.000209735566875051
"AEBP1",0.205154777221495,1.7570427497427e-07
