"","turquoise....MsAge7K_02__"
"1","CDS1"
"2","ELAVL4"
"3","ELMO1"
"4","ESRRG"
"5","GARNL3"
"6","GNG4"
"7","GRM3"
"8","GRM8"
"9","HECW2"
"10","HIVEP1"
"11","HLF"
"12","HRASLS"
"13","KCNJ9"
"14","NGEF"
"15","NR4A2"
"16","RGS4"
"17","RUNX1T1"
"18","SATB2"
"19","SERPINI1"
"20","STX1A"
"21","TM6SF1"
"22","TSHZ3"
"23","ZMAT4"
