"","red....MsAge7K_00__"
"1","AACS"
"2","ADCK2"
"3","ATOX1"
"4","ATP2A2"
"5","BAIAP2L2"
"6","C1orf52"
"7","C9orf116"
"8","CREB3L1"
"9","EXOSC5"
"10","HR"
"11","MRPL54"
"12","NFKBIE"
"13","NTHL1"
"14","OGG1"
"15","PDCD2L"
"16","SPRY4"
"17","TIMM10"
"18","TOMM40L"
"19","TTC9B"
"20","YPEL1"
"21","YRDC"
"22","ZC3H8"
