"","Module","Gene"
"PLD6","MsAge7K_00","PLD6"
"SLC25A34","MsAge7K_00","SLC25A34"
"THEGL","MsAge7K_00","THEGL"
"CDCA7L","MsAge7K_00","CDCA7L"
"ACAA1","MsAge7K_00","ACAA1"
"NLRP6","MsAge7K_00","NLRP6"
"PPP1R1B","MsAge7K_00","PPP1R1B"
"MXD3","MsAge7K_00","MXD3"
"MMP11","MsAge7K_00","MMP11"
"MKRN2OS","MsAge7K_00","MKRN2OS"
"NECTIN4","MsAge7K_00","NECTIN4"
"FCER2","MsAge7K_00","FCER2"
"TRAPPC3L","MsAge7K_00","TRAPPC3L"
"C1QTNF3-AMACR","MsAge7K_00","C1QTNF3-AMACR"
"C1QTNF3","MsAge7K_00","C1QTNF3"
"SNX20","MsAge7K_00","SNX20"
"RD3","MsAge7K_00","RD3"
"CCDC158","MsAge7K_00","CCDC158"
"RAD51B","MsAge7K_00","RAD51B"
"BNC2","MsAge7K_00","BNC2"
"MBLAC1","MsAge7K_00","MBLAC1"
"PBX3","MsAge7K_02","PBX3"
"GOLGA8J","MsAge7K_16","GOLGA8J"
"GOLGA8M","MsAge7K_16","GOLGA8M"
"GOLGA6B","MsAge7K_16","GOLGA6B"
"GOLGA8G","MsAge7K_16","GOLGA8G"
"GOLGA8Q","MsAge7K_16","GOLGA8Q"
"GOLGA8R","MsAge7K_16","GOLGA8R"
"GOLGA8T","MsAge7K_16","GOLGA8T"
"GOLGA6A","MsAge7K_16","GOLGA6A"
"GOLGA8A","MsAge7K_16","GOLGA8A"
"GOLGA8S","MsAge7K_16","GOLGA8S"
"GOLGA8B","MsAge7K_16","GOLGA8B"
"GOLGA8H","MsAge7K_16","GOLGA8H"
"MAK","MsAge7K_00","MAK"
"RIBC1","MsAge7K_00","RIBC1"
"TLR6","MsAge7K_00","TLR6"
"KIRREL2","MsAge7K_00","KIRREL2"
"UBE2T","MsAge7K_00","UBE2T"
"CDKN2B","MsAge7K_00","CDKN2B"
"ADRA1B","MsAge7K_02","ADRA1B"
"DCAF1","MsAge7K_00","DCAF1"
"SPINK13","MsAge7K_00","SPINK13"
"ENPP1","MsAge7K_00","ENPP1"
"MSX2","MsAge7K_00","MSX2"
"CCL15-CCL14","MsAge7K_00","CCL15-CCL14"
"CCL15","MsAge7K_00","CCL15"
"CCL23","MsAge7K_00","CCL23"
"SERPINA10","MsAge7K_00","SERPINA10"
"ARHGAP30","MsAge7K_00","ARHGAP30"
"ADAMTS1","MsAge7K_13","ADAMTS1"
"NUP210L","MsAge7K_00","NUP210L"
"TREM2","MsAge7K_04","TREM2"
"RFX8","MsAge7K_00","RFX8"
"METTL21C","MsAge7K_00","METTL21C"
"WNT2","MsAge7K_00","WNT2"
"TUBA1C","MsAge7K_00","TUBA1C"
"PALM2","MsAge7K_08","PALM2"
"PRICKLE3","MsAge7K_00","PRICKLE3"
"C4orf46","MsAge7K_00","C4orf46"
"MORN3","MsAge7K_00","MORN3"
"PRSS57","MsAge7K_00","PRSS57"
"CYP11A1","MsAge7K_00","CYP11A1"
"PARP9","MsAge7K_00","PARP9"
"MYL9","MsAge7K_07","MYL9"
"MYPN","MsAge7K_00","MYPN"
"TTLL9","MsAge7K_00","TTLL9"
"PCDH12","MsAge7K_00","PCDH12"
"ITGB2","MsAge7K_04","ITGB2"
"LRP2","MsAge7K_00","LRP2"
"GIPC3","MsAge7K_00","GIPC3"
"WNT1","MsAge7K_00","WNT1"
"TGM4","MsAge7K_00","TGM4"
"APOBEC2","MsAge7K_00","APOBEC2"
"C3orf52","MsAge7K_00","C3orf52"
"IL4R","MsAge7K_00","IL4R"
"IQGAP3","MsAge7K_00","IQGAP3"
"TAF7L","MsAge7K_00","TAF7L"
"GMPR2","MsAge7K_00","GMPR2"
"FAM186B","MsAge7K_00","FAM186B"
"NCF4","MsAge7K_00","NCF4"
"SYCE1L","MsAge7K_00","SYCE1L"
"SSX4","MsAge7K_00","SSX4"
"SSX4B","MsAge7K_00","SSX4B"
"RGS9BP","MsAge7K_00","RGS9BP"
"SHH","MsAge7K_00","SHH"
"TSKS","MsAge7K_00","TSKS"
"SOX21","MsAge7K_00","SOX21"
"SPATA4","MsAge7K_00","SPATA4"
"ALOX15B","MsAge7K_00","ALOX15B"
"TYMS","MsAge7K_00","TYMS"
"ALOXE3","MsAge7K_05","ALOXE3"
"BIRC5","MsAge7K_00","BIRC5"
"SUV39H2","MsAge7K_00","SUV39H2"
"DCST2","MsAge7K_00","DCST2"
"IKBKE","MsAge7K_00","IKBKE"
"DBF4","MsAge7K_00","DBF4"
"TRPC7","MsAge7K_00","TRPC7"
"PODN","MsAge7K_00","PODN"
"TMCO5A","MsAge7K_00","TMCO5A"
"FCER1G","MsAge7K_04","FCER1G"
"WAS","MsAge7K_00","WAS"
"DACH2","MsAge7K_00","DACH2"
"SLC49A3","MsAge7K_00","SLC49A3"
"ADAM15","MsAge7K_00","ADAM15"
"SBK3","MsAge7K_00","SBK3"
"KIF20B","MsAge7K_00","KIF20B"
"MAGIX","MsAge7K_00","MAGIX"
"PLCG1","MsAge7K_00","PLCG1"
"CFTR","MsAge7K_00","CFTR"
"GJA4","MsAge7K_00","GJA4"
"NECAB1","MsAge7K_02","NECAB1"
"CATSPERZ","MsAge7K_00","CATSPERZ"
"NUPR2","MsAge7K_00","NUPR2"
"TFCP2L1","MsAge7K_04","TFCP2L1"
"DYNLRB2","MsAge7K_14","DYNLRB2"
"NOS2","MsAge7K_00","NOS2"
"NMBR","MsAge7K_00","NMBR"
"MISP3","MsAge7K_00","MISP3"
"MYH15","MsAge7K_00","MYH15"
"GHSR","MsAge7K_00","GHSR"
"MYLK4","MsAge7K_00","MYLK4"
"OR5M3","MsAge7K_00","OR5M3"
"TMEM163","MsAge7K_01","TMEM163"
"NPTX2","MsAge7K_01","NPTX2"
"ITK","MsAge7K_00","ITK"
"HTR3A","MsAge7K_00","HTR3A"
"GNRH1","MsAge7K_00","GNRH1"
"RESP18","MsAge7K_02","RESP18"
"MND1","MsAge7K_00","MND1"
"ZFX","MsAge7K_00","ZFX"
"DNASE1L1","MsAge7K_00","DNASE1L1"
"LPAR1","MsAge7K_01","LPAR1"
"DMP1","MsAge7K_00","DMP1"
"CLEC4C","MsAge7K_00","CLEC4C"
"IL15","MsAge7K_00","IL15"
"MNS1","MsAge7K_00","MNS1"
"TNFRSF4","MsAge7K_00","TNFRSF4"
"RAB42","MsAge7K_00","RAB42"
"SERPINB1","MsAge7K_00","SERPINB1"
"C19orf38","MsAge7K_00","C19orf38"
"MNDA","MsAge7K_00","MNDA"
"SLC35G1","MsAge7K_00","SLC35G1"
"THEMIS2","MsAge7K_00","THEMIS2"
"DSP","MsAge7K_11","DSP"
"SP140","MsAge7K_00","SP140"
"CHRM2","MsAge7K_06","CHRM2"
"SYT15","MsAge7K_00","SYT15"
"RNF225","MsAge7K_00","RNF225"
"PLAU","MsAge7K_00","PLAU"
"FAM217A","MsAge7K_00","FAM217A"
"AHRR","MsAge7K_00","AHRR"
"CENPN","MsAge7K_00","CENPN"
"SLC9A3","MsAge7K_00","SLC9A3"
"SPACA9","MsAge7K_00","SPACA9"
"RBM47","MsAge7K_00","RBM47"
"HSBP1L1","MsAge7K_00","HSBP1L1"
"ZP2","MsAge7K_00","ZP2"
"C6orf10","MsAge7K_00","C6orf10"
"FXYD2","MsAge7K_00","FXYD2"
"FXYD6-FXYD2","MsAge7K_00","FXYD6-FXYD2"
"TTLL13P","MsAge7K_00","TTLL13P"
"DLX2","MsAge7K_00","DLX2"
"IDO2","MsAge7K_00","IDO2"
"TCFL5","MsAge7K_00","TCFL5"
"REP15","MsAge7K_00","REP15"
"TAP2","MsAge7K_04","TAP2"
"TSNAXIP1","MsAge7K_00","TSNAXIP1"
"NANS","MsAge7K_00","NANS"
"TOGARAM2","MsAge7K_06","TOGARAM2"
"ITGA10","MsAge7K_00","ITGA10"
"RIBC2","MsAge7K_00","RIBC2"
"SERTAD3","MsAge7K_00","SERTAD3"
"A4GALT","MsAge7K_00","A4GALT"
"STRC","MsAge7K_00","STRC"
"INSC","MsAge7K_09","INSC"
"CCRL2","MsAge7K_00","CCRL2"
"ANKRD31","MsAge7K_00","ANKRD31"
"C3orf20","MsAge7K_00","C3orf20"
"HEPACAM2","MsAge7K_00","HEPACAM2"
"SLC6A16","MsAge7K_00","SLC6A16"
"GJC2","MsAge7K_01","GJC2"
"IP6K3","MsAge7K_04","IP6K3"
"PDE11A","MsAge7K_05","PDE11A"
"MBOAT1","MsAge7K_09","MBOAT1"
"SLC35D2","MsAge7K_00","SLC35D2"
"EIF4EBP1","MsAge7K_00","EIF4EBP1"
"SCUBE2","MsAge7K_00","SCUBE2"
"SYTL5","MsAge7K_03","SYTL5"
"SLC5A12","MsAge7K_00","SLC5A12"
"XRCC3","MsAge7K_00","XRCC3"
"SMIM14","MsAge7K_00","SMIM14"
"CLYBL","MsAge7K_00","CLYBL"
"PLEKHG6","MsAge7K_00","PLEKHG6"
"DCXR","MsAge7K_00","DCXR"
"IMPG2","MsAge7K_00","IMPG2"
"CD160","MsAge7K_00","CD160"
"SYT6","MsAge7K_00","SYT6"
"LILRA4","MsAge7K_00","LILRA4"
"ALKAL2","MsAge7K_00","ALKAL2"
"COMP","MsAge7K_00","COMP"
"POLE2","MsAge7K_00","POLE2"
"NOX1","MsAge7K_00","NOX1"
"CCDC15","MsAge7K_00","CCDC15"
"MYO5C","MsAge7K_00","MYO5C"
"GNA15","MsAge7K_00","GNA15"
"BSPRY","MsAge7K_00","BSPRY"
"HS3ST2","MsAge7K_00","HS3ST2"
"SUN3","MsAge7K_00","SUN3"
"WFDC3","MsAge7K_00","WFDC3"
"COLQ","MsAge7K_00","COLQ"
"ATP4A","MsAge7K_00","ATP4A"
"GPSM3","MsAge7K_00","GPSM3"
"HTRA4","MsAge7K_00","HTRA4"
"B3GNT9","MsAge7K_00","B3GNT9"
"PBLD","MsAge7K_00","PBLD"
"UBE2C","MsAge7K_00","UBE2C"
"USP51","MsAge7K_00","USP51"
"KDM7A","MsAge7K_03","KDM7A"
"LRMP","MsAge7K_00","LRMP"
"CYSLTR1","MsAge7K_00","CYSLTR1"
"FBXL13","MsAge7K_00","FBXL13"
"DGAT2L6","MsAge7K_00","DGAT2L6"
"CD40","MsAge7K_00","CD40"
"TYROBP","MsAge7K_04","TYROBP"
"DOC2A","MsAge7K_00","DOC2A"
"EXOC3L2","MsAge7K_00","EXOC3L2"
"HHIP","MsAge7K_01","HHIP"
"ANAPC15","MsAge7K_00","ANAPC15"
"OVGP1","MsAge7K_00","OVGP1"
"RRM2","MsAge7K_00","RRM2"
"CXorf57","MsAge7K_00","CXorf57"
"ERMN","MsAge7K_09","ERMN"
"MYO1A","MsAge7K_00","MYO1A"
"PROM1","MsAge7K_01","PROM1"
"CCHCR1","MsAge7K_00","CCHCR1"
"TRIM34","MsAge7K_00","TRIM34"
"TRIM6-TRIM34","MsAge7K_00","TRIM6-TRIM34"
"INHBB","MsAge7K_00","INHBB"
"C11orf65","MsAge7K_00","C11orf65"
"APOL3","MsAge7K_00","APOL3"
"WNT16","MsAge7K_00","WNT16"
"C1S","MsAge7K_00","C1S"
"MARVELD2","MsAge7K_00","MARVELD2"
"CNTN5","MsAge7K_08","CNTN5"
"C8orf58","MsAge7K_00","C8orf58"
"CENPS","MsAge7K_00","CENPS"
"SYTL4","MsAge7K_00","SYTL4"
"MISP","MsAge7K_00","MISP"
"GUCY2F","MsAge7K_00","GUCY2F"
"CD22","MsAge7K_04","CD22"
"CTSS","MsAge7K_04","CTSS"
"STEAP4","MsAge7K_00","STEAP4"
"ABI3","MsAge7K_00","ABI3"
"FAM3D","MsAge7K_00","FAM3D"
"HMOX2","MsAge7K_00","HMOX2"
"SLAMF1","MsAge7K_00","SLAMF1"
"HIST1H1B","MsAge7K_00","HIST1H1B"
"WIF1","MsAge7K_00","WIF1"
"GPC3","MsAge7K_00","GPC3"
"HMCN1","MsAge7K_00","HMCN1"
"TEKT4","MsAge7K_00","TEKT4"
"COL13A1","MsAge7K_00","COL13A1"
"CCDC87","MsAge7K_00","CCDC87"
"TCF24","MsAge7K_00","TCF24"
"FOXL2","MsAge7K_00","FOXL2"
"GIPC2","MsAge7K_00","GIPC2"
"EPHA2","MsAge7K_00","EPHA2"
"NAT8","MsAge7K_00","NAT8"
"ADGRF4","MsAge7K_00","ADGRF4"
"MS4A7","MsAge7K_04","MS4A7"
"ARHGAP25","MsAge7K_06","ARHGAP25"
"DPM1","MsAge7K_00","DPM1"
"PCDHA1","MsAge7K_00","PCDHA1"
"VIM","MsAge7K_04","VIM"
"MCTP2","MsAge7K_00","MCTP2"
"IGDCC3","MsAge7K_00","IGDCC3"
"HIC1","MsAge7K_00","HIC1"
"GPRIN2","MsAge7K_00","GPRIN2"
"RINL","MsAge7K_00","RINL"
"IFI35","MsAge7K_00","IFI35"
"MAMDC4","MsAge7K_00","MAMDC4"
"TMEM45A","MsAge7K_00","TMEM45A"
"DMRTA2","MsAge7K_00","DMRTA2"
"CNOT7","MsAge7K_00","CNOT7"
"ALDH1A3","MsAge7K_00","ALDH1A3"
"FAM183A","MsAge7K_00","FAM183A"
"SYNC","MsAge7K_00","SYNC"
"ASB2","MsAge7K_16","ASB2"
"AGT","MsAge7K_00","AGT"
"BDH2","MsAge7K_00","BDH2"
"ST8SIA2","MsAge7K_00","ST8SIA2"
"RARRES1","MsAge7K_00","RARRES1"
"CTF1","MsAge7K_00","CTF1"
"CRISPLD1","MsAge7K_00","CRISPLD1"
"CCDC188","MsAge7K_00","CCDC188"
"B3GNT7","MsAge7K_00","B3GNT7"
"PPARG","MsAge7K_00","PPARG"
"FANCI","MsAge7K_00","FANCI"
"TMEM171","MsAge7K_00","TMEM171"
"NRAP","MsAge7K_00","NRAP"
"GJB1","MsAge7K_09","GJB1"
"TPX2","MsAge7K_00","TPX2"
"LIX1L","MsAge7K_00","LIX1L"
"LEF1","MsAge7K_00","LEF1"
"KLHL35","MsAge7K_00","KLHL35"
"LOXL2","MsAge7K_00","LOXL2"
"FAM19A4","MsAge7K_00","FAM19A4"
"JMJD7-PLA2G4B","MsAge7K_00","JMJD7-PLA2G4B"
"PLA2G4B","MsAge7K_00","PLA2G4B"
"CDH19","MsAge7K_09","CDH19"
"YAE1","MsAge7K_00","YAE1"
"SOX11","MsAge7K_01","SOX11"
"HHIPL2","MsAge7K_00","HHIPL2"
"TFB1M","MsAge7K_00","TFB1M"
"TCEA3","MsAge7K_00","TCEA3"
"ZBTB32","MsAge7K_00","ZBTB32"
"PROKR2","MsAge7K_00","PROKR2"
"MALRD1","MsAge7K_00","MALRD1"
"LRRIQ3","MsAge7K_00","LRRIQ3"
"MYADML2","MsAge7K_00","MYADML2"
"NINJ2","MsAge7K_09","NINJ2"
"ZNF593","MsAge7K_00","ZNF593"
"LRRC29","MsAge7K_00","LRRC29"
"HSPB6","MsAge7K_00","HSPB6"
"MECOM","MsAge7K_00","MECOM"
"EFNA5","MsAge7K_05","EFNA5"
"AGTR1","MsAge7K_00","AGTR1"
"BATF2","MsAge7K_00","BATF2"
"JSRP1","MsAge7K_00","JSRP1"
"DENND2D","MsAge7K_00","DENND2D"
"FCGR1B","MsAge7K_00","FCGR1B"
"FCGR1A","MsAge7K_00","FCGR1A"
"EFHB","MsAge7K_00","EFHB"
"RTL9","MsAge7K_00","RTL9"
"BMP7","MsAge7K_07","BMP7"
"CD1D","MsAge7K_00","CD1D"
"FRK","MsAge7K_00","FRK"
"LPXN","MsAge7K_00","LPXN"
"ROPN1L","MsAge7K_00","ROPN1L"
"MICALL2","MsAge7K_00","MICALL2"
"S1PR2","MsAge7K_00","S1PR2"
"POPDC3","MsAge7K_05","POPDC3"
"NPHS1","MsAge7K_00","NPHS1"
"CTBS","MsAge7K_00","CTBS"
"SASH3","MsAge7K_00","SASH3"
"BEST3","MsAge7K_11","BEST3"
"LCK","MsAge7K_00","LCK"
"TMEM17","MsAge7K_00","TMEM17"
"TNFAIP2","MsAge7K_00","TNFAIP2"
"NKPD1","MsAge7K_00","NKPD1"
"TBC1D2","MsAge7K_01","TBC1D2"
"BHMT","MsAge7K_01","BHMT"
"PLA2G4E","MsAge7K_00","PLA2G4E"
"RASAL3","MsAge7K_00","RASAL3"
"GCLM","MsAge7K_00","GCLM"
"AVIL","MsAge7K_00","AVIL"
"OR51Q1","MsAge7K_00","OR51Q1"
"MSLN","MsAge7K_00","MSLN"
"ALOX12","MsAge7K_00","ALOX12"
"SLC25A21","MsAge7K_00","SLC25A21"
"C9orf16","MsAge7K_00","C9orf16"
"PLCB2","MsAge7K_00","PLCB2"
"TCF15","MsAge7K_00","TCF15"
"ARHGEF33","MsAge7K_00","ARHGEF33"
"ADAMTS5","MsAge7K_00","ADAMTS5"
"SLC27A3","MsAge7K_01","SLC27A3"
"ERMAP","MsAge7K_00","ERMAP"
"FHL3","MsAge7K_00","FHL3"
"C11orf94","MsAge7K_16","C11orf94"
"CCDC169","MsAge7K_00","CCDC169"
"INS","MsAge7K_00","INS"
"SYT2","MsAge7K_02","SYT2"
"GPR55","MsAge7K_00","GPR55"
"FUT2","MsAge7K_00","FUT2"
"SOX4","MsAge7K_01","SOX4"
"TMEM156","MsAge7K_00","TMEM156"
"NOX4","MsAge7K_00","NOX4"
"RASSF7","MsAge7K_00","RASSF7"
"PRX","MsAge7K_00","PRX"
"KY","MsAge7K_00","KY"
"CHODL","MsAge7K_00","CHODL"
"CYP26A1","MsAge7K_00","CYP26A1"
"MYOM3","MsAge7K_00","MYOM3"
"BARX2","MsAge7K_00","BARX2"
"JPH1","MsAge7K_00","JPH1"
"ITGA5","MsAge7K_00","ITGA5"
"KCNH6","MsAge7K_00","KCNH6"
"SEC14L5","MsAge7K_09","SEC14L5"
"CATSPERD","MsAge7K_00","CATSPERD"
"BAZ1A","MsAge7K_00","BAZ1A"
"RHOH","MsAge7K_00","RHOH"
"TIMM10B","MsAge7K_00","TIMM10B"
"SLC38A4","MsAge7K_00","SLC38A4"
"MYEF2","MsAge7K_00","MYEF2"
"C4orf48","MsAge7K_00","C4orf48"
"ZNF384","MsAge7K_00","ZNF384"
"SFRP4","MsAge7K_00","SFRP4"
"PTGR1","MsAge7K_00","PTGR1"
"HIST1H1C","MsAge7K_00","HIST1H1C"
"PHLDA2","MsAge7K_00","PHLDA2"
"VSIG10","MsAge7K_00","VSIG10"
"RBP4","MsAge7K_02","RBP4"
"RIMS3","MsAge7K_02","RIMS3"
"HPR","MsAge7K_00","HPR"
"HP","MsAge7K_00","HP"
"GLIPR1","MsAge7K_00","GLIPR1"
"HELB","MsAge7K_00","HELB"
"PAPPA","MsAge7K_00","PAPPA"
"TMEM88","MsAge7K_00","TMEM88"
"ADRB3","MsAge7K_00","ADRB3"
"TMEM52","MsAge7K_00","TMEM52"
"CLEC2D","MsAge7K_00","CLEC2D"
"PMAIP1","MsAge7K_00","PMAIP1"
"NTF4","MsAge7K_00","NTF4"
"TCEAL7","MsAge7K_00","TCEAL7"
"FBXO5","MsAge7K_00","FBXO5"
"DEUP1","MsAge7K_00","DEUP1"
"OSGIN1","MsAge7K_00","OSGIN1"
"PDE6B","MsAge7K_00","PDE6B"
"TEKT2","MsAge7K_00","TEKT2"
"AQP9","MsAge7K_00","AQP9"
"CRHR2","MsAge7K_00","CRHR2"
"KIF2C","MsAge7K_00","KIF2C"
"TMEM53","MsAge7K_00","TMEM53"
"PIK3CG","MsAge7K_04","PIK3CG"
"DOK1","MsAge7K_00","DOK1"
"TNFAIP3","MsAge7K_00","TNFAIP3"
"SLC43A3","MsAge7K_00","SLC43A3"
"CSF2RB","MsAge7K_03","CSF2RB"
"DBP","MsAge7K_04","DBP"
"PKN3","MsAge7K_00","PKN3"
"RETN","MsAge7K_00","RETN"
"RSF1","MsAge7K_00","RSF1"
"COL9A2","MsAge7K_07","COL9A2"
"IRF9","MsAge7K_04","IRF9"
"RASSF9","MsAge7K_00","RASSF9"
"SPOCD1","MsAge7K_00","SPOCD1"
"ITGB6","MsAge7K_00","ITGB6"
"TGFB3","MsAge7K_00","TGFB3"
"ACOX2","MsAge7K_00","ACOX2"
"ADAMTS15","MsAge7K_00","ADAMTS15"
"TMC2","MsAge7K_00","TMC2"
"A3GALT2","MsAge7K_00","A3GALT2"
"C1QA","MsAge7K_04","C1QA"
"RUNX1","MsAge7K_00","RUNX1"
"LRRC23","MsAge7K_00","LRRC23"
"HNF1B","MsAge7K_00","HNF1B"
"TBXAS1","MsAge7K_00","TBXAS1"
"CDA","MsAge7K_00","CDA"
"ITGA2B","MsAge7K_00","ITGA2B"
"LAMC3","MsAge7K_07","LAMC3"
"DEF6","MsAge7K_00","DEF6"
"ASPA","MsAge7K_09","ASPA"
"SDF2L1","MsAge7K_00","SDF2L1"
"SIX5","MsAge7K_00","SIX5"
"ARHGAP28","MsAge7K_00","ARHGAP28"
"C2orf70","MsAge7K_00","C2orf70"
"ID1","MsAge7K_00","ID1"
"CFAP206","MsAge7K_14","CFAP206"
"ADAM18","MsAge7K_00","ADAM18"
"E2F1","MsAge7K_00","E2F1"
"MEGF6","MsAge7K_00","MEGF6"
"GNG4","MsAge7K_02","GNG4"
"MRGPRF","MsAge7K_07","MRGPRF"
"CHST14","MsAge7K_00","CHST14"
"ADRM1","MsAge7K_00","ADRM1"
"LMCD1","MsAge7K_00","LMCD1"
"HDDC3","MsAge7K_00","HDDC3"
"DACT1","MsAge7K_00","DACT1"
"RFLNA","MsAge7K_00","RFLNA"
"TRIM21","MsAge7K_00","TRIM21"
"GREB1","MsAge7K_00","GREB1"
"CHRDL2","MsAge7K_00","CHRDL2"
"SCART1","MsAge7K_00","SCART1"
"CCDC122","MsAge7K_00","CCDC122"
"PRRG1","MsAge7K_09","PRRG1"
"ANKRD65","MsAge7K_00","ANKRD65"
"CLRN1","MsAge7K_00","CLRN1"
"COL8A2","MsAge7K_00","COL8A2"
"GSG1L","MsAge7K_02","GSG1L"
"FOXJ1","MsAge7K_00","FOXJ1"
"PYGL","MsAge7K_00","PYGL"
"LAT","MsAge7K_00","LAT"
"HCRTR1","MsAge7K_00","HCRTR1"
"SLC26A10","MsAge7K_11","SLC26A10"
"ITGA2","MsAge7K_00","ITGA2"
"CITED1","MsAge7K_00","CITED1"
"EFCAB9","MsAge7K_00","EFCAB9"
"ECT2L","MsAge7K_00","ECT2L"
"MFSD4A","MsAge7K_00","MFSD4A"
"SMIM3","MsAge7K_00","SMIM3"
"SLC41A3","MsAge7K_00","SLC41A3"
"SLCO1B7","MsAge7K_00","SLCO1B7"
"SLCO1B3","MsAge7K_00","SLCO1B3"
"SLCO1B1","MsAge7K_00","SLCO1B1"
"SH2D6","MsAge7K_00","SH2D6"
"SSTR1","MsAge7K_05","SSTR1"
"DNA2","MsAge7K_00","DNA2"
"ENPEP","MsAge7K_00","ENPEP"
"TMEM106A","MsAge7K_00","TMEM106A"
"AARD","MsAge7K_00","AARD"
"KCNE5","MsAge7K_00","KCNE5"
"MSH5-SAPCD1","MsAge7K_00","MSH5-SAPCD1"
"MSH5","MsAge7K_00","MSH5"
"FAM221A","MsAge7K_00","FAM221A"
"PSMG3","MsAge7K_00","PSMG3"
"PM20D1","MsAge7K_00","PM20D1"
"TOX","MsAge7K_02","TOX"
"COL17A1","MsAge7K_00","COL17A1"
"SMTNL2","MsAge7K_00","SMTNL2"
"B3GNT8","MsAge7K_00","B3GNT8"
"FCRLB","MsAge7K_00","FCRLB"
"NFATC1","MsAge7K_00","NFATC1"
"ADGRG3","MsAge7K_00","ADGRG3"
"ARSI","MsAge7K_00","ARSI"
"CRACR2A","MsAge7K_00","CRACR2A"
"DDX11","MsAge7K_00","DDX11"
"OOEP","MsAge7K_00","OOEP"
"PLEKHD1","MsAge7K_00","PLEKHD1"
"TNNI3","MsAge7K_00","TNNI3"
"IL4I1","MsAge7K_00","IL4I1"
"FAM118B","MsAge7K_00","FAM118B"
"OXTR","MsAge7K_00","OXTR"
"ROBO3","MsAge7K_11","ROBO3"
"CDH7","MsAge7K_02","CDH7"
"ANXA2","MsAge7K_07","ANXA2"
"ESPN","MsAge7K_00","ESPN"
"NPPC","MsAge7K_00","NPPC"
"MOB3B","MsAge7K_06","MOB3B"
"RSPH1","MsAge7K_00","RSPH1"
"GPR151","MsAge7K_00","GPR151"
"EBF1","MsAge7K_00","EBF1"
"QDPR","MsAge7K_12","QDPR"
"ADA","MsAge7K_00","ADA"
"RTBDN","MsAge7K_00","RTBDN"
"TCP11","MsAge7K_00","TCP11"
"TSSK4","MsAge7K_00","TSSK4"
"FA2H","MsAge7K_01","FA2H"
"GPR157","MsAge7K_00","GPR157"
"CHRNA3","MsAge7K_00","CHRNA3"
"SPTSSB","MsAge7K_00","SPTSSB"
"TEAD3","MsAge7K_00","TEAD3"
"CATSPERG","MsAge7K_00","CATSPERG"
"TUSC1","MsAge7K_00","TUSC1"
"SLC12A1","MsAge7K_00","SLC12A1"
"HERC6","MsAge7K_00","HERC6"
"FERMT3","MsAge7K_04","FERMT3"
"WISP3","MsAge7K_00","WISP3"
"MAMSTR","MsAge7K_00","MAMSTR"
"MFSD3","MsAge7K_00","MFSD3"
"POF1B","MsAge7K_00","POF1B"
"TRIB1","MsAge7K_13","TRIB1"
"LGALS4","MsAge7K_00","LGALS4"
"CSF3R","MsAge7K_04","CSF3R"
"SLC26A8","MsAge7K_00","SLC26A8"
"CCDC151","MsAge7K_00","CCDC151"
"ST8SIA6","MsAge7K_00","ST8SIA6"
"DSG2","MsAge7K_00","DSG2"
"RENBP","MsAge7K_00","RENBP"
"PAQR5","MsAge7K_00","PAQR5"
"MARCH3","MsAge7K_00","MARCH3"
"KLHL14","MsAge7K_00","KLHL14"
"DGCR2","MsAge7K_00","DGCR2"
"NOS3","MsAge7K_00","NOS3"
"C8orf89","MsAge7K_00","C8orf89"
"SLC16A5","MsAge7K_00","SLC16A5"
"LRRC25","MsAge7K_00","LRRC25"
"ITPR3","MsAge7K_00","ITPR3"
"KLHL41","MsAge7K_00","KLHL41"
"FHIT","MsAge7K_08","FHIT"
"PLK1","MsAge7K_00","PLK1"
"SLC7A11","MsAge7K_07","SLC7A11"
"CRIP3","MsAge7K_00","CRIP3"
"CCDC40","MsAge7K_00","CCDC40"
"DEGS2","MsAge7K_00","DEGS2"
"RDH12","MsAge7K_00","RDH12"
"CENPQ","MsAge7K_00","CENPQ"
"FANCC","MsAge7K_00","FANCC"
"NPAS3","MsAge7K_08","NPAS3"
"TPPP3","MsAge7K_09","TPPP3"
"APOBEC3H","MsAge7K_00","APOBEC3H"
"IQCH","MsAge7K_00","IQCH"
"TEX15","MsAge7K_00","TEX15"
"AIF1","MsAge7K_00","AIF1"
"ARRDC2","MsAge7K_00","ARRDC2"
"SNX22","MsAge7K_00","SNX22"
"STARD6","MsAge7K_00","STARD6"
"CREB5","MsAge7K_00","CREB5"
"DDIAS","MsAge7K_00","DDIAS"
"C1orf162","MsAge7K_00","C1orf162"
"TTC25","MsAge7K_00","TTC25"
"RBL1","MsAge7K_00","RBL1"
"KIFC1","MsAge7K_00","KIFC1"
"COA4","MsAge7K_00","COA4"
"CNN2","MsAge7K_07","CNN2"
"DNAJB8","MsAge7K_00","DNAJB8"
"PROCR","MsAge7K_00","PROCR"
"CYP4F3","MsAge7K_00","CYP4F3"
"POLN","MsAge7K_00","POLN"
"IFFO2","MsAge7K_00","IFFO2"
"COL6A6","MsAge7K_00","COL6A6"
"ZPBP","MsAge7K_00","ZPBP"
"GRP","MsAge7K_05","GRP"
"FAM221B","MsAge7K_00","FAM221B"
"TERB1","MsAge7K_00","TERB1"
"MREG","MsAge7K_00","MREG"
"HORMAD2","MsAge7K_00","HORMAD2"
"TESK2","MsAge7K_00","TESK2"
