"","Module","Gene"
"ARHGAP36","MsAge7K_06","ARHGAP36"
"ADGRD1","MsAge7K_06","ADGRD1"
"CCDC180","MsAge7K_14","CCDC180"
"DKKL1","MsAge7K_02","DKKL1"
"RNU4-1","MsAge7K_00","RNU4-1"
"LGALS3BP","MsAge7K_04","LGALS3BP"
"UPK1B","MsAge7K_04","UPK1B"
"SOWAHB","MsAge7K_02","SOWAHB"
"APOLD1","MsAge7K_13","APOLD1"
"GABRQ","MsAge7K_06","GABRQ"
"TNNT2","MsAge7K_02","TNNT2"
"RSAD2","MsAge7K_04","RSAD2"
"SULT1C2","MsAge7K_04","SULT1C2"
"CGA","MsAge7K_00","CGA"
"CCDC153","MsAge7K_14","CCDC153"
"MID1","MsAge7K_00","MID1"
"ADAM33","MsAge7K_05","ADAM33"
"CYP2E1","MsAge7K_04","CYP2E1"
"SOST","MsAge7K_06","SOST"
"CD44","MsAge7K_00","CD44"
"PENK","MsAge7K_00","PENK"
"GNB3","MsAge7K_00","GNB3"
"MGP","MsAge7K_07","MGP"
"ENPP6","MsAge7K_01","ENPP6"
"CD52","MsAge7K_04","CD52"
"INMT","MsAge7K_00","INMT"
"INMT-MINDY4","MsAge7K_00","INMT-MINDY4"
"GBP5","MsAge7K_00","GBP5"
"ASPG","MsAge7K_04","ASPG"
"CBLN3","MsAge7K_00","CBLN3"
"IGHM","MsAge7K_04","IGHM"
"COL6A1","MsAge7K_05","COL6A1"
"TMTC2","MsAge7K_00","TMTC2"
"COX8C","MsAge7K_04","COX8C"
"GBP2","MsAge7K_00","GBP2"
"SERPINA3","MsAge7K_00","SERPINA3"
"HSPA1A","MsAge7K_00","HSPA1A"
"HSPA1B","MsAge7K_00","HSPA1B"
"AVP","MsAge7K_00","AVP"
"WNT6","MsAge7K_07","WNT6"
"A2M","MsAge7K_00","A2M"
"FLNC","MsAge7K_04","FLNC"
"WFIKKN2","MsAge7K_00","WFIKKN2"
"CDH26","MsAge7K_00","CDH26"
"FAM83D","MsAge7K_01","FAM83D"
"MYBPC1","MsAge7K_00","MYBPC1"
"LRRC71","MsAge7K_14","LRRC71"
"MX1","MsAge7K_04","MX1"
"GALNT15","MsAge7K_00","GALNT15"
"MYH11","MsAge7K_07","MYH11"
"CARD17","MsAge7K_00","CARD17"
"CARD16","MsAge7K_00","CARD16"
"CASP1","MsAge7K_00","CASP1"
"VWC2L","MsAge7K_02","VWC2L"
"COL8A1","MsAge7K_00","COL8A1"
"ADAMTS14","MsAge7K_15","ADAMTS14"
"ACER2","MsAge7K_00","ACER2"
"PRDM6","MsAge7K_07","PRDM6"
"SLC14A2","MsAge7K_14","SLC14A2"
"GAPDH","MsAge7K_00","GAPDH"
"GADL1","MsAge7K_00","GADL1"
"ZNF474","MsAge7K_00","ZNF474"
"OVOL2","MsAge7K_02","OVOL2"
"FAM110D","MsAge7K_00","FAM110D"
"DRAXIN","MsAge7K_01","DRAXIN"
"COL2A1","MsAge7K_00","COL2A1"
"GSN","MsAge7K_01","GSN"
"KCNJ2","MsAge7K_00","KCNJ2"
"RPL23A","MsAge7K_00","RPL23A"
"DCT","MsAge7K_00","DCT"
"ISG15","MsAge7K_04","ISG15"
"LDOC1","MsAge7K_05","LDOC1"
"RTP4","MsAge7K_04","RTP4"
"ACTA2","MsAge7K_07","ACTA2"
"CPA6","MsAge7K_00","CPA6"
"PDE6G","MsAge7K_00","PDE6G"
"LIPM","MsAge7K_00","LIPM"
"LRMDA","MsAge7K_00","LRMDA"
"BLOC1S1","MsAge7K_00","BLOC1S1"
"MT-ATP8","MsAge7K_00","MT-ATP8"
"FOXP2","MsAge7K_00","FOXP2"
"KCNG3","MsAge7K_03","KCNG3"
"APOD","MsAge7K_04","APOD"
"PBK","MsAge7K_01","PBK"
"TNC","MsAge7K_00","TNC"
"MT1M","MsAge7K_00","MT1M"
"MT1X","MsAge7K_00","MT1X"
"COL1A1","MsAge7K_00","COL1A1"
"SGCZ","MsAge7K_02","SGCZ"
"EBF2","MsAge7K_06","EBF2"
"C11orf97","MsAge7K_14","C11orf97"
"SEMA3A","MsAge7K_02","SEMA3A"
"CA13","MsAge7K_07","CA13"
"PEG10","MsAge7K_06","PEG10"
"ADAMTSL3","MsAge7K_07","ADAMTSL3"
"NPFFR1","MsAge7K_06","NPFFR1"
"DNAH12","MsAge7K_14","DNAH12"
"IL12RB1","MsAge7K_01","IL12RB1"
"DNALI1","MsAge7K_14","DNALI1"
"DNAH10","MsAge7K_14","DNAH10"
"NEUROG2","MsAge7K_01","NEUROG2"
"MOBP","MsAge7K_01","MOBP"
"MYO3B","MsAge7K_00","MYO3B"
"RSPO1","MsAge7K_00","RSPO1"
"PAPLN","MsAge7K_00","PAPLN"
"RTP1","MsAge7K_00","RTP1"
"CLDN11","MsAge7K_01","CLDN11"
"ZNF804B","MsAge7K_08","ZNF804B"
"PI16","MsAge7K_00","PI16"
"AK7","MsAge7K_14","AK7"
"SGK1","MsAge7K_00","SGK1"
"EFCAB13","MsAge7K_00","EFCAB13"
"MGMT","MsAge7K_00","MGMT"
"CHRM5","MsAge7K_00","CHRM5"
"SLITRK6","MsAge7K_00","SLITRK6"
"SLC15A2","MsAge7K_00","SLC15A2"
"OSR1","MsAge7K_07","OSR1"
"FAT2","MsAge7K_00","FAT2"
"SHOX2","MsAge7K_00","SHOX2"
"KLF5","MsAge7K_02","KLF5"
"GKN3P","MsAge7K_00","GKN3P"
"CLDN1","MsAge7K_00","CLDN1"
"ANGPTL4","MsAge7K_00","ANGPTL4"
"RASSF10","MsAge7K_01","RASSF10"
"LHX1","MsAge7K_06","LHX1"
"NPBWR1","MsAge7K_00","NPBWR1"
"STYK1","MsAge7K_00","STYK1"
"RECQL4","MsAge7K_00","RECQL4"
"GALR2","MsAge7K_00","GALR2"
"DDX60","MsAge7K_04","DDX60"
"ICAM1","MsAge7K_00","ICAM1"
"ANXA1","MsAge7K_00","ANXA1"
"CYP1B1","MsAge7K_07","CYP1B1"
"L3MBTL4","MsAge7K_00","L3MBTL4"
"DMGDH","MsAge7K_02","DMGDH"
"SLC5A7","MsAge7K_06","SLC5A7"
"ENDOU","MsAge7K_00","ENDOU"
"NNMT","MsAge7K_00","NNMT"
"LGALS3","MsAge7K_00","LGALS3"
"C3AR1","MsAge7K_04","C3AR1"
"MYO9A","MsAge7K_03","MYO9A"
"ATF3","MsAge7K_00","ATF3"
"VWF","MsAge7K_07","VWF"
"SLC26A7","MsAge7K_07","SLC26A7"
"GPR182","MsAge7K_07","GPR182"
"ANO1","MsAge7K_06","ANO1"
"ITGAL","MsAge7K_00","ITGAL"
"AQP1","MsAge7K_00","AQP1"
"COL1A2","MsAge7K_00","COL1A2"
"SLC17A6","MsAge7K_02","SLC17A6"
"BUB1B","MsAge7K_00","BUB1B"
"ZIC5","MsAge7K_06","ZIC5"
"PIEZO2","MsAge7K_00","PIEZO2"
"CARTPT","MsAge7K_00","CARTPT"
"SLC13A3","MsAge7K_07","SLC13A3"
"GJB2","MsAge7K_07","GJB2"
"OR2AK2","MsAge7K_05","OR2AK2"
"DHX58","MsAge7K_00","DHX58"
"CASR","MsAge7K_01","CASR"
"DUSP1","MsAge7K_13","DUSP1"
"KCNE2","MsAge7K_00","KCNE2"
"AEBP1","MsAge7K_07","AEBP1"
"TNFRSF8","MsAge7K_00","TNFRSF8"
"ELN","MsAge7K_00","ELN"
"CLDN2","MsAge7K_00","CLDN2"
"COL9A1","MsAge7K_00","COL9A1"
"NME9","MsAge7K_14","NME9"
"GABRR2","MsAge7K_00","GABRR2"
"SCTR","MsAge7K_00","SCTR"
"TNNI3K","MsAge7K_05","TNNI3K"
"FPGT-TNNI3K","MsAge7K_05","FPGT-TNNI3K"
"MEOX1","MsAge7K_00","MEOX1"
"IFI44","MsAge7K_00","IFI44"
"LDLRAP1","MsAge7K_01","LDLRAP1"
"BDKRB2","MsAge7K_04","BDKRB2"
"ITGAD","MsAge7K_00","ITGAD"
"CORIN","MsAge7K_06","CORIN"
"SIK1","MsAge7K_13","SIK1"
"SIK1B","MsAge7K_13","SIK1B"
"NHLH1","MsAge7K_00","NHLH1"
"UGT8","MsAge7K_01","UGT8"
"TNNT1","MsAge7K_00","TNNT1"
"RPE65","MsAge7K_02","RPE65"
"CYR61","MsAge7K_13","CYR61"
"TNFSF10","MsAge7K_00","TNFSF10"
"JUNB","MsAge7K_13","JUNB"
"RNF207","MsAge7K_00","RNF207"
"ZBBX","MsAge7K_00","ZBBX"
"NEU2","MsAge7K_00","NEU2"
"TMEM255B","MsAge7K_02","TMEM255B"
"NRG1","MsAge7K_02","NRG1"
"TDRD1","MsAge7K_00","TDRD1"
"LAG3","MsAge7K_04","LAG3"
"IFITM2","MsAge7K_04","IFITM2"
"IFITM3","MsAge7K_04","IFITM3"
"IFITM1","MsAge7K_04","IFITM1"
"SIGLEC1","MsAge7K_07","SIGLEC1"
"EGR1","MsAge7K_13","EGR1"
"SLC11A1","MsAge7K_04","SLC11A1"
"CST7","MsAge7K_04","CST7"
"NLRC4","MsAge7K_00","NLRC4"
"SHISA8","MsAge7K_01","SHISA8"
"DCAF12L2","MsAge7K_00","DCAF12L2"
"C1QTNF7","MsAge7K_05","C1QTNF7"
"NXPH2","MsAge7K_00","NXPH2"
"PLEKHF1","MsAge7K_00","PLEKHF1"
"CRYGN","MsAge7K_00","CRYGN"
"COL6A5","MsAge7K_00","COL6A5"
"DNMT3B","MsAge7K_00","DNMT3B"
"MYL4","MsAge7K_00","MYL4"
"ALOX12B","MsAge7K_00","ALOX12B"
"CALB2","MsAge7K_06","CALB2"
"CILP2","MsAge7K_00","CILP2"
"RNF213","MsAge7K_03","RNF213"
"CNGB1","MsAge7K_00","CNGB1"
"LOX","MsAge7K_00","LOX"
"HSPB1","MsAge7K_00","HSPB1"
"WDR49","MsAge7K_14","WDR49"
"PTPRC","MsAge7K_04","PTPRC"
"VWA5B1","MsAge7K_00","VWA5B1"
"TRIM14","MsAge7K_04","TRIM14"
"ADGRF2","MsAge7K_00","ADGRF2"
"ZC3HAV1","MsAge7K_04","ZC3HAV1"
"PROM2","MsAge7K_04","PROM2"
"DEPDC7","MsAge7K_00","DEPDC7"
"PDE6C","MsAge7K_00","PDE6C"
"DBH","MsAge7K_00","DBH"
"AHNAK2","MsAge7K_00","AHNAK2"
"HAPLN2","MsAge7K_09","HAPLN2"
"GBP6","MsAge7K_00","GBP6"
"PTH2R","MsAge7K_02","PTH2R"
"TBC1D10C","MsAge7K_00","TBC1D10C"
"TACR3","MsAge7K_05","TACR3"
"NKX2-1","MsAge7K_06","NKX2-1"
"IER2","MsAge7K_13","IER2"
"PPL","MsAge7K_00","PPL"
"ADAMTS13","MsAge7K_00","ADAMTS13"
"WDR86","MsAge7K_00","WDR86"
"LYVE1","MsAge7K_00","LYVE1"
"BTN2A2","MsAge7K_00","BTN2A2"
"PLXDC1","MsAge7K_02","PLXDC1"
"CLCF1","MsAge7K_00","CLCF1"
"LST1","MsAge7K_00","LST1"
"PIDD1","MsAge7K_00","PIDD1"
"SAMD9L","MsAge7K_04","SAMD9L"
"SP7","MsAge7K_01","SP7"
"RNF17","MsAge7K_00","RNF17"
"ALPK2","MsAge7K_12","ALPK2"
"CD4","MsAge7K_00","CD4"
"LRRC74B","MsAge7K_14","LRRC74B"
"TEX13D","MsAge7K_11","TEX13D"
"TEX13C","MsAge7K_11","TEX13C"
"ERVW-1","MsAge7K_00","ERVW-1"
"MAL","MsAge7K_01","MAL"
"DNAH11","MsAge7K_14","DNAH11"
"KCNK5","MsAge7K_00","KCNK5"
"FRMPD2","MsAge7K_14","FRMPD2"
"CASQ1","MsAge7K_00","CASQ1"
"KCNA5","MsAge7K_00","KCNA5"
"TTC16","MsAge7K_00","TTC16"
"TNFSF13B","MsAge7K_00","TNFSF13B"
"SERPINE1","MsAge7K_00","SERPINE1"
"TACR1","MsAge7K_00","TACR1"
"THBS4","MsAge7K_00","THBS4"
"COL23A1","MsAge7K_05","COL23A1"
"PDZD3","MsAge7K_00","PDZD3"
"TRDN","MsAge7K_00","TRDN"
"TTLL6","MsAge7K_00","TTLL6"
"NTS","MsAge7K_00","NTS"
"CYP26B1","MsAge7K_11","CYP26B1"
"ANKRD66","MsAge7K_14","ANKRD66"
"C7orf57","MsAge7K_00","C7orf57"
"C22orf15","MsAge7K_00","C22orf15"
"IL36G","MsAge7K_00","IL36G"
"TRPM6","MsAge7K_00","TRPM6"
"TMPRSS11A","MsAge7K_00","TMPRSS11A"
"GPR6","MsAge7K_02","GPR6"
"GPR50","MsAge7K_00","GPR50"
"UNC13C","MsAge7K_02","UNC13C"
"LIN28B","MsAge7K_00","LIN28B"
"ADAMTS18","MsAge7K_00","ADAMTS18"
"DNAH7","MsAge7K_00","DNAH7"
"SLC38A5","MsAge7K_00","SLC38A5"
