"","HuAgeDis_00....NewOligoByothersCuffdiff2FCover20__"
"1","BCAS1"
"2","CHST8"
"3","COL9A1"
"4","CTNNAL1"
"5","CYB5B"
"6","EXOC1"
"7","FAM118B"
"8","FASTK"
"9","FNBP1"
"10","KIF19"
"11","METTL3"
"12","MORC4"
"13","NDUFS1"
"14","NFYC"
"15","PARP1"
"16","PUM2"
"17","PYCR1"
"18","SENP5"
"19","TTLL7"
"20","UBAP2L"
"21","YARS2"
"22","ZNF131"
