"","brown....MicrogliByothersCuffdiff2FCover20__"
"1","AATF"
"2","ABL1"
"3","ARID5A"
"4","CBL"
"5","CDH23"
"6","CEBPB"
"7","CHST12"
"8","DGKD"
"9","ELF4"
"10","GATAD2A"
"11","NFKB2"
"12","NINJ1"
"13","P2RX7"
"14","PCBD1"
"15","PER1"
"16","PKD1"
"17","PTPN2"
"18","RAB3IL1"
"19","RBM19"
"20","SLC16A3"
"21","TAF1C"
"22","TBC1D17"
"23","TCIRG1"
"24","TMC6"
"25","TMC8"
"26","TMEM104"
"27","TNS1"
"28","TSEN54"
"29","YPEL3"
