"","HuAgeDis_01....EndotheByothersCuffdiff2FCover20__"
"1","ACTR3"
"2","APP"
"3","CA4"
"4","CAPZA2"
"5","CCDC85A"
"6","CDC42EP3"
"7","CTNNBIP1"
"8","DOK4"
"9","ECM1"
"10","FRY"
"11","IQCG"
"12","LAMB1"
"13","LRP8"
"14","MDH2"
"15","PDCD10"
"16","PDE2A"
"17","PGM5"
"18","RBM3"
"19","RIOK1"
"20","RPS6KA3"
"21","SBDS"
"22","SEMA3G"
"23","SLC39A10"
"24","SPON2"
"25","ST6GALNAC6"
"26","TIAM1"
"27","TIRAP"
"28","ZNF436"
