"","HuAgeDis_01....MyeOligoByothersCuffdiff2FCover20__"
"1","ABAT"
"2","ADAM11"
"3","ARHGEF2"
"4","ATP6V1G2"
"5","C12orf29"
"6","CA14"
"7","CTNNA2"
"8","DGKI"
"9","INSIG2"
"10","LDB3"
"11","MAST3"
"12","MORF4L1"
"13","MRPS18C"
"14","NIT1"
"15","NSF"
"16","OSBPL1A"
"17","PGK1"
"18","PSMD13"
"19","PVALB"
"20","RAB37"
"21","RAPGEF4"
"22","SEC14L5"
"23","STARD3NL"
"24","SYTL2"
"25","TBC1D7"
"26","TRAPPC4"
"27","TSTA3"
"28","TTC3"
