"","HuAgeDis_02....AstroByothersCuffdiff2FCover20__"
"1","ACSBG1"
"2","ALDH1L1"
"3","ALPK1"
"4","BMPR1B"
"5","C4B"
"6","CYBRD1"
"7","DGCR6"
"8","DHX32"
"9","EFEMP2"
"10","ENAH"
"11","FAM107A"
"12","GJA1"
"13","GLI2"
"14","ITGA6"
"15","KTN1"
"16","LOXL1"
"17","LRIG1"
"18","MTM1"
"19","SELENBP1"
"20","SLC14A1"
"21","TCF12"
"22","TIMP3"
"23","TRPS1"
