"","MF_3_SRR1593496","MF_3_SRR1593497","MF_3_SRR1593498","MF_3_SRR1593499","MF_3_SRR1593500","MF_24_SRR1593501","MF_24_SRR1593502","MF_24_SRR1593503","MF_24_SRR1593504","MF_24_SRR1593505","MF_24_SRR1593506","MF_3_SRR1593507","MF_3_SRR1593508","MF_3_SRR1593509","MF_29_SRR1593510","MF_29_SRR1593511","MF_29_SRR1593512","F_10_SRR2531532","F_10_SRR2531533","F_10_SRR2531534","F_10_SRR2531535","M_10_SRR2531536","M_10_SRR2531537","M_10_SRR2531538","M_10_SRR2531539","F_2_SRR2531540","F_2_SRR2531541","F_2_SRR2531542","F_2_SRR2531543","M_2_SRR2531544","M_2_SRR2531545","M_2_SRR2531546","M_2_SRR2531547","F_6_SRR2531548","F_6_SRR2531549","F_6_SRR2531550","F_6_SRR2531551","M_6_SRR2531552","M_6_SRR2531553","M_6_SRR2531554","M_6_SRR2531555","F_1_SRR3734796","F_1_SRR3734797","F_1_SRR3734798","F_1_SRR3734799","F_1_SRR3734800","M_1_SRR3734801","M_1_SRR3734802","M_1_SRR3734803","M_1_SRR3734804","M_1_SRR3734805","F_2_SRR3734806","F_2_SRR3734807","F_2_SRR3734808","F_2_SRR3734809","F_2_SRR3734810","M_2_SRR3734811","M_2_SRR3734812","M_2_SRR3734813","M_2_SRR3734814","M_2_SRR3734815","F_4_SRR3734816","F_4_SRR3734817","F_4_SRR3734818","F_4_SRR3734819","F_4_SRR3734820","M_4_SRR3734821","M_4_SRR3734822","M_4_SRR3734823","M_4_SRR3734824","M_4_SRR3734825"
"","Min.   :-0.4919  ","Min.   :-1.749  ","Min.   :-1.910  ","Min.   :-1.265  ","Min.   :-0.4854  ","Min.   :-0.3771  ","Min.   :-0.2057  ","Min.   :-0.181  ","Min.   :-0.1345  ","Min.   :-0.106  ","Min.   :-0.2944  ","Min.   :-0.4355  ","Min.   :-0.7225  ","Min.   :-1.269  ","Min.   :-0.7467  ","Min.   :-0.2982  ","Min.   :-1.048  ","Min.   :-0.2484  ","Min.   :-0.1989  ","Min.   :-0.2429  ","Min.   :-0.1086  ","Min.   :-0.2281  ","Min.   :-0.2446  ","Min.   :-0.1582  ","Min.   :-0.4371  ","Min.   :-0.5115  ","Min.   : 0.06732  ","Min.   :-0.6787  ","Min.   :-0.3587  ","Min.   :-0.4681  ","Min.   :-0.3622  ","Min.   :-0.5842  ","Min.   :-0.4392  ","Min.   :-0.753  ","Min.   :-0.6982  ","Min.   :-0.4183  ","Min.   :-0.08197  ","Min.   :-0.4916  ","Min.   :-0.5021  ","Min.   :-0.4654  ","Min.   :-0.7573  ","Min.   :-0.2021  ","Min.   :-0.04026  ","Min.   :-0.3763  ","Min.   :-0.2896  ","Min.   :-0.1652  ","Min.   :-0.2831  ","Min.   :-0.1068  ","Min.   :-0.288  ","Min.   :-0.1124  ","Min.   :-0.2569  ","Min.   :-0.2698  ","Min.   :-0.1823  ","Min.   :-0.2241  ","Min.   :-0.1387  ","Min.   :-0.09396  ","Min.   :-0.09685  ","Min.   :-0.4438  ","Min.   :-0.2073  ","Min.   :-0.02202  ","Min.   :-0.1617  ","Min.   :-0.07114  ","Min.   :-0.1245  ","Min.   :-0.2699  ","Min.   :-0.2027  ","Min.   :-0.1187  ","Min.   :-0.05158  ","Min.   :-0.02824  ","Min.   :-0.2854  ","Min.   :-0.2881  ","Min.   :-0.1185  "
"","1st Qu.: 2.0252  ","1st Qu.: 2.042  ","1st Qu.: 1.994  ","1st Qu.: 2.049  ","1st Qu.: 2.0110  ","1st Qu.: 2.0541  ","1st Qu.: 2.0497  ","1st Qu.: 2.028  ","1st Qu.: 2.0550  ","1st Qu.: 2.045  ","1st Qu.: 2.0548  ","1st Qu.: 2.0114  ","1st Qu.: 2.0245  ","1st Qu.: 2.013  ","1st Qu.: 2.0790  ","1st Qu.: 2.0481  ","1st Qu.: 2.078  ","1st Qu.: 2.0616  ","1st Qu.: 2.0315  ","1st Qu.: 2.0311  ","1st Qu.: 2.0134  ","1st Qu.: 2.0190  ","1st Qu.: 2.0306  ","1st Qu.: 2.0489  ","1st Qu.: 2.0464  ","1st Qu.: 1.9974  ","1st Qu.: 2.04734  ","1st Qu.: 2.0326  ","1st Qu.: 2.0140  ","1st Qu.: 2.0828  ","1st Qu.: 2.0020  ","1st Qu.: 2.0727  ","1st Qu.: 2.0449  ","1st Qu.: 2.076  ","1st Qu.: 2.0710  ","1st Qu.: 2.0489  ","1st Qu.: 2.02031  ","1st Qu.: 2.0375  ","1st Qu.: 2.0655  ","1st Qu.: 2.0707  ","1st Qu.: 2.0570  ","1st Qu.: 2.0152  ","1st Qu.: 2.03499  ","1st Qu.: 2.0256  ","1st Qu.: 2.0590  ","1st Qu.: 2.0317  ","1st Qu.: 2.0719  ","1st Qu.: 2.0637  ","1st Qu.: 2.061  ","1st Qu.: 2.0298  ","1st Qu.: 2.0302  ","1st Qu.: 2.0432  ","1st Qu.: 2.0546  ","1st Qu.: 2.0579  ","1st Qu.: 2.0324  ","1st Qu.: 2.06626  ","1st Qu.: 2.04629  ","1st Qu.: 2.0420  ","1st Qu.: 2.0264  ","1st Qu.: 2.04189  ","1st Qu.: 2.0165  ","1st Qu.: 2.05626  ","1st Qu.: 2.0624  ","1st Qu.: 2.0553  ","1st Qu.: 2.0680  ","1st Qu.: 2.0471  ","1st Qu.: 2.03984  ","1st Qu.: 2.07558  ","1st Qu.: 2.0370  ","1st Qu.: 2.0475  ","1st Qu.: 2.0135  "
"","Median : 4.2298  ","Median : 4.231  ","Median : 4.229  ","Median : 4.252  ","Median : 4.2318  ","Median : 4.2663  ","Median : 4.2598  ","Median : 4.232  ","Median : 4.2652  ","Median : 4.234  ","Median : 4.2669  ","Median : 4.2288  ","Median : 4.2389  ","Median : 4.238  ","Median : 4.2768  ","Median : 4.2455  ","Median : 4.271  ","Median : 4.2585  ","Median : 4.2600  ","Median : 4.2621  ","Median : 4.2416  ","Median : 4.2285  ","Median : 4.2399  ","Median : 4.2436  ","Median : 4.2527  ","Median : 4.2263  ","Median : 4.25006  ","Median : 4.2375  ","Median : 4.2460  ","Median : 4.2767  ","Median : 4.2355  ","Median : 4.2654  ","Median : 4.2504  ","Median : 4.249  ","Median : 4.2488  ","Median : 4.2658  ","Median : 4.23860  ","Median : 4.2550  ","Median : 4.2520  ","Median : 4.2428  ","Median : 4.2369  ","Median : 4.2273  ","Median : 4.23741  ","Median : 4.2528  ","Median : 4.2550  ","Median : 4.2404  ","Median : 4.2671  ","Median : 4.2508  ","Median : 4.254  ","Median : 4.2474  ","Median : 4.2414  ","Median : 4.2418  ","Median : 4.2541  ","Median : 4.2597  ","Median : 4.2482  ","Median : 4.25463  ","Median : 4.24725  ","Median : 4.2348  ","Median : 4.2395  ","Median : 4.25341  ","Median : 4.2394  ","Median : 4.23963  ","Median : 4.2448  ","Median : 4.2558  ","Median : 4.2645  ","Median : 4.2515  ","Median : 4.25245  ","Median : 4.25647  ","Median : 4.2538  ","Median : 4.2452  ","Median : 4.2450  "
"","Mean   : 4.0900  ","Mean   : 4.100  ","Mean   : 4.088  ","Mean   : 4.098  ","Mean   : 4.0863  ","Mean   : 4.1124  ","Mean   : 4.1078  ","Mean   : 4.083  ","Mean   : 4.1139  ","Mean   : 4.095  ","Mean   : 4.1124  ","Mean   : 4.0891  ","Mean   : 4.0989  ","Mean   : 4.095  ","Mean   : 4.1198  ","Mean   : 4.1001  ","Mean   : 4.116  ","Mean   : 4.1116  ","Mean   : 4.1066  ","Mean   : 4.1058  ","Mean   : 4.0953  ","Mean   : 4.0934  ","Mean   : 4.0941  ","Mean   : 4.1015  ","Mean   : 4.1031  ","Mean   : 4.0760  ","Mean   : 4.10464  ","Mean   : 4.0882  ","Mean   : 4.0901  ","Mean   : 4.1199  ","Mean   : 4.0907  ","Mean   : 4.1123  ","Mean   : 4.1020  ","Mean   : 4.110  ","Mean   : 4.1110  ","Mean   : 4.1072  ","Mean   : 4.09709  ","Mean   : 4.1018  ","Mean   : 4.1081  ","Mean   : 4.0938  ","Mean   : 4.0872  ","Mean   : 4.0899  ","Mean   : 4.09743  ","Mean   : 4.0955  ","Mean   : 4.1039  ","Mean   : 4.0986  ","Mean   : 4.1033  ","Mean   : 4.1029  ","Mean   : 4.108  ","Mean   : 4.0978  ","Mean   : 4.0971  ","Mean   : 4.0916  ","Mean   : 4.1065  ","Mean   : 4.0969  ","Mean   : 4.0958  ","Mean   : 4.10509  ","Mean   : 4.09959  ","Mean   : 4.0951  ","Mean   : 4.0972  ","Mean   : 4.10428  ","Mean   : 4.0928  ","Mean   : 4.10097  ","Mean   : 4.1035  ","Mean   : 4.1104  ","Mean   : 4.1110  ","Mean   : 4.0998  ","Mean   : 4.09770  ","Mean   : 4.11243  ","Mean   : 4.1046  ","Mean   : 4.0994  ","Mean   : 4.0929  "
"","3rd Qu.: 5.8578  ","3rd Qu.: 5.853  ","3rd Qu.: 5.871  ","3rd Qu.: 5.873  ","3rd Qu.: 5.8598  ","3rd Qu.: 5.8794  ","3rd Qu.: 5.8802  ","3rd Qu.: 5.846  ","3rd Qu.: 5.8812  ","3rd Qu.: 5.863  ","3rd Qu.: 5.8923  ","3rd Qu.: 5.8590  ","3rd Qu.: 5.8781  ","3rd Qu.: 5.879  ","3rd Qu.: 5.8927  ","3rd Qu.: 5.8543  ","3rd Qu.: 5.878  ","3rd Qu.: 5.8731  ","3rd Qu.: 5.8799  ","3rd Qu.: 5.8686  ","3rd Qu.: 5.8626  ","3rd Qu.: 5.8608  ","3rd Qu.: 5.8639  ","3rd Qu.: 5.8602  ","3rd Qu.: 5.8669  ","3rd Qu.: 5.8597  ","3rd Qu.: 5.86695  ","3rd Qu.: 5.8633  ","3rd Qu.: 5.8781  ","3rd Qu.: 5.8859  ","3rd Qu.: 5.8698  ","3rd Qu.: 5.8745  ","3rd Qu.: 5.8740  ","3rd Qu.: 5.862  ","3rd Qu.: 5.8781  ","3rd Qu.: 5.8801  ","3rd Qu.: 5.88033  ","3rd Qu.: 5.8844  ","3rd Qu.: 5.8791  ","3rd Qu.: 5.8640  ","3rd Qu.: 5.8444  ","3rd Qu.: 5.8628  ","3rd Qu.: 5.86706  ","3rd Qu.: 5.8647  ","3rd Qu.: 5.8782  ","3rd Qu.: 5.8774  ","3rd Qu.: 5.8652  ","3rd Qu.: 5.8666  ","3rd Qu.: 5.865  ","3rd Qu.: 5.8861  ","3rd Qu.: 5.8660  ","3rd Qu.: 5.8776  ","3rd Qu.: 5.8714  ","3rd Qu.: 5.8667  ","3rd Qu.: 5.8624  ","3rd Qu.: 5.88007  ","3rd Qu.: 5.87880  ","3rd Qu.: 5.8656  ","3rd Qu.: 5.8807  ","3rd Qu.: 5.88177  ","3rd Qu.: 5.8688  ","3rd Qu.: 5.85091  ","3rd Qu.: 5.8567  ","3rd Qu.: 5.8717  ","3rd Qu.: 5.8737  ","3rd Qu.: 5.8736  ","3rd Qu.: 5.87019  ","3rd Qu.: 5.87284  ","3rd Qu.: 5.8612  ","3rd Qu.: 5.8754  ","3rd Qu.: 5.8714  "
"","Max.   :13.4792  ","Max.   :13.856  ","Max.   :13.641  ","Max.   :13.850  ","Max.   :13.7718  ","Max.   :13.7238  ","Max.   :13.7022  ","Max.   :13.877  ","Max.   :13.7112  ","Max.   :13.728  ","Max.   :13.6978  ","Max.   :13.6122  ","Max.   :13.8574  ","Max.   :13.776  ","Max.   :13.7486  ","Max.   :13.5637  ","Max.   :13.770  ","Max.   :13.7630  ","Max.   :13.7296  ","Max.   :13.8714  ","Max.   :13.7718  ","Max.   :13.7429  ","Max.   :13.7832  ","Max.   :13.7971  ","Max.   :13.7080  ","Max.   :13.5669  ","Max.   :13.72526  ","Max.   :13.7828  ","Max.   :13.6960  ","Max.   :13.7059  ","Max.   :13.6500  ","Max.   :13.6680  ","Max.   :13.5655  ","Max.   :13.651  ","Max.   :13.5818  ","Max.   :13.7150  ","Max.   :13.73866  ","Max.   :13.7237  ","Max.   :13.7593  ","Max.   :13.8016  ","Max.   :13.9488  ","Max.   :13.5827  ","Max.   :13.67731  ","Max.   :13.7736  ","Max.   :13.7263  ","Max.   :13.7038  ","Max.   :13.7081  ","Max.   :13.6609  ","Max.   :13.813  ","Max.   :13.7759  ","Max.   :13.6615  ","Max.   :13.6398  ","Max.   :13.8571  ","Max.   :13.7501  ","Max.   :13.7217  ","Max.   :13.67343  ","Max.   :13.73207  ","Max.   :13.6581  ","Max.   :13.7076  ","Max.   :13.67244  ","Max.   :13.8086  ","Max.   :13.77771  ","Max.   :13.7486  ","Max.   :13.8140  ","Max.   :13.8341  ","Max.   :13.7643  ","Max.   :13.61392  ","Max.   :13.78370  ","Max.   :13.6480  ","Max.   :13.7393  ","Max.   :13.7919  "
