nodeName	altName	nodeAttr.nodesPresent...
GH1	GH1	NA
CSH1	CSH1	NA
GH2	GH2	NA
CSHL1	CSHL1	NA
CSH2	CSH2	NA
PRL	PRL	NA
RN7SKP147	RN7SKP147	NA
LARS2	LARS2	NA
TTR	TTR	NA
IL31RA	IL31RA	NA
RNVU1-1	RNVU1-1	NA
MT-ATP6	MT-ATP6	NA
ZIC1	ZIC1	NA
GPR88	GPR88	NA
VGLL3	VGLL3	NA
C4B	C4B	NA
C4A	C4A	NA
IGFBPL1	IGFBPL1	NA
FOS	FOS	NA
FBXW12	FBXW12	NA
KLK6	KLK6	NA
EOMES	EOMES	NA
C3	C3	NA
SAMD3	SAMD3	NA
EGR2	EGR2	NA
HBA1	HBA1	NA
HBA2	HBA2	NA
COL6A3	COL6A3	NA
ISL1	ISL1	NA
ECEL1	ECEL1	NA
EBF3	EBF3	NA
IFIT1B	IFIT1B	NA
JARID2	JARID2	NA
POMC	POMC	NA
TPH1	TPH1	NA
RBP3	RBP3	NA
ZIC4	ZIC4	NA
FMO2	FMO2	NA
FMOD	FMOD	NA
ETNPPL	ETNPPL	NA
DIO3	DIO3	NA
HIF3A	HIF3A	NA
CD74	CD74	NA
PRDM12	PRDM12	NA
POSTN	POSTN	NA
GLP1R	GLP1R	NA
IFIT3	IFIT3	NA
SPP1	SPP1	NA
SCN5A	SCN5A	NA
SIX3	SIX3	NA
IGFN1	IGFN1	NA
SSPN	SSPN	NA
NPAS4	NPAS4	NA
PLIN4	PLIN4	NA
PLD5	PLD5	NA
DSC3	DSC3	NA
CTGF	CTGF	NA
PTGDS	PTGDS	NA
SLC22A6	SLC22A6	NA
ADORA2A	ADORA2A	NA
ALDH1A2	ALDH1A2	NA
ARC	ARC	NA
IFI27L2	IFI27L2	NA
CDK8	CDK8	NA
XDH	XDH	NA
CLDN14	CLDN14	NA
BAIAP3	BAIAP3	NA
PRG4	PRG4	NA
CLEC7A	CLEC7A	NA
SULT1C3	SULT1C3	NA
LAMC2	LAMC2	NA
CDH1	CDH1	NA
SLC47A1	SLC47A1	NA
C1orf115	C1orf115	NA
TRHR	TRHR	NA
CPLX3	CPLX3	NA
SP8	SP8	NA
BGLAP	BGLAP	NA
HPS5	HPS5	NA
IL33	IL33	NA
MT-ND3	MT-ND3	NA
IRS4	IRS4	NA
IRF7	IRF7	NA
DCN	DCN	NA
DUOX2	DUOX2	NA
HLA-DQB1	HLA-DQB1	NA
DLK1	DLK1	NA
VILL	VILL	NA
SEC14L3	SEC14L3	NA
CXCL6	CXCL6	NA
SLC4A5	SLC4A5	NA
FAM180A	FAM180A	NA
F5	F5	NA
TSHZ2	TSHZ2	NA
TMEM212	TMEM212	NA
FAM9B	FAM9B	NA
FAM9A	FAM9A	NA
RXFP1	RXFP1	NA
GPR101	GPR101	NA
CYBB	CYBB	NA
RNF122	RNF122	NA
BACE2	BACE2	NA
ATP6AP1L	ATP6AP1L	NA
RAB7B	RAB7B	NA
SLC6A12	SLC6A12	NA
ZIC3	ZIC3	NA
CACNG5	CACNG5	NA
BST2	BST2	NA
DRD2	DRD2	NA
RET	RET	NA
CRABP2	CRABP2	NA
ANKRD34C	ANKRD34C	NA
NGB	NGB	NA
QRFPR	QRFPR	NA
SLC6A13	SLC6A13	NA
ITIH2	ITIH2	NA
CLIC6	CLIC6	NA
USP43	USP43	NA
ASB4	ASB4	NA
COL3A1	COL3A1	NA
CROCC2	CROCC2	NA
SLC10A4	SLC10A4	NA
PRKCD	PRKCD	NA
ANO2	ANO2	NA
NTSR1	NTSR1	NA
RASGEF1C	RASGEF1C	NA
CBLN4	CBLN4	NA
SPHK1	SPHK1	NA
DGKK	DGKK	NA
TOP2A	TOP2A	NA
FERMT1	FERMT1	NA
RNU4-2	RNU4-2	NA
ITGAX	ITGAX	NA
ARHGAP36	ARHGAP36	NA
ADGRD1	ADGRD1	NA
CCDC180	CCDC180	NA
DKKL1	DKKL1	NA
RNU4-1	RNU4-1	NA
