"","MF_3_SRR1593496","MF_3_SRR1593497","MF_3_SRR1593498","MF_3_SRR1593499","MF_3_SRR1593500","MF_24_SRR1593501","MF_24_SRR1593502","MF_24_SRR1593503","MF_24_SRR1593504","MF_24_SRR1593505","MF_24_SRR1593506","MF_3_SRR1593507","MF_3_SRR1593508","MF_3_SRR1593509","MF_29_SRR1593510","MF_29_SRR1593511","MF_29_SRR1593512","F_10_SRR2531532","F_10_SRR2531533","F_10_SRR2531534","F_10_SRR2531535","M_10_SRR2531536","M_10_SRR2531537","M_10_SRR2531538","M_10_SRR2531539","F_2_SRR2531540","F_2_SRR2531541","F_2_SRR2531542","F_2_SRR2531543","M_2_SRR2531544","M_2_SRR2531545","M_2_SRR2531546","M_2_SRR2531547","F_6_SRR2531548","F_6_SRR2531549","F_6_SRR2531550","F_6_SRR2531551","M_6_SRR2531552","M_6_SRR2531553","M_6_SRR2531554","M_6_SRR2531555","F_1_SRR3734796","F_1_SRR3734797","F_1_SRR3734798","F_1_SRR3734799","F_1_SRR3734800","M_1_SRR3734801","M_1_SRR3734802","M_1_SRR3734803","M_1_SRR3734804","M_1_SRR3734805","F_2_SRR3734806","F_2_SRR3734807","F_2_SRR3734808","F_2_SRR3734809","F_2_SRR3734810","M_2_SRR3734811","M_2_SRR3734812","M_2_SRR3734813","M_2_SRR3734814","M_2_SRR3734815","F_4_SRR3734816","F_4_SRR3734817","F_4_SRR3734818","F_4_SRR3734819","F_4_SRR3734820","M_4_SRR3734821","M_4_SRR3734822","M_4_SRR3734823","M_4_SRR3734824","M_4_SRR3734825"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.951  ","1st Qu.: 1.993  ","1st Qu.: 1.811  ","1st Qu.: 1.998  ","1st Qu.: 1.956  ","1st Qu.: 1.957  ","1st Qu.: 1.947  ","1st Qu.: 1.961  ","1st Qu.: 1.946  ","1st Qu.: 1.965  ","1st Qu.: 2.001  ","1st Qu.: 1.832  ","1st Qu.: 1.954  ","1st Qu.: 1.952  ","1st Qu.: 2.052  ","1st Qu.: 1.991  ","1st Qu.: 2.004  ","1st Qu.: 2.054  ","1st Qu.: 2.198  ","1st Qu.: 2.133  ","1st Qu.: 2.150  ","1st Qu.: 2.027  ","1st Qu.: 2.016  ","1st Qu.: 2.014  ","1st Qu.: 2.051  ","1st Qu.: 2.058  ","1st Qu.: 2.006  ","1st Qu.: 2.050  ","1st Qu.: 1.971  ","1st Qu.: 2.140  ","1st Qu.: 1.978  ","1st Qu.: 2.119  ","1st Qu.: 2.046  ","1st Qu.: 2.076  ","1st Qu.: 2.053  ","1st Qu.: 2.088  ","1st Qu.: 2.428  ","1st Qu.: 1.982  ","1st Qu.: 2.074  ","1st Qu.: 2.022  ","1st Qu.: 2.069  ","1st Qu.: 2.160  ","1st Qu.: 2.079  ","1st Qu.: 2.097  ","1st Qu.: 2.100  ","1st Qu.: 2.085  ","1st Qu.: 2.065  ","1st Qu.: 2.092  ","1st Qu.: 2.232  ","1st Qu.: 2.050  ","1st Qu.: 2.137  ","1st Qu.: 2.122  ","1st Qu.: 2.027  ","1st Qu.: 2.153  ","1st Qu.: 2.141  ","1st Qu.: 2.089  ","1st Qu.: 2.150  ","1st Qu.: 2.103  ","1st Qu.: 2.130  ","1st Qu.: 2.140  ","1st Qu.: 2.026  ","1st Qu.: 2.185  ","1st Qu.: 2.089  ","1st Qu.: 2.117  ","1st Qu.: 2.147  ","1st Qu.: 2.074  ","1st Qu.: 2.135  ","1st Qu.: 2.053  ","1st Qu.: 2.135  ","1st Qu.: 1.943  ","1st Qu.: 2.049  "
"","Median : 4.179  ","Median : 4.188  ","Median : 4.121  ","Median : 4.207  ","Median : 4.158  ","Median : 4.156  ","Median : 4.158  ","Median : 4.158  ","Median : 4.174  ","Median : 4.170  ","Median : 4.201  ","Median : 4.105  ","Median : 4.161  ","Median : 4.147  ","Median : 4.251  ","Median : 4.167  ","Median : 4.205  ","Median : 4.286  ","Median : 4.354  ","Median : 4.329  ","Median : 4.315  ","Median : 4.249  ","Median : 4.250  ","Median : 4.259  ","Median : 4.292  ","Median : 4.270  ","Median : 4.255  ","Median : 4.277  ","Median : 4.263  ","Median : 4.336  ","Median : 4.275  ","Median : 4.291  ","Median : 4.288  ","Median : 4.286  ","Median : 4.280  ","Median : 4.311  ","Median : 4.518  ","Median : 4.259  ","Median : 4.250  ","Median : 4.258  ","Median : 4.281  ","Median : 4.280  ","Median : 4.264  ","Median : 4.288  ","Median : 4.279  ","Median : 4.257  ","Median : 4.251  ","Median : 4.244  ","Median : 4.338  ","Median : 4.257  ","Median : 4.275  ","Median : 4.287  ","Median : 4.276  ","Median : 4.319  ","Median : 4.305  ","Median : 4.263  ","Median : 4.305  ","Median : 4.294  ","Median : 4.263  ","Median : 4.295  ","Median : 4.244  ","Median : 4.301  ","Median : 4.250  ","Median : 4.266  ","Median : 4.295  ","Median : 4.252  ","Median : 4.304  ","Median : 4.229  ","Median : 4.285  ","Median : 4.214  ","Median : 4.248  "
"","Mean   : 4.043  ","Mean   : 4.048  ","Mean   : 3.986  ","Mean   : 4.045  ","Mean   : 4.020  ","Mean   : 4.018  ","Mean   : 4.020  ","Mean   : 4.024  ","Mean   : 4.025  ","Mean   : 4.026  ","Mean   : 4.047  ","Mean   : 3.971  ","Mean   : 4.024  ","Mean   : 4.021  ","Mean   : 4.083  ","Mean   : 4.028  ","Mean   : 4.059  ","Mean   : 4.126  ","Mean   : 4.184  ","Mean   : 4.157  ","Mean   : 4.159  ","Mean   : 4.102  ","Mean   : 4.102  ","Mean   : 4.098  ","Mean   : 4.115  ","Mean   : 4.115  ","Mean   : 4.045  ","Mean   : 4.106  ","Mean   : 4.095  ","Mean   : 4.166  ","Mean   : 4.102  ","Mean   : 4.149  ","Mean   : 4.124  ","Mean   : 4.131  ","Mean   : 4.124  ","Mean   : 4.133  ","Mean   : 4.274  ","Mean   : 4.087  ","Mean   : 4.109  ","Mean   : 4.094  ","Mean   : 4.103  ","Mean   : 4.138  ","Mean   : 4.117  ","Mean   : 4.122  ","Mean   : 4.124  ","Mean   : 4.112  ","Mean   : 4.086  ","Mean   : 4.115  ","Mean   : 4.180  ","Mean   : 4.100  ","Mean   : 4.140  ","Mean   : 4.124  ","Mean   : 4.105  ","Mean   : 4.143  ","Mean   : 4.142  ","Mean   : 4.109  ","Mean   : 4.147  ","Mean   : 4.123  ","Mean   : 4.121  ","Mean   : 4.140  ","Mean   : 4.092  ","Mean   : 4.158  ","Mean   : 4.115  ","Mean   : 4.125  ","Mean   : 4.141  ","Mean   : 4.106  ","Mean   : 4.135  ","Mean   : 4.098  ","Mean   : 4.131  ","Mean   : 4.054  ","Mean   : 4.100  "
"","3rd Qu.: 5.816  ","3rd Qu.: 5.814  ","3rd Qu.: 5.809  ","3rd Qu.: 5.816  ","3rd Qu.: 5.814  ","3rd Qu.: 5.813  ","3rd Qu.: 5.825  ","3rd Qu.: 5.796  ","3rd Qu.: 5.827  ","3rd Qu.: 5.813  ","3rd Qu.: 5.835  ","3rd Qu.: 5.791  ","3rd Qu.: 5.824  ","3rd Qu.: 5.817  ","3rd Qu.: 5.846  ","3rd Qu.: 5.788  ","3rd Qu.: 5.834  ","3rd Qu.: 5.909  ","3rd Qu.: 5.918  ","3rd Qu.: 5.909  ","3rd Qu.: 5.902  ","3rd Qu.: 5.886  ","3rd Qu.: 5.888  ","3rd Qu.: 5.882  ","3rd Qu.: 5.908  ","3rd Qu.: 5.884  ","3rd Qu.: 5.890  ","3rd Qu.: 5.896  ","3rd Qu.: 5.909  ","3rd Qu.: 5.934  ","3rd Qu.: 5.911  ","3rd Qu.: 5.911  ","3rd Qu.: 5.915  ","3rd Qu.: 5.888  ","3rd Qu.: 5.916  ","3rd Qu.: 5.921  ","3rd Qu.: 6.045  ","3rd Qu.: 5.912  ","3rd Qu.: 5.902  ","3rd Qu.: 5.875  ","3rd Qu.: 5.889  ","3rd Qu.: 5.903  ","3rd Qu.: 5.898  ","3rd Qu.: 5.899  ","3rd Qu.: 5.889  ","3rd Qu.: 5.891  ","3rd Qu.: 5.879  ","3rd Qu.: 5.881  ","3rd Qu.: 5.901  ","3rd Qu.: 5.892  ","3rd Qu.: 5.899  ","3rd Qu.: 5.888  ","3rd Qu.: 5.882  ","3rd Qu.: 5.889  ","3rd Qu.: 5.891  ","3rd Qu.: 5.882  ","3rd Qu.: 5.897  ","3rd Qu.: 5.887  ","3rd Qu.: 5.894  ","3rd Qu.: 5.901  ","3rd Qu.: 5.886  ","3rd Qu.: 5.878  ","3rd Qu.: 5.875  ","3rd Qu.: 5.876  ","3rd Qu.: 5.900  ","3rd Qu.: 5.877  ","3rd Qu.: 5.888  ","3rd Qu.: 5.878  ","3rd Qu.: 5.881  ","3rd Qu.: 5.870  ","3rd Qu.: 5.878  "
"","Max.   :13.024  ","Max.   :13.491  ","Max.   :13.257  ","Max.   :13.448  ","Max.   :13.584  ","Max.   :13.647  ","Max.   :13.641  ","Max.   :13.819  ","Max.   :13.549  ","Max.   :13.504  ","Max.   :13.492  ","Max.   :13.839  ","Max.   :13.960  ","Max.   :13.907  ","Max.   :13.833  ","Max.   :13.824  ","Max.   :13.787  ","Max.   :13.979  ","Max.   :13.932  ","Max.   :14.043  ","Max.   :14.004  ","Max.   :14.020  ","Max.   :14.106  ","Max.   :14.050  ","Max.   :13.909  ","Max.   :13.852  ","Max.   :13.983  ","Max.   :14.020  ","Max.   :14.001  ","Max.   :13.703  ","Max.   :13.680  ","Max.   :13.832  ","Max.   :13.579  ","Max.   :13.729  ","Max.   :13.679  ","Max.   :13.854  ","Max.   :13.608  ","Max.   :13.916  ","Max.   :13.936  ","Max.   :13.930  ","Max.   :14.019  ","Max.   :13.553  ","Max.   :13.575  ","Max.   :13.617  ","Max.   :13.595  ","Max.   :13.674  ","Max.   :13.682  ","Max.   :13.606  ","Max.   :13.606  ","Max.   :13.691  ","Max.   :13.578  ","Max.   :13.616  ","Max.   :13.658  ","Max.   :13.648  ","Max.   :13.656  ","Max.   :13.641  ","Max.   :13.677  ","Max.   :13.458  ","Max.   :13.644  ","Max.   :13.600  ","Max.   :13.736  ","Max.   :13.718  ","Max.   :13.724  ","Max.   :13.779  ","Max.   :13.755  ","Max.   :13.736  ","Max.   :13.570  ","Max.   :13.795  ","Max.   :13.596  ","Max.   :13.665  ","Max.   :13.814  "
