"Module","Study","Gender","Age","Tissue","p.value.Study","p.value.Gender","p.value.Age","p.value.Tissue"
"MEpink","-3.72965547335014e-17","-2.18249897321332e-16","0.130546279226527",NA,"1","0.999999999999999","0.277864424307648",NA
"MEblue","6.59194920871187e-17","-4.28476698566271e-16","-0.0351603046384356",NA,"1","0.999999999999997","0.77097691608321",NA
"MEblack","6.44883452194378e-16","-6.70633253790909e-16","0.244573781284832",NA,"0.999999999999996","0.999999999999996","0.0398243261497398",NA
"MEgreen","-6.73072708679001e-16","4.43655528981068e-16","0.14212682080259",NA,"0.999999999999996","0.999999999999997","0.237071575092743",NA
"MEmagenta","1.02348685082632e-16","-4.60894343523588e-16","0.389861744491592",NA,"0.999999999999999","0.999999999999997","0.000777280665504921",NA
"MEyellow","-1.75207071073658e-16","2.50017020975157e-16","0.627905700311016",NA,"0.999999999999999","0.999999999999998","4.60083026252501e-09",NA
"MEbrown","-2.90566182226115e-16","1.46150452851046e-16","-0.00909397820069397",NA,"0.999999999999998","0.999999999999999","0.940000986148092",NA
"MEgrey60","9.17668718791731e-16","-5.30391702779909e-16","0.307368287996848",NA,"0.999999999999994","0.999999999999996","0.00912304919396711",NA
"MEgreenyellow","2.27248775352962e-16","-1.71737624121704e-16","-0.137154156028122",NA,"0.999999999999998","0.999999999999999","0.254049777916003",NA
"MEmidnightblue","-9.85322934354826e-16","1.14058068545475e-16","0.128927272834573",NA,"0.999999999999994","0.999999999999999","0.283918873418182",NA
"MEturquoise","-4.87457296749483e-16","6.93022028652734e-16","-0.0681903778269219",NA,"0.999999999999997","0.999999999999995","0.572045292765231",NA
"MElightcyan","4.16333634234434e-16","-3.10949183068843e-16","0.0677131924314666",NA,"0.999999999999997","0.999999999999998","0.574743926337692",NA
"MEpurple","-2.05998412772246e-16","1.41705223943855e-16","-0.0458460444541895",NA,"0.999999999999999","0.999999999999999","0.704206394575885",NA
"MEtan","2.57172755313562e-16","-6.88197328985174e-17","-0.00209773587747182",NA,"0.999999999999998","1","0.986147741199813",NA
"MEsalmon","-1.94289029309402e-16","6.5746019739521e-16","-0.0254032292420537",NA,"0.999999999999999","0.999999999999996","0.833444534592049",NA
"MEcyan","-2.81025203108243e-16","-6.50521303491303e-18","-0.179199268445253",NA,"0.999999999999998","1","0.134838494532488",NA
"MEred","2.42861286636753e-17","1.29670579829266e-16","-0.241525177177468",NA,"1","0.999999999999999","0.0424428225051033",NA
"MEgrey","-7.89299181569447e-17","-1.88542757795229e-16","0.389999012692611",NA,"1","0.999999999999999","0.00077366791203444",NA
