"","GeneL","modulesA1L"
"171","ASPG","MsAge7K_04"
"172","CBLN3","MsAge7K_00"
"173","IGHM","MsAge7K_04"
"174","COL6A1","MsAge7K_05"
"175","TMTC2","MsAge7K_00"
"176","COX8C","MsAge7K_04"
"177","GBP2","MsAge7K_00"
"178","SERPINA3","MsAge7K_00"
"179","HSPA1A","MsAge7K_00"
"180","HSPA1B","MsAge7K_00"
"181","AVP","MsAge7K_00"
"182","WNT6","MsAge7K_07"
"183","A2M","MsAge7K_00"
"184","FLNC","MsAge7K_04"
"185","WFIKKN2","MsAge7K_00"
"186","CDH26","MsAge7K_00"
"187","FAM83D","MsAge7K_01"
"188","MYBPC1","MsAge7K_00"
"189","LRRC71","MsAge7K_14"
"190","MX1","MsAge7K_04"
"191","GALNT15","MsAge7K_00"
"192","MYH11","MsAge7K_07"
"193","CARD17","MsAge7K_00"
"194","CARD16","MsAge7K_00"
"195","CASP1","MsAge7K_00"
"196","VWC2L","MsAge7K_02"
"197","COL8A1","MsAge7K_00"
"198","ADAMTS14","MsAge7K_15"
"199","ACER2","MsAge7K_00"
"200","PRDM6","MsAge7K_07"
"201","SLC14A2","MsAge7K_14"
"202","GAPDH","MsAge7K_00"
"203","GADL1","MsAge7K_00"
"204","ZNF474","MsAge7K_00"
"205","OVOL2","MsAge7K_02"
"206","FAM110D","MsAge7K_00"
"207","DRAXIN","MsAge7K_01"
"208","COL2A1","MsAge7K_00"
"209","GSN","MsAge7K_01"
"210","KCNJ2","MsAge7K_00"
"211","RPL23A","MsAge7K_00"
"212","DCT","MsAge7K_00"
"213","ISG15","MsAge7K_04"
"214","LDOC1","MsAge7K_05"
"215","RTP4","MsAge7K_04"
"216","ACTA2","MsAge7K_07"
"217","CPA6","MsAge7K_00"
"218","PDE6G","MsAge7K_00"
"219","LIPM","MsAge7K_00"
"220","LRMDA","MsAge7K_00"
"221","BLOC1S1","MsAge7K_00"
"222","MT-ATP8","MsAge7K_00"
"223","FOXP2","MsAge7K_00"
"224","KCNG3","MsAge7K_03"
"225","APOD","MsAge7K_04"
"226","PBK","MsAge7K_01"
"227","TNC","MsAge7K_00"
"228","MT1M","MsAge7K_00"
"229","MT1X","MsAge7K_00"
"230","COL1A1","MsAge7K_00"
"231","SGCZ","MsAge7K_02"
"232","EBF2","MsAge7K_06"
