"","CorrAge","PvalAge"
"C4B",0.651878130432501,7.39299895060591e-10
"C4A",0.651878130432501,7.39299895060591e-10
"IGFBPL1",-0.483511955057489,1.94299840928544e-05
"KLK6",0.560732566826683,3.66188368527665e-07
"C3",0.535171802949403,1.52172100220765e-06
"IFIT1B",0.425198310738341,0.000218810762191963
"FMO2",0.459840982088366,5.47550868664075e-05
"CD74",0.316295557106459,0.00720509727266403
"IFIT3",0.473266516700326,3.07115065544358e-05
"PLIN4",0.321596843381607,0.00624215908233382
"IFI27L2",0.400074857051716,0.000546568705193788
"XDH",0.313839952489678,0.00769370117930422
"CLEC7A",0.544229815792062,9.30990685983702e-07
"SULT1C3",0.570669599723783,2.03667150017205e-07
"CDH1",0.309997388371131,0.00851659791139798
"IRF7",0.3424828920662,0.00346056221657183
"CYBB",0.503892711279591,7.47297847645114e-06
"ZIC3",-0.346703486993043,0.00305666847800556
"BST2",0.447602677295841,9.08640578598402e-05
"RET",-0.356823858134086,0.00225427208263765
"TOP2A",-0.319272742424989,0.00664940268890533
"ITGAX",0.508738768900782,5.89995109913018e-06
"LGALS3BP",0.528937463372371,2.11659664516129e-06
"UPK1B",0.508988631641772,5.82791696543884e-06
"SULT1C2",0.499913847962786,9.04913767018857e-06
"CYP2E1",0.55839085918529,4.19317956581793e-07
"CD44",0.35545903747108,0.00235012082185173
"CD52",0.347565204710226,0.00297957320941718
"ASPG",0.451411805443556,7.77716525645077e-05
"IGHM",0.445985096224432,9.70165954282771e-05
"COL6A1",0.382226654003903,0.0010040541937593
"COX8C",0.373309085992066,0.00134363664025247
"FLNC",0.540238126431125,1.15810999559452e-06
"ACER2",0.397498769407863,0.000597971969126919
"DRAXIN",-0.440578054858294,0.000120483770449535
"COL2A1",0.310581027621043,0.00838685502809611
"RTP4",0.360226163532755,0.00203040539141812
"LRMDA",0.314702974209646,0.00751876945206406
"APOD",0.561123253663466,3.57967770828592e-07
"CA13",0.357965468985,0.00217680535052441
"RASSF10",-0.311767877498065,0.00812834107765037
"DDX60",0.402152471760577,0.000508080911239084
"LGALS3",0.309359964976323,0.00866029893304011
"C3AR1",0.367859788411629,0.00159906628048839
"AEBP1",0.367652946466667,0.00160957023446586
"MEOX1",0.323772925720178,0.00588092538073267
"BDKRB2",0.444611935535359,0.000102538909671659
"RNF207",0.404361300530898,0.00046988566453678
"LAG3",0.501251127980785,8.48768205200839e-06
"IFITM2",0.312714743098224,0.0079271286735622
"IFITM3",0.312714743098224,0.0079271286735622
"IFITM1",0.312714743098224,0.0079271286735622
"SLC11A1",0.313240916433791,0.00781721162081763
"CST7",0.569856418520725,2.1383857104452e-07
"PTPRC",0.383569776485792,0.000960265909479122
"TRIM14",0.307181461256711,0.00916754443388816
"ZC3HAV1",0.592421265893925,5.25938753030859e-08
"PROM2",0.444981011434926,0.000101026802087982
"HAPLN2",0.388573898548636,0.000811928788736654
"PPL",0.406025455863628,0.000442859740158786
"SAMD9L",0.440334760868497,0.000121653577871191
"TRDN",0.358622270483252,0.00213332600232724
"FABP7",-0.315834291631394,0.00729474355435072
"CHN2",-0.36046244574683,0.00201562591149111
"CD48",0.383825202408583,0.000952136994904833
"EFEMP1",0.387167574648657,0.000851360309970574
"XAF1",0.371034980035708,0.00144538314936834
"CMKLR1",0.351723596450089,0.0026313867158264
"MUC3A",0.311216092944458,0.00824764743637882
"IGSF9",-0.312924009283463,0.00788325210708048
"CHST3",-0.347702531796928,0.00296744856898471
"TAP1",0.399248732635794,0.000562596999614169
"OAS2",0.352185764218548,0.0025950283078482
"LSP1",0.413610750764198,0.000336746555708633
"SERPING1",0.331268099850934,0.00477373670632773
"SLCO4A1",0.315771811879614,0.00730696135961653
"NHLH2",-0.320829645807027,0.00637409524003607
"ERICH5",0.382734308385159,0.000987295588995777
"CXCL16",0.388778223682079,0.000806339747271711
"HLA-DOB",0.346246464513191,0.00309827467176317
"ADAMTSL4",0.334951358232208,0.00430060259615888
"SLC15A3",0.344882588911181,0.0032254569223973
"TLR2",0.333079580047203,0.00453557534818525
"UBE2L6",0.339582571126353,0.00376498859847704
"GLRA2",-0.423676101012961,0.000231766669742234
"SVEP1",0.388112949563991,0.00082466674766553
"HLA-DMB",0.368107773977133,0.0015865543138433
"OSMR",0.385943678430059,0.000887081524414636
"IRGM",0.382993953301755,0.000978822495158935
"IL21R",0.343436100067986,0.0033654069564007
"MLPH",0.443302098997682,0.00010807553432511
"PYCR1",-0.306052377608191,0.00944050373208685
"GPNMB",0.458244584662111,5.85590197718369e-05
"CAPG",0.349629898302552,0.00280186499697435
"RBM3",0.328033726991332,0.00522660799770396
"DDX58",0.374318254547144,0.00130059181084236
"COL5A1",0.304616323665493,0.00979789739337988
"SLAMF9",0.3294519036065,0.00502356355508477
"CD37",0.350480377609598,0.0027314602964814
"SMPDL3B",0.331393319953939,0.00475692445700466
"METTL24",0.373122349816507,0.00135174111669383
"IFIH1",0.416916007069798,0.000298250575898357
"CD84",0.436613921220754,0.000140899359518938
"ARHGAP6",-0.321538072088627,0.00625218034992729
"CD180",0.31890316848767,0.00671626994137731
"CD300C",0.37215866879633,0.00139427077053187
"GALNT6",0.368514977403441,0.00156620018685016
"CELA1",0.314857032290568,0.00748791198411593
"NAALAD2",0.385126831033708,0.000911672703891237
"ANLN",0.365339066560912,0.00173138047894259
"NUF2",-0.392494162515245,0.000710599994498752
"PTPN6",0.346367671832565,0.00308719134115586
"ACE2",-0.306377487651468,0.00936118994771901
"TIRAP",0.315597404953456,0.00734116139389625
"UBA7",0.345739519920169,0.00314501573889369
"HVCN1",0.335921700866541,0.00418309225589678
"CD86",0.324315725690452,0.00579374305200431
"ITGB4",0.330291862615199,0.00490662116557189
"SCN7A",0.446963138191248,9.32521698254139e-05
"TREM2",0.566670240383669,2.58504550693132e-07
"CYP11A1",-0.332079244699623,0.00466575760769347
"ITGB2",0.520417186792698,3.28796488841807e-06
"FCER1G",0.311389638008161,0.00820995955474596
"TFCP2L1",0.479891077464926,2.2880649962824e-05
"C6orf10",0.362614078360653,0.00188541894401334
"TAP2",0.322138626326368,0.00615044209159274
"IP6K3",0.436249590196214,0.00014292725588926
"MBOAT1",0.369597551471783,0.00151322608465777
"TYROBP",0.476053027560192,2.71551290509699e-05
"ERMN",0.345897154569406,0.0031304146870326
"TRIM34",0.333069652399164,0.00453685134521396
"TRIM6-TRIM34",0.333069652399164,0.00453685134521396
"CD22",0.505750240152575,6.82864147879685e-06
"CTSS",0.594819531896102,4.50225728609396e-08
"VIM",0.452204701053406,7.52757886429647e-05
"CDH19",0.404706262309773,0.000464162894758108
"SOX11",-0.417411536834772,0.000292839970022522
"RASAL3",0.347830562791706,0.00295618435737335
"SEC14L5",0.394391901077143,0.00066580070468188
"HIST1H1C",-0.347298175149754,0.00300327591605423
"PIK3CG",0.315885534286663,0.00728473652749779
"IRF9",0.420133359799604,0.000264690830973889
"C1QA",0.547626851055413,7.71427720997333e-07
"ESPN",0.332196991031418,0.00465026438662519
"CSF3R",0.328386871618447,0.00517538074233768
"ITPR3",0.329952912123611,0.0049535181838811
"SOCS3",0.306184935232451,0.00940809450006659
"PDE6H",0.360507880316377,0.00201279506621482
"PRSS50",0.321846252084469,0.00619978883759305
"MPEG1",0.568383228457232,2.33498867993661e-07
"ZFP57",-0.314302780784616,0.00759944888546566
"ALOX5AP",0.314827505426357,0.00749381752695001
"TSPO",0.305413850534872,0.00959798637296204
"SLC5A5",0.39366681330608,0.000682605273297787
"CDH23",0.31379248678316,0.00770342497567211
"PMP22",0.47872098694402,2.41123627885076e-05
"KIAA1210",-0.313893933563096,0.0076826557243678
"GNB4",-0.385063216317679,0.000913613512019991
"CIITA",-0.362763086687957,0.00187668781241037
"ADSSL1",0.346664151869257,0.00306022974931554
"MMP12",0.477925809124632,2.49843209896434e-05
"MME",-0.337083454386239,0.00404615505000862
"FCGR2A",0.410434404014088,0.000377973092035558
"FCGR2B",0.410434404014088,0.000377973092035558
"FCGR2C",0.410434404014088,0.000377973092035558
"MYO15A",0.308545812345396,0.00884692107587222
"CHI3L1",0.336850075584844,0.00407333984477213
"OR4E1",0.360690640663073,0.00200144401113425
"LY86",0.391026283214598,0.000747111458078654
"IFIT2",0.372943459135678,0.00135954642430716
"LRRK1",0.319810035009619,0.00655323416075082
"PLD4",0.432691379280898,0.000164194486280124
"AHNAK",0.311566570047008,0.00817169138692041
"DOCK2",0.394823223233874,0.000655983731883673
"KRT5",0.316676720909868,0.0071317497971223
