"","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfsummary.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfdensity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanClusterCoeff.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kME","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.cor","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.clusterCoeff","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.MAR"
"black",84,-7.96340910697256,-14.6901759883406,-1.23664222560447,-15.5914564696769,-13.7888955070044,-102.965495896162,-9.33510481734679,NA,0,-0.974964916153841,-1.23664222560447,-153.39413901121,-12.2695247201428,NA,-1.31768730734497
"blue",212,-2.98528947097942,-5.84996075204807,-0.120618189910768,-0.226354602319265,-9.80874222263602,-21.7511920389907,-1.89117928146013,NA,-3.73929118020478,-0.120618189910768,0,-106.750426148941,-11.4574049587872,NA,-18.8639422094055
"brown",164,0,0,0,0,0,0,0,NA,0,0,0,-27.2133862566655,-5.81230557266438,NA,-0.0831486935275343
"gold",100,-0.0121088461669112,-0.0242176923338223,0,0,0,-1.2645745833673,-0.0484353846676446,NA,-0.423359127435891,0,0,-10.7472977132644,-2.72352553037257,NA,-0.59479634866515
"green",123,0,0,0,0,0,-6.48515142003965,0,NA,0,0,0,-14.8760454041061,-1.50592632729159,NA,0
"greenyellow",38,-13.2747939671362,-26.5495879342725,0,-19.9664964361785,-9.7802222097934,-33.1326794323665,-148.039888764353,NA,-11.2458207647263,0,0,-96.883679005141,-0.830178846366599,NA,0
"grey",1398,-4.91385189247198,-2.30939180928045,-7.51831197566351,0,-4.6187836185609,-28.8349442856739,0,NA,-0.238700537637664,-6.07557829951212,-7.51831197566351,-24.9229387698488,-102.142478294037,NA,-42.103690406239
"magenta",14,-0.857495051244753,-1.71499010248951,0,0,-3.42998020497901,-4.23953910695285,0,NA,0,0,0,-56.9804206433774,-2.35074682806906,NA,0
"pink",18,-0.159491758528786,-0.318983517057573,0,-2.33876157561019,0,0,-0.637967034115145,NA,-0.18175432644279,0,-0.0765440957069521,-89.7184011625672,0,NA,0
"purple",16,-2.1912632114792,-2.47643722678043,-1.90608919617797,-1.66481498405091,-3.28805946950995,-5.05823576722037,0,NA,0,-0.363004965044627,-1.90608919617797,-8.83231627646873,-2.5754532256112,NA,-0.524955345591037
"red",39,-0.87868995858254,-1.75737991716508,0,-5.61078887890224,0,0,-3.51475983433016,NA,-0.233931021282327,0,0,-43.8162063869521,-0.0904578150697262,NA,0
"turquoise",361,-1.30305616316421,-1.4054391844751,-1.20067314185333,-0.757644740828122,-3.49406004786282,0,-2.05323362812207,NA,-1.00624955379972,-1.20067314185333,-0.0478954548160446,-24.7997145425727,-13.3113147469544,NA,-45.4781406471838
"yellow",73,-0.127784644644829,0,-0.255569289289658,0,-0.0205354693941668,0,0,NA,0,0,-0.255569289289658,-0.628611541888066,-1.37225396166326,NA,0
