"","CellType_Vs_Others","MsGene"
"ABCB1","EndotheByothersCuffdiff2FCover20","Abcb1a"
"ABCB9","AstroByothersCuffdiff2FCover20","Abcb9"
"ABCC3","MicrogliByothersCuffdiff2FCover20","Abcc3"
"ABCC4","EndotheByothersCuffdiff2FCover20","Abcc4"
"ABCC6","EndotheByothersCuffdiff2FCover20","Abcc6"
"ABCC8","NeuronByothersCuffdiff2FCover20","Abcc8"
"ABCC9","EndotheByothersCuffdiff2FCover20","Abcc9"
"ABCD2","AstroByothersCuffdiff2FCover20","Abcd2"
"ABCG4","NeuronByothersCuffdiff2FCover20","Abcg4"
"ABHD12","MicrogliByothersCuffdiff2FCover20","Abhd12"
"ABHD14A","MicrogliByothersCuffdiff2FCover20","Abhd14a"
"ABHD15","MicrogliByothersCuffdiff2FCover20","Abhd15"
"ABHD3","AstroByothersCuffdiff2FCover20","Abhd3"
"ABI1","MyeOligoByothersCuffdiff2FCover20","Abi1"
"ABI2","NeuronByothersCuffdiff2FCover20","Abi2"
"ABI3","MicrogliByothersCuffdiff2FCover20","Abi3"
"ABL1","MicrogliByothersCuffdiff2FCover20","Abl1"
"ABL2","MicrogliByothersCuffdiff2FCover20","Abl2"
"ABLIM1","NeuronByothersCuffdiff2FCover20","Ablim1"
"ABLIM2","NeuronByothersCuffdiff2FCover20","Ablim2"
"ABLIM3","NeuronByothersCuffdiff2FCover20","Ablim3"
"ABR","AstroByothersCuffdiff2FCover20","Abr"
"ACAD8","MyeOligoByothersCuffdiff2FCover20","Acad8"
"ACAP1","EndotheByothersCuffdiff2FCover20","Acap1"
"ACAT2","AstroByothersCuffdiff2FCover20","Acat2"
"ACBD5","NeuronByothersCuffdiff2FCover20","Acbd5"
"ACBD7","NeuronByothersCuffdiff2FCover20","Acbd7"
"ACCS","MicrogliByothersCuffdiff2FCover20","Accs"
"ACE2","EndotheByothersCuffdiff2FCover20","Ace2"
"ACER2","EndotheByothersCuffdiff2FCover20","Acer2"
"ACHE","NeuronByothersCuffdiff2FCover20","Ache"
"ACKR2","EndotheByothersCuffdiff2FCover20","Ackr2"
"ACKR4","AstroByothersCuffdiff2FCover20","Ackr4"
"ACOT11","AstroByothersCuffdiff2FCover20","Acot11"
"ACOT9","EndotheByothersCuffdiff2FCover20","Acot9"
"ACP5","MicrogliByothersCuffdiff2FCover20","Acp5"
"ACSBG1","AstroByothersCuffdiff2FCover20","Acsbg1"
"ACSF2","EndotheByothersCuffdiff2FCover20","Acsf2"
"ACSL4","NeuronByothersCuffdiff2FCover20","Acsl4"
"ACSL6","AstroByothersCuffdiff2FCover20","Acsl6"
"ACSM3","AstroByothersCuffdiff2FCover20","Acsm3"
"ACSS3","EndotheByothersCuffdiff2FCover20","Acss3"
"ACTL6B","NeuronByothersCuffdiff2FCover20","Actl6b"
"ACTR10","PreOligoByothersCuffdiff2FCover20","Actr10"
"ACTR3","EndotheByothersCuffdiff2FCover20","Actr3"
"ACVRL1","EndotheByothersCuffdiff2FCover20","Acvrl1"
"ADAM11","MyeOligoByothersCuffdiff2FCover20","Adam11"
"ADAM15","MicrogliByothersCuffdiff2FCover20","Adam15"
"ADAM22","NeuronByothersCuffdiff2FCover20","Adam22"
"ADAM33","MicrogliByothersCuffdiff2FCover20","Adam33"
"ADAM8","MicrogliByothersCuffdiff2FCover20","Adam8"
"ADAMTS14","NeuronByothersCuffdiff2FCover20","Adamts14"
"ADAMTS16","MicrogliByothersCuffdiff2FCover20","Adamts16"
"ADAMTSL2","EndotheByothersCuffdiff2FCover20","Adamtsl2"
"ADAMTSL3","PreOligoByothersCuffdiff2FCover20","Adamtsl3"
"ADAMTSL4","MyeOligoByothersCuffdiff2FCover20","Adamtsl4"
"ADAP2","MicrogliByothersCuffdiff2FCover20","Adap2"
"ADARB2","NeuronByothersCuffdiff2FCover20","Adarb2"
"ADCY3","MicrogliByothersCuffdiff2FCover20","Adcy3"
"ADCY4","EndotheByothersCuffdiff2FCover20","Adcy4"
"ADCY7","MicrogliByothersCuffdiff2FCover20","Adcy7"
"ADCYAP1","NeuronByothersCuffdiff2FCover20","Adcyap1"
"ADD1","NeuronByothersCuffdiff2FCover20","Add1"
"ADGRA2","EndotheByothersCuffdiff2FCover20","Adgra2"
"ADGRE1","MicrogliByothersCuffdiff2FCover20","Adgre1"
"ADGRE5","EndotheByothersCuffdiff2FCover20","Adgre5"
"ADGRF5","EndotheByothersCuffdiff2FCover20","Adgrf5"
"ADGRG1","MicrogliByothersCuffdiff2FCover20","Adgrg1"
"ADGRG2","NeuronByothersCuffdiff2FCover20","Adgrg2"
"ADGRG3","EndotheByothersCuffdiff2FCover20","Adgrg3"
"ADGRG5","MicrogliByothersCuffdiff2FCover20","Adgrg5"
"ADGRG6","EndotheByothersCuffdiff2FCover20","Adgrg6"
"ADGRL1","NeuronByothersCuffdiff2FCover20","Adgrl1"
"ADGRL2","NeuronByothersCuffdiff2FCover20","Adgrl2"
"ADGRL3","NeuronByothersCuffdiff2FCover20","Adgrl3"
"ADGRL4","EndotheByothersCuffdiff2FCover20","Adgrl4"
"ADH1B","EndotheByothersCuffdiff2FCover20","Adh1"
"ADH1C","EndotheByothersCuffdiff2FCover20","Adh1"
"ADH1A","EndotheByothersCuffdiff2FCover20","Adh1"
"ADHFE1","AstroByothersCuffdiff2FCover20","Adhfe1"
"ADM","EndotheByothersCuffdiff2FCover20","Adm"
"ADORA2A","EndotheByothersCuffdiff2FCover20","Adora2a"
"ADORA3","MicrogliByothersCuffdiff2FCover20","Adora3"
"ADRB2","MicrogliByothersCuffdiff2FCover20","Adrb2"
"ADSSL1","MyeOligoByothersCuffdiff2FCover20","Adssl1"
"ADTRP","EndotheByothersCuffdiff2FCover20","Adtrp"
"AFAP1","NeuronByothersCuffdiff2FCover20","Afap1"
"AFDN","NeuronByothersCuffdiff2FCover20","Afdn"
"AFF1","EndotheByothersCuffdiff2FCover20","Aff1"
"AFF2","NeuronByothersCuffdiff2FCover20","Aff2"
"AGBL4","NeuronByothersCuffdiff2FCover20","Agbl4"
"AGFG1","NeuronByothersCuffdiff2FCover20","Agfg1"
"AGL","AstroByothersCuffdiff2FCover20","Agl"
"AGMO","MicrogliByothersCuffdiff2FCover20","Agmo"
"AGPAT1","MicrogliByothersCuffdiff2FCover20","Agpat1"
"AGPAT3","NeuronByothersCuffdiff2FCover20","Agpat3"
"AHCYL2","PreOligoByothersCuffdiff2FCover20","Ahcyl2"
"AHI1","NeuronByothersCuffdiff2FCover20","Ahi1"
"AHNAK","EndotheByothersCuffdiff2FCover20","Ahnak"
"AHRR","NewOligoByothersCuffdiff2FCover20","Ahrr"
"MYORG","AstroByothersCuffdiff2FCover20","AI464131"
"AIF1","NeuronByothersCuffdiff2FCover20","Aif1"
"AIFM3","AstroByothersCuffdiff2FCover20","Aifm3"
"AIM2","MicrogliByothersCuffdiff2FCover20","Aim2"
"AJAP1","NeuronByothersCuffdiff2FCover20","Ajap1"
"AK7","AstroByothersCuffdiff2FCover20","Ak7"
"AKAP12","EndotheByothersCuffdiff2FCover20","Akap12"
"AKAP13","MicrogliByothersCuffdiff2FCover20","Akap13"
"AKAP2","EndotheByothersCuffdiff2FCover20","Akap2"
"PALM2-AKAP2","EndotheByothersCuffdiff2FCover20","Akap2"
"AKAP7","NeuronByothersCuffdiff2FCover20","Akap7"
"AKR1B10","AstroByothersCuffdiff2FCover20","Akr1b10"
"AKR1E2","AstroByothersCuffdiff2FCover20","Akr1e1"
"AKT1","MicrogliByothersCuffdiff2FCover20","Akt1"
"AKT2","AstroByothersCuffdiff2FCover20","Akt2"
"ALAS1","MicrogliByothersCuffdiff2FCover20","Alas1"
"ALCAM","AstroByothersCuffdiff2FCover20","Alcam"
"ALDH1A1","EndotheByothersCuffdiff2FCover20","Aldh1a7"
"ALDH1L1","AstroByothersCuffdiff2FCover20","Aldh1l1"
"ALDH1L2","MyeOligoByothersCuffdiff2FCover20","Aldh1l2"
"ALDH2","MyeOligoByothersCuffdiff2FCover20","Aldh2"
"ALDOC","AstroByothersCuffdiff2FCover20","Aldoc"
"ALKAL2","NeuronByothersCuffdiff2FCover20","Alkal2"
"ALOX15","MicrogliByothersCuffdiff2FCover20","Alox15"
"ALOX5","MicrogliByothersCuffdiff2FCover20","Alox5"
"ALOX5AP","MicrogliByothersCuffdiff2FCover20","Alox5ap"
"ALOXE3","NeuronByothersCuffdiff2FCover20","Aloxe3"
"ALPK1","AstroByothersCuffdiff2FCover20","Alpk1"
"ALPK3","AstroByothersCuffdiff2FCover20","Alpk3"
"AMDHD2","MicrogliByothersCuffdiff2FCover20","Amdhd2"
"AMN1","MicrogliByothersCuffdiff2FCover20","Amn1"
"AMPH","MicrogliByothersCuffdiff2FCover20","Amph"
"AMZ1","MicrogliByothersCuffdiff2FCover20","Amz1"
"ANAPC15","MyeOligoByothersCuffdiff2FCover20","Anapc15"
"ANAPC4","AstroByothersCuffdiff2FCover20","Anapc4"
"ANAPC5","NeuronByothersCuffdiff2FCover20","Anapc5"
"ANG","MicrogliByothersCuffdiff2FCover20","Ang"
"ANGEL2","NeuronByothersCuffdiff2FCover20","Angel2"
"ANGPT2","EndotheByothersCuffdiff2FCover20","Angpt2"
"ANGPTL7","MicrogliByothersCuffdiff2FCover20","Angptl7"
"ANK1","NeuronByothersCuffdiff2FCover20","Ank1"
"ANK3","NeuronByothersCuffdiff2FCover20","Ank3"
"ANKHD1","MicrogliByothersCuffdiff2FCover20","Ankhd1"
"ANKHD1-EIF4EBP3","MicrogliByothersCuffdiff2FCover20","Ankhd1"
"ANKRA2","AstroByothersCuffdiff2FCover20","Ankra2"
"ANKRD13B","MyeOligoByothersCuffdiff2FCover20","Ankrd13b"
"ANKRD35","NeuronByothersCuffdiff2FCover20","Ankrd35"
"ANKRD37","EndotheByothersCuffdiff2FCover20","Ankrd37"
"ANKRD44","NewOligoByothersCuffdiff2FCover20","Ankrd44"
"ANKRD55","NeuronByothersCuffdiff2FCover20","Ankrd55"
"ANKS1B","PreOligoByothersCuffdiff2FCover20","Anks1b"
"ANKS3","NeuronByothersCuffdiff2FCover20","Anks3"
"ANKUB1","MyeOligoByothersCuffdiff2FCover20","Ankub1"
"ANO4","MyeOligoByothersCuffdiff2FCover20","Ano4"
"ANP32D","AstroByothersCuffdiff2FCover20","Anp32a"
"ANP32A","AstroByothersCuffdiff2FCover20","Anp32a"
"ANTXR1","NeuronByothersCuffdiff2FCover20","Antxr1"
"ANXA1","EndotheByothersCuffdiff2FCover20","Anxa1"
"ANXA2","AstroByothersCuffdiff2FCover20","Anxa2"
"ANXA3","EndotheByothersCuffdiff2FCover20","Anxa3"
"ANXA7","EndotheByothersCuffdiff2FCover20","Anxa7"
"AOAH","MicrogliByothersCuffdiff2FCover20","Aoah"
"AOC3","EndotheByothersCuffdiff2FCover20","Aoc3"
"AOX1","AstroByothersCuffdiff2FCover20","Aox1"
"AP1B1","NeuronByothersCuffdiff2FCover20","Ap1b1"
"AP1G2","MicrogliByothersCuffdiff2FCover20","Ap1g2"
"AP5S1","MicrogliByothersCuffdiff2FCover20","Ap5s1"
"AP5Z1","MicrogliByothersCuffdiff2FCover20","Ap5z1"
"APBB1","NeuronByothersCuffdiff2FCover20","Apbb1"
"APBB1IP","MicrogliByothersCuffdiff2FCover20","Apbb1ip"
"APBB2","MyeOligoByothersCuffdiff2FCover20","Apbb2"
"APC2","MicrogliByothersCuffdiff2FCover20","Apc2"
"APCDD1","EndotheByothersCuffdiff2FCover20","Apcdd1"
"APLNR","EndotheByothersCuffdiff2FCover20","Aplnr"
"APOBEC1","MicrogliByothersCuffdiff2FCover20","Apobec1"
"APOBEC2","MicrogliByothersCuffdiff2FCover20","Apobec2"
"APOBEC3H","MicrogliByothersCuffdiff2FCover20","Apobec3"
"APOBR","MicrogliByothersCuffdiff2FCover20","Apobr"
"APOC2","MicrogliByothersCuffdiff2FCover20","Apoc2"
"APOE","AstroByothersCuffdiff2FCover20","Apoe"
"APOL2","EndotheByothersCuffdiff2FCover20","Apol8"
"APOL4","EndotheByothersCuffdiff2FCover20","Apol8"
"APOL3","EndotheByothersCuffdiff2FCover20","Apol8"
"APOL1","EndotheByothersCuffdiff2FCover20","Apol8"
"APOLD1","EndotheByothersCuffdiff2FCover20","Apold1"
"APP","EndotheByothersCuffdiff2FCover20","App"
"APPL2","AstroByothersCuffdiff2FCover20","Appl2"
"AQP11","EndotheByothersCuffdiff2FCover20","Aqp11"
"AQP4","AstroByothersCuffdiff2FCover20","Aqp4"
"AQP9","AstroByothersCuffdiff2FCover20","Aqp9"
"ARAP1","AstroByothersCuffdiff2FCover20","Arap1"
"ARAP2","AstroByothersCuffdiff2FCover20","Arap2"
"ARL17B","MicrogliByothersCuffdiff2FCover20","Arf2"
"ARL17A","MicrogliByothersCuffdiff2FCover20","Arf2"
"ARFGAP1","NeuronByothersCuffdiff2FCover20","Arfgap1"
"ARHGAP12","PreOligoByothersCuffdiff2FCover20","Arhgap12"
"ARHGAP15","MicrogliByothersCuffdiff2FCover20","Arhgap15"
"ARHGAP17","MicrogliByothersCuffdiff2FCover20","Arhgap17"
"ARHGAP18","EndotheByothersCuffdiff2FCover20","Arhgap18"
"ARHGAP21","NeuronByothersCuffdiff2FCover20","Arhgap21"
"ARHGAP22","MicrogliByothersCuffdiff2FCover20","Arhgap22"
"ARHGAP25","MicrogliByothersCuffdiff2FCover20","Arhgap25"
"ARHGAP27","MicrogliByothersCuffdiff2FCover20","Arhgap27"
"ARHGAP28","EndotheByothersCuffdiff2FCover20","Arhgap28"
"ARHGAP29","EndotheByothersCuffdiff2FCover20","Arhgap29"
"ARHGAP30","MicrogliByothersCuffdiff2FCover20","Arhgap30"
"ARHGAP36","NeuronByothersCuffdiff2FCover20","Arhgap36"
"ARHGAP4","MicrogliByothersCuffdiff2FCover20","Arhgap4"
"ARHGAP45","MicrogliByothersCuffdiff2FCover20","Arhgap45"
"ARHGAP9","MicrogliByothersCuffdiff2FCover20","Arhgap9"
"ARHGDIB","MicrogliByothersCuffdiff2FCover20","Arhgdib"
"ARHGEF1","MyeOligoByothersCuffdiff2FCover20","Arhgef1"
"ARHGEF10L","MicrogliByothersCuffdiff2FCover20","Arhgef10l"
"ARHGEF15","EndotheByothersCuffdiff2FCover20","Arhgef15"
"ARHGEF2","MyeOligoByothersCuffdiff2FCover20","Arhgef2"
"ARHGEF26","AstroByothersCuffdiff2FCover20","Arhgef26"
"ARHGEF40","MicrogliByothersCuffdiff2FCover20","Arhgef40"
"ARHGEF5","EndotheByothersCuffdiff2FCover20","Arhgef5"
"ARHGEF6","MicrogliByothersCuffdiff2FCover20","Arhgef6"
"ARID3A","MicrogliByothersCuffdiff2FCover20","Arid3a"
"ARID5A","MicrogliByothersCuffdiff2FCover20","Arid5a"
"ARL11","MicrogliByothersCuffdiff2FCover20","Arl11"
"ARL4C","MicrogliByothersCuffdiff2FCover20","Arl4c"
"ARL5B","PreOligoByothersCuffdiff2FCover20","Arl5b"
"ARL5C","MicrogliByothersCuffdiff2FCover20","Arl5c"
"ARL6IP1","MyeOligoByothersCuffdiff2FCover20","Arl6ip1"
"ARMC3","MicrogliByothersCuffdiff2FCover20","Armc3"
"ARNT2","MicrogliByothersCuffdiff2FCover20","Arnt2"
"ARPP21","AstroByothersCuffdiff2FCover20","Arpp21"
"ARRB1","MyeOligoByothersCuffdiff2FCover20","Arrb1"
"ARRB2","NeuronByothersCuffdiff2FCover20","Arrb2"
"ARRDC2","MicrogliByothersCuffdiff2FCover20","Arrdc2"
"ART3","EndotheByothersCuffdiff2FCover20","Art3"
"ARVCF","NeuronByothersCuffdiff2FCover20","Arvcf"
"ASB10","MicrogliByothersCuffdiff2FCover20","Asb10"
"ASB2","MicrogliByothersCuffdiff2FCover20","Asb2"
"ASB4","EndotheByothersCuffdiff2FCover20","Asb4"
"ASGR1","NeuronByothersCuffdiff2FCover20","Asgr1"
"ASGR2","MicrogliByothersCuffdiff2FCover20","Asgr2"
"ASIC5","NeuronByothersCuffdiff2FCover20","Asic5"
"ASNS","NeuronByothersCuffdiff2FCover20","Asns"
"ASPA","AstroByothersCuffdiff2FCover20","Aspa"
"ASPG","AstroByothersCuffdiff2FCover20","Aspg"
"ASPH","MicrogliByothersCuffdiff2FCover20","Asph"
"ASPHD1","NeuronByothersCuffdiff2FCover20","Asphd1"
"ASPN","EndotheByothersCuffdiff2FCover20","Aspn"
"ASTN1","AstroByothersCuffdiff2FCover20","Astn1"
"ATAT1","MicrogliByothersCuffdiff2FCover20","Atat1"
"ATF2","AstroByothersCuffdiff2FCover20","Atf2"
"ATF3","MicrogliByothersCuffdiff2FCover20","Atf3"
"ATG9B","NeuronByothersCuffdiff2FCover20","Atg9b"
"ATL1","NeuronByothersCuffdiff2FCover20","Atl1"
"ATP10A","EndotheByothersCuffdiff2FCover20","Atp10a"
"ATP10D","EndotheByothersCuffdiff2FCover20","Atp10d"
"ATP11B","NeuronByothersCuffdiff2FCover20","Atp11b"
"ATP11C","EndotheByothersCuffdiff2FCover20","Atp11c"
"ATP13A4","AstroByothersCuffdiff2FCover20","Atp13a4"
"ATP1A2","AstroByothersCuffdiff2FCover20","Atp1a2"
"ATP1A3","NeuronByothersCuffdiff2FCover20","Atp1a3"
"ATP2A3","MicrogliByothersCuffdiff2FCover20","Atp2a3"
"ATP2B4","AstroByothersCuffdiff2FCover20","Atp2b4"
"ATP2C1","MicrogliByothersCuffdiff2FCover20","Atp2c1"
"ATP6AP1","MicrogliByothersCuffdiff2FCover20","Atp6ap1"
"ATP6V0C","MicrogliByothersCuffdiff2FCover20","Atp6v0c"
"ATP6V1A","MicrogliByothersCuffdiff2FCover20","Atp6v1a"
"ATP6V1F","MicrogliByothersCuffdiff2FCover20","Atp6v1f"
"ATP6V1G2","MyeOligoByothersCuffdiff2FCover20","Atp6v1g2"
"ATP6V1G2-DDX39B","MyeOligoByothersCuffdiff2FCover20","Atp6v1g2"
"ATP8B2","NeuronByothersCuffdiff2FCover20","Atp8b2"
"ATPAF2","EndotheByothersCuffdiff2FCover20","Atpaf2"
"C16orf89","EndotheByothersCuffdiff2FCover20","AU021092"
"C1orf50","EndotheByothersCuffdiff2FCover20","AU022252"
"AVP","NeuronByothersCuffdiff2FCover20","Avp"
"AVPR2","MicrogliByothersCuffdiff2FCover20","Avpr2"
"VWA5A","NeuronByothersCuffdiff2FCover20","AW551984"
"AXDND1","AstroByothersCuffdiff2FCover20","Axdnd1"
"AXL","AstroByothersCuffdiff2FCover20","Axl"
"AZIN2","NeuronByothersCuffdiff2FCover20","Azin2"
"B3GALNT2","MicrogliByothersCuffdiff2FCover20","B3galnt2"
"B4GALNT1","MicrogliByothersCuffdiff2FCover20","B4galnt1"
"B4GALT1","MicrogliByothersCuffdiff2FCover20","B4galt1"
"BACE1","MyeOligoByothersCuffdiff2FCover20","Bace1"
"BAIAP3","NeuronByothersCuffdiff2FCover20","Baiap3"
"BANK1","MicrogliByothersCuffdiff2FCover20","Bank1"
"BARHL2","NeuronByothersCuffdiff2FCover20","Barhl2"
"BASP1","MicrogliByothersCuffdiff2FCover20","Basp1"
"BATF","MicrogliByothersCuffdiff2FCover20","Batf"
"BATF3","MicrogliByothersCuffdiff2FCover20","Batf3"
"BBS2","AstroByothersCuffdiff2FCover20","Bbs2"
"BBS9","MicrogliByothersCuffdiff2FCover20","Bbs9"
"C1orf54","EndotheByothersCuffdiff2FCover20","BC028528"
"C7orf43","MicrogliByothersCuffdiff2FCover20","BC037034"
"SMIM35","MicrogliByothersCuffdiff2FCover20","BC049352"
"C12orf60","MyeOligoByothersCuffdiff2FCover20","BC049715"
"BCAN","AstroByothersCuffdiff2FCover20","Bcan"
"BCAR3","EndotheByothersCuffdiff2FCover20","Bcar3"
"BCAS1","NewOligoByothersCuffdiff2FCover20","Bcas1"
"BCL11A","NeuronByothersCuffdiff2FCover20","Bcl11a"
"BCL2A1","MicrogliByothersCuffdiff2FCover20","Bcl2a1b"
"BCL2L1","MicrogliByothersCuffdiff2FCover20","Bcl2l1"
"BCL2L13","PreOligoByothersCuffdiff2FCover20","Bcl2l13"
"BCL3","MicrogliByothersCuffdiff2FCover20","Bcl3"
"BCL6B","EndotheByothersCuffdiff2FCover20","Bcl6b"
"BCL7C","MicrogliByothersCuffdiff2FCover20","Bcl7c"
"BCLAF1","AstroByothersCuffdiff2FCover20","Bclaf1"
"BCOR","MicrogliByothersCuffdiff2FCover20","Bcor"
"BDH1","AstroByothersCuffdiff2FCover20","Bdh1"
"BDNF","AstroByothersCuffdiff2FCover20","Bdnf"
"BEST1","EndotheByothersCuffdiff2FCover20","Best1"
"BHLHE22","NeuronByothersCuffdiff2FCover20","Bhlhe22"
"BHLHE40","AstroByothersCuffdiff2FCover20","Bhlhe40"
"BICD2","EndotheByothersCuffdiff2FCover20","Bicd2"
"BICDL1","NeuronByothersCuffdiff2FCover20","Bicdl1"
"BID","MicrogliByothersCuffdiff2FCover20","Bid"
"BIN2","MicrogliByothersCuffdiff2FCover20","Bin2"
"BLNK","MicrogliByothersCuffdiff2FCover20","Blnk"
"BLVRA","MicrogliByothersCuffdiff2FCover20","Blvra"
"BLVRB","MicrogliByothersCuffdiff2FCover20","Blvrb"
"BMF","MicrogliByothersCuffdiff2FCover20","Bmf"
"BMP4","NewOligoByothersCuffdiff2FCover20","Bmp4"
"BMP5","NeuronByothersCuffdiff2FCover20","Bmp5"
"BMPR1B","AstroByothersCuffdiff2FCover20","Bmpr1b"
"BMX","EndotheByothersCuffdiff2FCover20","Bmx"
"BOD1L1","EndotheByothersCuffdiff2FCover20","Bod1l"
"BPHL","NeuronByothersCuffdiff2FCover20","Bphl"
"BPIFB1","EndotheByothersCuffdiff2FCover20","Bpifb1"
"BRD2","MicrogliByothersCuffdiff2FCover20","Brd2"
"BRSK2","MyeOligoByothersCuffdiff2FCover20","Brsk2"
"BSDC1","MyeOligoByothersCuffdiff2FCover20","Bsdc1"
"BSG","EndotheByothersCuffdiff2FCover20","Bsg"
"BST1","MicrogliByothersCuffdiff2FCover20","Bst1"
"BTBD10","MicrogliByothersCuffdiff2FCover20","Btbd10"
"BTBD17","AstroByothersCuffdiff2FCover20","Btbd17"
"BTK","MicrogliByothersCuffdiff2FCover20","Btk"
"SP110","MicrogliByothersCuffdiff2FCover20","C130026I21Rik"
"C1orf115","EndotheByothersCuffdiff2FCover20","C130074G19Rik"
"C1QA","MicrogliByothersCuffdiff2FCover20","C1qa"
"C1QB","MicrogliByothersCuffdiff2FCover20","C1qb"
"C1QC","MicrogliByothersCuffdiff2FCover20","C1qc"
"C1QTNF1","NeuronByothersCuffdiff2FCover20","C1qtnf1"
"C1QTNF9B","EndotheByothersCuffdiff2FCover20","C1qtnf9"
"C1QTNF9","EndotheByothersCuffdiff2FCover20","C1qtnf9"
"C1RL","MicrogliByothersCuffdiff2FCover20","C1rl"
"C2","AstroByothersCuffdiff2FCover20","C2"
"C2CD3","MicrogliByothersCuffdiff2FCover20","C2cd3"
"C2CD5","AstroByothersCuffdiff2FCover20","C2cd5"
"C3","MicrogliByothersCuffdiff2FCover20","C3"
"C3AR1","MicrogliByothersCuffdiff2FCover20","C3ar1"
"C4A","AstroByothersCuffdiff2FCover20","C4b"
"C4B","AstroByothersCuffdiff2FCover20","C4b"
"KIAA1211","NeuronByothersCuffdiff2FCover20","C530008M17Rik"
"C5AR1","MicrogliByothersCuffdiff2FCover20","C5ar1"
"C5AR2","MicrogliByothersCuffdiff2FCover20","C5ar2"
"C2orf42","MyeOligoByothersCuffdiff2FCover20","C87436"
"CAB39L","MyeOligoByothersCuffdiff2FCover20","Cab39l"
"CABIN1","MicrogliByothersCuffdiff2FCover20","Cabin1"
"CABLES1","MicrogliByothersCuffdiff2FCover20","Cables1"
"CACNA1A","NeuronByothersCuffdiff2FCover20","Cacna1a"
"CACNA1B","NeuronByothersCuffdiff2FCover20","Cacna1b"
"CACNA1D","PreOligoByothersCuffdiff2FCover20","Cacna1d"
"CACNA1G","NeuronByothersCuffdiff2FCover20","Cacna1g"
"CACNA1S","MicrogliByothersCuffdiff2FCover20","Cacna1s"
"CACNA2D1","NeuronByothersCuffdiff2FCover20","Cacna2d1"
"CACNA2D2","NeuronByothersCuffdiff2FCover20","Cacna2d2"
"CACNA2D3","NeuronByothersCuffdiff2FCover20","Cacna2d3"
"CACNA2D4","MyeOligoByothersCuffdiff2FCover20","Cacna2d4"
"CACNB4","NeuronByothersCuffdiff2FCover20","Cacnb4"
"CACNG2","NeuronByothersCuffdiff2FCover20","Cacng2"
"CACNG3","NeuronByothersCuffdiff2FCover20","Cacng3"
"CACNG5","NeuronByothersCuffdiff2FCover20","Cacng5"
"CADM1","AstroByothersCuffdiff2FCover20","Cadm1"
"CADM3","NeuronByothersCuffdiff2FCover20","Cadm3"
"CALB1","MicrogliByothersCuffdiff2FCover20","Calb1"
"CALB2","NeuronByothersCuffdiff2FCover20","Calb2"
"CALCA","NeuronByothersCuffdiff2FCover20","Calca"
"CALCOCO1","AstroByothersCuffdiff2FCover20","Calcoco1"
"CALCRL","PreOligoByothersCuffdiff2FCover20","Calcrl"
"CALHM2","MicrogliByothersCuffdiff2FCover20","Calhm2"
"CAMK1","MicrogliByothersCuffdiff2FCover20","Camk1"
"CAMK2B","NeuronByothersCuffdiff2FCover20","Camk2b"
"CAMK2G","AstroByothersCuffdiff2FCover20","Camk2g"
"CAMKV","NeuronByothersCuffdiff2FCover20","Camkv"
"CAMP","MicrogliByothersCuffdiff2FCover20","Camp"
