"","CellType_Vs_Others","MsGene"
"C4orf19","MicrogliByothersCuffdiff2FCover20","0610040J01Rik"
"C9orf85","EndotheByothersCuffdiff2FCover20","1110059E24Rik"
"C20orf144","MicrogliByothersCuffdiff2FCover20","1700003F12Rik"
"C1orf194","NeuronByothersCuffdiff2FCover20","1700013F07Rik"
"C15orf39","MicrogliByothersCuffdiff2FCover20","1700017B05Rik"
"C2orf88","PreOligoByothersCuffdiff2FCover20","1700019D03Rik"
"C6orf136","NeuronByothersCuffdiff2FCover20","2310061I04Rik"
"C8orf37","MicrogliByothersCuffdiff2FCover20","2610301B20Rik"
"C10orf99","MicrogliByothersCuffdiff2FCover20","2610528A11Rik"
"C7orf50","MicrogliByothersCuffdiff2FCover20","3110082I17Rik"
"C19orf71","MicrogliByothersCuffdiff2FCover20","4930404N11Rik"
"C12orf29","MyeOligoByothersCuffdiff2FCover20","4930430F08Rik"
"KIAA0040","EndotheByothersCuffdiff2FCover20","4930523C07Rik"
"CXorf36","EndotheByothersCuffdiff2FCover20","4930578C19Rik"
"KIAA0355","EndotheByothersCuffdiff2FCover20","4931406P16Rik"
"KIAA1109","NeuronByothersCuffdiff2FCover20","4932438A13Rik"
"KIAA1324","NeuronByothersCuffdiff2FCover20","5330417C22Rik"
"CXorf21","MicrogliByothersCuffdiff2FCover20","5430427O19Rik"
"C17orf99","MicrogliByothersCuffdiff2FCover20","6030468B19Rik"
"C8orf58","MyeOligoByothersCuffdiff2FCover20","9930012K11Rik"
"A2M","AstroByothersCuffdiff2FCover20","A2m"
"A3GALT2","EndotheByothersCuffdiff2FCover20","A3galt2"
"C8orf34","NeuronByothersCuffdiff2FCover20","A830018L16Rik"
"AAK1","NeuronByothersCuffdiff2FCover20","Aak1"
"AASDH","MicrogliByothersCuffdiff2FCover20","Aasdh"
"AASS","AstroByothersCuffdiff2FCover20","Aass"
"AATF","MicrogliByothersCuffdiff2FCover20","Aatf"
"C19orf38","MicrogliByothersCuffdiff2FCover20","AB124611"
"ABAT","MyeOligoByothersCuffdiff2FCover20","Abat"
"ABCA4","EndotheByothersCuffdiff2FCover20","Abca4"
"ABCA6","PreOligoByothersCuffdiff2FCover20","Abca6"
"ABCA9","MicrogliByothersCuffdiff2FCover20","Abca9"
