"","MsAge7K_07....EndotheByothersCuffdiff2FCover20__"
"1","ADGRA2"
"2","AHNAK"
"3","AKAP12"
"4","ARHGAP29"
"5","CAVIN1"
"6","FBLN5"
"7","FGFBP1"
"8","FN1"
"9","MGP"
"10","MMRN2"
"11","RAET1E"
"12","RAET1G"
"13","RAET1L"
"14","SLC22A8"
"15","TFPI"
"16","THBD"
"17","TNS2"
"18","UACA"
"19","ULBP1"
"20","ULBP2"
"21","ULBP3"
"22","VWF"
