"","MsAge7K_00....EndotheByothersCuffdiff2FCover20__"
"175","MEOX1"
"176","MPP7"
"177","MRTFB"
"178","MSRB3"
"179","MUC13"
"180","MYCT1"
"181","MYL4"
"182","MYO1B"
"183","MYOF"
"184","N4BP3"
"185","NABP2"
"186","NCAPH"
"187","NDUFA4L2"
"188","NEDD9"
"189","NES"
"190","NET1"
"191","NID1"
"192","NLRC3"
"193","NMI"
"194","NOS2"
"195","NOS3"
"196","NOSTRIN"
"197","NOTUM"
"198","NOX4"
"199","NR1H3"
"200","PALM2-AKAP2"
"201","PAQR5"
"202","PCDH12"
"203","PDE5A"
"204","PDGFD"
"205","PDLIM7"
"206","PEAR1"
"207","PGLYRP1"
"208","PGM5"
"209","PKN3"
"210","PLA1A"
"211","PLA2G2F"
"212","PLA2G6"
"213","PNRC1"
"214","PODXL"
"215","PPARD"
"216","PPEF1"
"217","PPIC"
"218","PRKAB1"
"219","PRKD2"
"220","PROCR"
"221","PROSER2"
"222","PRRG2"
"223","PRSS23"
"224","PTGIS"
"225","PTPRB"
"226","RAB11FIP1"
"227","RAD51AP1"
"228","RAI14"
"229","RAMP2"
"230","RASD1"
"231","RASIP1"
"232","RASSF9"
"233","RBM3"
"234","RBPMS"
"235","RD3"
"236","REC8"
"237","REM1"
"238","RFLNB"
"239","RHOC"
"240","RHOD"
"241","RHOJ"
"242","RNF125"
"243","ROBO4"
"244","RPS11"
"245","S100A11"
"246","SCARF1"
"247","SEMA3G"
"248","SEPT1"
"249","SERPINA3"
"250","SERPINH1"
"251","SGK3"
"252","SGPP2"
"253","SH2D3C"
"254","SHE"
"255","SHROOM1"
"256","SHROOM4"
"257","SIGIRR"
"258","SLC16A1"
"259","SLC16A4"
"260","SLC16A9"
"261","SLC19A3"
"262","SLC2A1"
"263","SLC30A1"
"264","SLC35B3"
"265","SLC35D2"
"266","SLC35F2"
"267","SLC38A5"
"268","SLC39A8"
"269","SLC40A1"
"270","SLC43A3"
"271","SLC52A3"
"272","SLC5A6"
"273","SLC9A3R2"
"274","SLCO1A2"
"275","SLCO2A1"
"276","SLFN5"
"277","SMAD6"
"278","SMOC2"
"279","SOX17"
"280","SOX18"
"281","SOX7"
"282","SP140"
"283","SPAAR"
"284","SPATA6"
"285","SPSB2"
"286","SRARP"
"287","SRGN"
"288","ST3GAL6"
"289","ST6GALNAC2"
"290","ST8SIA4"
"291","ST8SIA6"
"292","STAP2"
"293","STC1"
"294","STRA6"
"295","SYT15"
"296","SYTL4"
"297","TBX1"
"298","TBX3"
"299","TBXA2R"
"300","TCAF2"
"301","TCAF2C"
"302","TCEA3"
"303","TDRP"
"304","TEAD4"
"305","TEK"
"306","THSD1"
"307","TIE1"
"308","TINAGL1"
"309","TIRAP"
"310","TM4SF1"
"311","TMEM216"
"312","TMEM252"
"313","TNFAIP8L1"
"314","TNFRSF11B"
"315","TNFRSF25"
"316","TNFSF10"
"317","TNNT1"
"318","TPK1"
"319","TPM4"
"320","TRIM16"
"321","TRIM16L"
"322","TRIM34"
"323","TRIM6-TRIM34"
"324","TRIP10"
"325","TRPM6"
"326","TTR"
"327","UNC45B"
"328","USHBP1"
"329","VIL1"
"330","VSIG2"
"331","VWA1"
"332","WASHC3"
"333","WFDC1"
"334","WWTR1"
"335","ZAP70"
"336","ZFP69"
"337","ZNF366"
"338","ZNF436"
"339","ZNF510"
