"","MsAge7K_00....MicrogliByothersCuffdiff2FCover20__"
"1","AASDH"
"2","ABCC3"
"3","ABHD15"
"4","ABI3"
"5","ACCS"
"6","ADAM15"
"7","ADAM8"
"8","ADAMTS16"
"9","ADAP2"
"10","ADCY3"
"11","ADCY7"
"12","ADGRE1"
"13","ADGRG1"
"14","ADRB2"
"15","AIM2"
"16","ALOX5"
"17","ALOX5AP"
"18","AMDHD2"
"19","AMN1"
"20","AMZ1"
"21","AP1G2"
"22","AP5S1"
"23","APOBEC1"
"24","APOBEC2"
"25","APOBEC3H"
"26","APOBR"
"27","ARHGAP15"
"28","ARHGAP22"
"29","ARHGAP27"
"30","ARHGAP30"
"31","ARHGAP4"
"32","ARHGAP9"
"33","ARID3A"
"34","ARID5A"
"35","ARL5C"
"36","ARRDC2"
"37","ATF3"
"38","ATP2A3"
"39","BANK1"
"40","BATF3"
"41","BBS9"
"42","BCL3"
"43","BID"
"44","BIN2"
"45","BLNK"
"46","BLVRA"
"47","BLVRB"
"48","BMF"
"49","BTK"
"50","C11orf96"
"51","C19orf38"
"52","C1RL"
"53","C4orf19"
"54","C5AR1"
"55","C5AR2"
"56","C7orf50"
"57","CA9"
"58","CABLES1"
"59","CALHM2"
"60","CAPN3"
"61","CCDC88B"
"62","CCL15"
"63","CCL15-CCL14"
"64","CCL23"
"65","CCND3"
"66","CCRL2"
"67","CD14"
"68","CD180"
"69","CD209"
"70","CD247"
"71","CD33"
"72","CD36"
"73","CD4"
"74","CD53"
"75","CD6"
"76","CD74"
"77","CD80"
"78","CD83"
"79","CDH23"
"80","CDKN1A"
"81","CEBPB"
"82","CELA1"
"83","CEP250"
"84","CFAP74"
"85","CGAS"
"86","CHEK2"
"87","CHST12"
"88","CLCF1"
"89","CLEC2D"
"90","CLEC4C"
"91","CLEC5A"
"92","CLN3"
"93","CMTM3"
"94","CMTM7"
"95","COL15A1"
"96","COL27A1"
"97","COMP"
"98","COTL1"
"99","CPN1"
"100","CRIP1"
"101","CRYBB1"
"102","CSK"
"103","CTSD"
"104","CYP4F3"
"105","CYSLTR1"
"106","CYTH4"
"107","DAPP1"
"108","DCLRE1B"
"109","DENND1C"
"110","DGLUCY"
"111","DHRS3"
"112","DISC1"
"113","DNAH2"
"114","DNAJB13"
"115","DNAJC25-GNG10"
"116","DNASE2"
"117","DNMT3B"
"118","DOCK8"
"119","DOK1"
"120","DOK2"
"121","DOK3"
"122","DPAGT1"
"123","DUSP13"
"124","DUSP2"
"125","EHD4"
"126","ELF4"
"127","ENTPD1"
"128","ENTPD7"
"129","EPSTI1"
"130","ERMAP"
"131","ESPL1"
"132","EVA1A"
"133","F11R"
"134","F13A1"
"135","FAM110A"
"136","FBLIM1"
"137","FBXW4"
"138","FCGR1A"
"139","FCGR1B"
"140","FCRL1"
"141","FES"
"142","FGD2"
"143","FGGY"
"144","FHAD1"
"145","FHOD1"
"146","FMNL3"
"147","FOLR2"
"148","FRMD4A"
"149","FYB1"
"150","GALNT12"
"151","GBGT1"
"152","GCNT1"
"153","GEMIN7"
"154","GGT5"
"155","GLIPR1"
"156","GNA15"
"157","GNGT2"
"158","GPAT2"
"159","GPR157"
"160","GPR35"
"161","GPRC5C"
"162","GPSM3"
"163","GRHPR"
"164","GSDMD"
"165","GUSB"
"166","HAAO"
"167","HAVCR2"
