"","MsAge7K_06....NeuronByothersCuffdiff2FCover20__"
"1","ARHGAP36"
"2","BAIAP3"
"3","CACNA2D2"
"4","CACNG5"
"5","CALB2"
"6","DRD2"
"7","EBF2"
"8","EBF3"
"9","ECEL1"
"10","EOMES"
"11","GAD2"
"12","GLRA2"
"13","GRID2IP"
"14","ISL1"
"15","KCNIP1"
"16","LHX1"
"17","NDNF"
"18","NKX2-1"
"19","SAMD3"
"20","SLC10A4"
"21","SLC32A1"
"22","SP8"
"23","SP9"
"24","TMEM130"
"25","USP29"
"26","VAX1"
"27","ZCCHC12"
"28","ZCCHC18"
"29","ZIC1"
"30","ZIC4"
