"","MsAge7K_00....NewOligoByothersCuffdiff2FCover20__"
"1","AHRR"
"2","ANKRD44"
"3","BMP4"
"4","CCDC106"
"5","CHST8"
"6","COL9A1"
"7","DCT"
"8","EPCAM"
"9","FAM118B"
"10","FTSJ1"
"11","GNL3"
"12","METTL3"
"13","MORC4"
"14","PARP2"
"15","PIM3"
"16","PYCR1"
"17","RINL"
"18","SLC8A1"
"19","SMTN"
"20","YARS2"
