"","magenta....MyeOligoByothersCuffdiff2FCover20__"
"1","ADAMTSL4"
"2","ADSSL1"
"3","ANKUB1"
"4","C10orf90"
"5","CNTN2"
"6","CRYAB"
"7","ERMN"
"8","GJB1"
"9","GPR37"
"10","HAPLN2"
"11","INSC"
"12","ITGB4"
"13","NDRG1"
"14","NINJ2"
"15","NKX6-2"
"16","PLEKHB1"
"17","PPP1R14A"
"18","PRR5L"
"19","PRRG1"
"20","SEC14L5"
"21","SEPT4"
"22","SMIM1"
"23","TPPP3"
