"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"1","MsAge7K_00",1,"AstroByothersCuffdiff2FCover20__","User",195,0.774506929172833,1,5665
"2","MsAge7K_00",2,"EndotheByothersCuffdiff2FCover20__","User",339,0.0416281259349834,1,5665
"3","MsAge7K_00",3,"MicrogliByothersCuffdiff2FCover20__","User",493,0.449719992439244,1,5665
"4","MsAge7K_00",4,"MyeOligoByothersCuffdiff2FCover20__","User",71,0.99999989510159,1,5665
"5","MsAge7K_00",5,"NeuronByothersCuffdiff2FCover20__","User",181,1,1,5665
"6","MsAge7K_00",6,"NewOligoByothersCuffdiff2FCover20__","User",20,0.970201194510626,1,5665
"7","MsAge7K_00",7,"PreOligoByothersCuffdiff2FCover20__","User",40,0.999712659307095,1,5665
"8","MsAge7K_01",8,"AstroByothersCuffdiff2FCover20__","User",8,0.698308254431503,1,259
"9","MsAge7K_01",9,"EndotheByothersCuffdiff2FCover20__","User",12,0.816158440347705,1,259
"10","MsAge7K_01",10,"MicrogliByothersCuffdiff2FCover20__","User",11,0.998317804250258,1,259
"11","MsAge7K_01",11,"MyeOligoByothersCuffdiff2FCover20__","User",21,1.7796212400969e-09,2.24232276252209e-07,259
"12","MsAge7K_01",12,"NeuronByothersCuffdiff2FCover20__","User",10,0.7311723674081,1,259
"13","MsAge7K_01",13,"NewOligoByothersCuffdiff2FCover20__","User",6,0.000655626093446453,0.0826088877742531,259
"14","MsAge7K_01",14,"PreOligoByothersCuffdiff2FCover20__","User",5,0.0884053511660857,1,259
"15","MsAge7K_02",15,"AstroByothersCuffdiff2FCover20__","User",13,0.074649422609182,1,237
"16","MsAge7K_02",16,"EndotheByothersCuffdiff2FCover20__","User",5,0.998221362484977,1,237
"17","MsAge7K_02",17,"MicrogliByothersCuffdiff2FCover20__","User",12,0.988101866108052,1,237
"18","MsAge7K_02",18,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,237
"19","MsAge7K_02",19,"NeuronByothersCuffdiff2FCover20__","User",39,7.15808333145652e-13,9.01918499763521e-11,237
"20","MsAge7K_02",20,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,237
