"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"1","black",1,"AstroByothersCuffdiff2FCover20__","User",4,0.478160820310472,1,101
"2","black",2,"EndotheByothersCuffdiff2FCover20__","User",22,3.78818606383477e-08,4.50794141596338e-06,101
"3","black",3,"MicrogliByothersCuffdiff2FCover20__","User",8,0.658230973624701,1,101
"4","black",4,"MyeOligoByothersCuffdiff2FCover20__","User",2,0.51492286032157,1,101
"5","black",5,"NeuronByothersCuffdiff2FCover20__","User",2,0.945094666757317,1,101
"6","black",6,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,101
"7","black",7,"PreOligoByothersCuffdiff2FCover20__","User",7,3.46703809540599e-05,0.00412577533353312,101
"8","blue",8,"AstroByothersCuffdiff2FCover20__","User",13,0.074649422609182,1,237
"9","blue",9,"EndotheByothersCuffdiff2FCover20__","User",5,0.998221362484977,1,237
"10","blue",10,"MicrogliByothersCuffdiff2FCover20__","User",12,0.988101866108052,1,237
"11","blue",11,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,237
"12","blue",12,"NeuronByothersCuffdiff2FCover20__","User",39,7.15808333145652e-13,8.51811916443326e-11,237
"13","blue",13,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,237
"14","blue",14,"PreOligoByothersCuffdiff2FCover20__","User",4,0.172264820169596,1,237
"15","brown",15,"AstroByothersCuffdiff2FCover20__","User",10,0.0370772641466456,1,149
"16","brown",16,"EndotheByothersCuffdiff2FCover20__","User",5,0.934590498431412,1,149
"17","brown",17,"MicrogliByothersCuffdiff2FCover20__","User",5,0.997256320961492,1,149
"18","brown",18,"MyeOligoByothersCuffdiff2FCover20__","User",3,0.466534066161615,1,149
"19","brown",19,"NeuronByothersCuffdiff2FCover20__","User",8,0.351026238782037,1,149
"20","brown",20,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,149
"21","brown",21,"PreOligoByothersCuffdiff2FCover20__","User",2,0.398721670989177,1,149
"22","cyan",22,"AstroByothersCuffdiff2FCover20__","User",4,0.0470459317232495,1,39
"23","cyan",23,"EndotheByothersCuffdiff2FCover20__","User",3,0.38800014662984,1,39
"24","cyan",24,"MicrogliByothersCuffdiff2FCover20__","User",1,0.971178495953197,1,39
"25","cyan",25,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,39
"26","cyan",26,"NeuronByothersCuffdiff2FCover20__","User",0,1,1,39
"27","cyan",27,"NewOligoByothersCuffdiff2FCover20__","User",1,0.153276102391526,1,39
"28","cyan",28,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,39
"29","green",29,"AstroByothersCuffdiff2FCover20__","User",2,0.907127585537321,1,111
"30","green",30,"EndotheByothersCuffdiff2FCover20__","User",4,0.886870720325742,1,111
"31","green",31,"MicrogliByothersCuffdiff2FCover20__","User",2,0.999540870268848,1,111
"32","green",32,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,111
"33","green",33,"NeuronByothersCuffdiff2FCover20__","User",21,1.46208061179273e-08,1.73987592803335e-06,111
"34","green",34,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,111
"35","green",35,"PreOligoByothersCuffdiff2FCover20__","User",4,0.0186289121777912,1,111
"36","greenyellow",36,"AstroByothersCuffdiff2FCover20__","User",1,0.90009973558448,1,64
"37","greenyellow",37,"EndotheByothersCuffdiff2FCover20__","User",5,0.30353225853617,1,64
"38","greenyellow",38,"MicrogliByothersCuffdiff2FCover20__","User",5,0.661904766815319,1,64
"39","greenyellow",39,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,64
"40","greenyellow",40,"NeuronByothersCuffdiff2FCover20__","User",6,0.0657115925227826,1,64
"41","greenyellow",41,"NewOligoByothersCuffdiff2FCover20__","User",1,0.239292580489021,1,64
"42","greenyellow",42,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,64
"43","grey60",43,"AstroByothersCuffdiff2FCover20__","User",2,0.206219257560467,1,24
"44","grey60",44,"EndotheByothersCuffdiff2FCover20__","User",1,0.757623302482867,1,24
"45","grey60",45,"MicrogliByothersCuffdiff2FCover20__","User",0,1,1,24
"46","grey60",46,"MyeOligoByothersCuffdiff2FCover20__","User",1,0.337524110429671,1,24
"47","grey60",47,"NeuronByothersCuffdiff2FCover20__","User",2,0.292373873683534,1,24
"48","grey60",48,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,24
"49","grey60",49,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,24
"50","lightcyan",50,"AstroByothersCuffdiff2FCover20__","User",0,1,1,32
"51","lightcyan",51,"EndotheByothersCuffdiff2FCover20__","User",2,0.554351992861241,1,32
"52","lightcyan",52,"MicrogliByothersCuffdiff2FCover20__","User",2,0.778954401527614,1,32
"53","lightcyan",53,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,32
"54","lightcyan",54,"NeuronByothersCuffdiff2FCover20__","User",0,1,1,32
"55","lightcyan",55,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,32
"56","lightcyan",56,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,32
"57","magenta",57,"AstroByothersCuffdiff2FCover20__","User",3,0.572208836071873,1,84
"58","magenta",58,"EndotheByothersCuffdiff2FCover20__","User",2,0.9576988600114,1,84
"59","magenta",59,"MicrogliByothersCuffdiff2FCover20__","User",3,0.980640405067798,1,84
"60","magenta",60,"MyeOligoByothersCuffdiff2FCover20__","User",23,2.55476475109971e-22,3.04017005380865e-20,84
"61","magenta",61,"NeuronByothersCuffdiff2FCover20__","User",1,0.979175886682492,1,84
"62","magenta",62,"NewOligoByothersCuffdiff2FCover20__","User",2,0.0490413750988902,1,84
"63","magenta",63,"PreOligoByothersCuffdiff2FCover20__","User",2,0.179890569954821,1,84
"64","midnightblue",64,"AstroByothersCuffdiff2FCover20__","User",0,1,1,35
"65","midnightblue",65,"EndotheByothersCuffdiff2FCover20__","User",0,1,1,35
"66","midnightblue",66,"MicrogliByothersCuffdiff2FCover20__","User",5,0.182403614707009,1,35
"67","midnightblue",67,"MyeOligoByothersCuffdiff2FCover20__","User",1,0.451713603191992,1,35
"68","midnightblue",68,"NeuronByothersCuffdiff2FCover20__","User",5,0.0187893522844212,1,35
"69","midnightblue",69,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,35
"70","midnightblue",70,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,35
"71","pink",71,"AstroByothersCuffdiff2FCover20__","User",2,0.801389446928984,1,84
"72","pink",72,"EndotheByothersCuffdiff2FCover20__","User",1,0.993136864098051,1,84
"73","pink",73,"MicrogliByothersCuffdiff2FCover20__","User",2,0.995739096861355,1,84
"74","pink",74,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,84
"75","pink",75,"NeuronByothersCuffdiff2FCover20__","User",20,4.65333535758044e-10,5.53746907552073e-08,84
"76","pink",76,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,84
"77","pink",77,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,84
"78","purple",78,"AstroByothersCuffdiff2FCover20__","User",1,0.937590149742524,1,77
"79","purple",79,"EndotheByothersCuffdiff2FCover20__","User",0,1,1,77
"80","purple",80,"MicrogliByothersCuffdiff2FCover20__","User",3,0.968472541760885,1,77
"81","purple",81,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,77
"82","purple",82,"NeuronByothersCuffdiff2FCover20__","User",0,1,1,77
"83","purple",83,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,77
"84","purple",84,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,77
"85","red",85,"AstroByothersCuffdiff2FCover20__","User",5,0.28282683173245,1,101
"86","red",86,"EndotheByothersCuffdiff2FCover20__","User",5,0.694091262049183,1,101
"87","red",87,"MicrogliByothersCuffdiff2FCover20__","User",4,0.979725883098591,1,101
"88","red",88,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,101
"89","red",89,"NeuronByothersCuffdiff2FCover20__","User",30,2.17978206348911e-17,2.59394065555204e-15,101
"90","red",90,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,101
"91","red",91,"PreOligoByothersCuffdiff2FCover20__","User",2,0.23701400657129,1,101
"92","salmon",92,"AstroByothersCuffdiff2FCover20__","User",0,1,1,41
"93","salmon",93,"EndotheByothersCuffdiff2FCover20__","User",1,0.91143977114873,1,41
"94","salmon",94,"MicrogliByothersCuffdiff2FCover20__","User",2,0.8819471739043,1,41
"95","salmon",95,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,41
"96","salmon",96,"NeuronByothersCuffdiff2FCover20__","User",1,0.848019592748354,1,41
"97","salmon",97,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,41
"98","salmon",98,"PreOligoByothersCuffdiff2FCover20__","User",1,0.315475580854349,1,41
"99","tan",99,"AstroByothersCuffdiff2FCover20__","User",0,1,1,51
"100","tan",100,"EndotheByothersCuffdiff2FCover20__","User",0,1,1,51
"101","tan",101,"MicrogliByothersCuffdiff2FCover20__","User",2,0.94334025469874,1,51
"102","tan",102,"MyeOligoByothersCuffdiff2FCover20__","User",0,1,1,51
"103","tan",103,"NeuronByothersCuffdiff2FCover20__","User",0,1,1,51
"104","tan",104,"NewOligoByothersCuffdiff2FCover20__","User",1,0.195677381953776,1,51
"105","tan",105,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,51
"106","turquoise",106,"AstroByothersCuffdiff2FCover20__","User",8,0.698308254431503,1,259
"107","turquoise",107,"EndotheByothersCuffdiff2FCover20__","User",12,0.816158440347705,1,259
"108","turquoise",108,"MicrogliByothersCuffdiff2FCover20__","User",11,0.998317804250258,1,259
"109","turquoise",109,"MyeOligoByothersCuffdiff2FCover20__","User",21,1.7796212400969e-09,2.11774927571531e-07,259
"110","turquoise",110,"NeuronByothersCuffdiff2FCover20__","User",10,0.7311723674081,1,259
"111","turquoise",111,"NewOligoByothersCuffdiff2FCover20__","User",6,0.000655626093446453,0.0780195051201279,259
"112","turquoise",112,"PreOligoByothersCuffdiff2FCover20__","User",5,0.0884053511660857,1,259
"113","yellow",113,"AstroByothersCuffdiff2FCover20__","User",7,0.260133075034379,1,147
"114","yellow",114,"EndotheByothersCuffdiff2FCover20__","User",11,0.220424690834761,1,147
"115","yellow",115,"MicrogliByothersCuffdiff2FCover20__","User",73,1.80638689592154e-39,2.14960040614663e-37,147
"116","yellow",116,"MyeOligoByothersCuffdiff2FCover20__","User",2,0.717754377263906,1,147
"117","yellow",117,"NeuronByothersCuffdiff2FCover20__","User",1,0.998892626476025,1,147
"118","yellow",118,"NewOligoByothersCuffdiff2FCover20__","User",0,1,1,147
"119","yellow",119,"PreOligoByothersCuffdiff2FCover20__","User",0,1,1,147
